feature,importance
rssi_max,3204
rssi_min,2559
rssi_std,2210
len_range,2160
rssi_p90,2081
rssi_p10,1912
burst_count,1902
down_len_std,1880
len_p95,1831
interarrival_max,1780
down_ia_std,1476
rssi_p50,1397
other_packet_ratio,1297
retry_ratio,1215
len_p25,1202
len_p10,1147
interarrival_p50,1113
len_iqr,1100
len_up_down_diff,1063
rssi_mean,1062
interarrival_p90,1007
len_cv,995
interarrival_p75,990
qos_data_ratio,987
down_ia_mean,986
subwin_packet_cv,981
long_gap_ratio,926
down_packet_ratio,926
interarrival_p95,864
interarrival_p25,824
interarrival_cv,819
len_p75,777
len_min,751
interarrival_std,708
burst_size_std,677
burst_packet_fraction,648
packet_count,591
subwin_byte_max,591
burst_size_mean,580
down_len_p50,549
interarrival_iqr,521
interarrival_mean,518
subtype_0_ratio,502
null_data_ratio,444
subwin_packet_std,438
len_p50,410
interarrival_min,410
up_len_mean,402
unique_da_count,398
unique_sa_count,339
active_subwin_count,225
mgmt_ratio,214
burst_size_min,178
up_down_ratio,124
up_ia_mean,123
up_packet_ratio,98
subwin_packet_min,77
subwin_byte_min,62
subtype_5_ratio,23
subtype_3_ratio,0
