feature,importance
rssi_min,3182
len_range,2527
rssi_max,2384
down_ia_std,2310
rssi_std,2216
rssi_p90,2149
down_len_std,2100
rssi_p10,2075
burst_count,1767
len_p95,1716
rssi_mean,1535
interarrival_p90,1503
interarrival_p50,1460
len_p10,1448
down_ia_mean,1325
len_cv,1197
len_up_down_diff,1180
burst_packet_ratio,1051
interarrival_p75,1048
len_p25,1040
rssi_p50,1017
burst_size_std,1011
subwin_packet_mean,993
len_iqr,981
interarrival_iqr,928
other_packet_ratio,870
down_packet_ratio,854
subwin_packet_std,839
null_data_ratio,775
subwin_byte_max,694
unique_da_count,689
len_min,670
len_p75,614
len_p50,597
down_len_p50,588
burst_size_mean,582
up_len_p50,369
up_ia_mean,150
up_packet_ratio,98
up_down_ratio,52
