feature,importance
up_len_p50,0.39769515
up_packet_ratio,0.2375957
up_ia_mean,0.1072569
rssi_min,0.04769228
len_p95,0.020458143
burst_count,0.020327196
rssi_max,0.018858308
rssi_p10,0.012480677
rssi_p50,0.009251022
len_range,0.008801165
rssi_std,0.007761599
down_len_std,0.007668726
len_min,0.007247143
len_p10,0.007240968
down_packet_ratio,0.0067288456
other_packet_ratio,0.0066110366
down_ia_mean,0.005951393
rssi_p90,0.005765074
len_p25,0.0052887583
null_data_ratio,0.0048553045
down_ia_std,0.0044568484
len_up_down_diff,0.0044374745
up_down_ratio,0.004406069
rssi_mean,0.0040299753
interarrival_iqr,0.0036197994
interarrival_p90,0.0033123803
subwin_packet_mean,0.0028400745
unique_da_count,0.002820289
interarrival_p75,0.0027440116
burst_packet_ratio,0.0024748063
burst_size_mean,0.0024720465
len_cv,0.0022869771
subwin_byte_max,0.00217084
down_len_p50,0.0020555672
len_iqr,0.0018945613
burst_size_std,0.0018289482
interarrival_p50,0.0017633355
len_p75,0.001754449
len_p50,0.001729919
subwin_packet_std,0.0013662439
