feature,importance
rssi_max,2844
rssi_min,2678
len_max,2443
rssi_std,2048
rssi_p90,1827
rssi_p10,1544
burst_count,1244
other_packet_ratio,1228
down_len_std,1100
rssi_p50,1036
rssi_mean,953
interarrival_max,942
down_ia_std,844
subwin_packet_cv,837
interarrival_p50,819
down_packet_ratio,810
retry_ratio,746
len_p90,739
len_p25,734
len_p10,722
interarrival_p75,659
interarrival_p90,652
interarrival_p25,647
burst_packet_ratio,608
len_iqr,595
len_cv,594
len_range,579
len_p95,577
subtype_8_ratio,570
interarrival_p95,547
interarrival_std,522
len_std,514
down_ia_mean,489
interarrival_cv,453
interarrival_iqr,440
long_gap_ratio,438
burst_size_std,434
byte_count,421
interarrival_p10,411
interarrival_mean,382
burst_size_mean,356
down_len_mean,352
len_mean,351
unique_da_count,347
up_packet_ratio,340
packet_count,335
down_len_p50,324
len_p75,310
interarrival_min,309
active_subwin_count,269
len_up_down_diff,263
subwin_packet_std,249
burst_size_max,241
len_min,233
subwin_byte_std,192
unique_sa_count,188
subwin_byte_max,188
subtype_4_ratio,182
len_p50,178
subtype_0_ratio,162
subwin_packet_max,158
burst_size_min,113
null_data_ratio,101
data_ratio,56
mgmt_ratio,51
up_len_mean,42
subwin_byte_min,35
up_down_ratio,25
subwin_packet_min,11
up_ia_mean,3
subtype_5_ratio,2
ctrl_ratio,0
subtype_7_ratio,0
subtype_6_ratio,0
rssi_missing_ratio,0
subtype_1_ratio,0
subtype_2_ratio,0
subtype_3_ratio,0
qos_data_ratio,0
subtype_13_ratio,0
subtype_14_ratio,0
subtype_15_ratio,0
subtype_9_ratio,0
subtype_10_ratio,0
subtype_11_ratio,0
subtype_12_ratio,0
up_len_std,0
up_len_p50,0
bssid_known,0
side_packet_ratio,0
burst_packet_fraction,0
up_ia_std,0
subwin_packet_mean,0
subwin_byte_mean,0
