feature,importance
up_len_p50,0.40597403
up_ia_mean,0.1741671
up_packet_ratio,0.08610751
rssi_std,0.037848704
rssi_min,0.035238754
burst_count,0.025204234
len_p95,0.021034196
down_len_std,0.015423008
down_packet_ratio,0.0125693325
len_range,0.012343379
rssi_max,0.012325812
other_packet_ratio,0.010019316
len_min,0.0075512873
len_up_down_diff,0.006928088
rssi_mean,0.0066749803
null_data_ratio,0.00652762
rssi_p90,0.0064547476
len_p10,0.0059952005
subtype_0_ratio,0.0059669497
interarrival_p75,0.0053790263
rssi_p10,0.0052190996
down_ia_std,0.004374981
interarrival_max,0.0041974136
unique_sa_count,0.0041795527
rssi_p50,0.0040439246
up_down_ratio,0.00384087
subwin_packet_mean,0.00366631
len_p25,0.003554638
interarrival_p90,0.003489206
down_ia_mean,0.0031618113
len_cv,0.0030060618
active_subwin_count,0.0029830516
burst_packet_ratio,0.002912576
unique_da_count,0.0029093944
burst_size_mean,0.0027134367
len_p75,0.0026735703
len_p50,0.0026513678
data_ratio,0.0025172073
retry_ratio,0.0024862785
down_len_p50,0.0023428164
long_gap_ratio,0.0022826092
subwin_byte_max,0.0022672191
interarrival_std,0.002237387
len_iqr,0.0021037706
subtype_5_ratio,0.0020660441
subwin_packet_min,0.0020604553
subwin_byte_min,0.0020492657
interarrival_p25,0.0020408782
interarrival_min,0.0020383864
interarrival_p50,0.0020065575
subwin_packet_std,0.001980178
burst_size_min,0.0018634975
interarrival_mean,0.0018531115
interarrival_p95,0.0018145827
burst_size_std,0.0016951106
interarrival_cv,0.001496187
subwin_packet_cv,0.0014878621
subtype_14_ratio,0.0
subtype_12_ratio,0.0
up_len_std,0.0
