feature,importance
rssi_min,2463
rssi_p90,1708
rssi_max,1561
rssi_p10,1383
rssi_std,1181
len_max,1110
rssi_mean,916
rssi_p50,889
down_packet_ratio,838
other_packet_ratio,787
interarrival_p50,626
interarrival_p75,595
len_p95,573
len_p10,550
down_ia_mean,502
subwin_packet_cv,501
burst_packet_ratio,453
len_p90,445
retry_ratio,441
len_cv,424
interarrival_p10,381
down_len_std,361
byte_count,355
interarrival_p25,340
interarrival_std,325
len_range,323
subtype_8_ratio,317
down_ia_std,314
len_p25,292
down_len_mean,285
burst_count,278
interarrival_max,276
len_std,273
burst_size_mean,261
burst_size_std,257
subtype_4_ratio,255
interarrival_p90,242
packet_count,236
up_packet_ratio,219
long_gap_ratio,215
subwin_byte_std,201
len_iqr,200
interarrival_iqr,200
interarrival_p95,194
subwin_byte_max,193
down_len_p50,191
len_mean,186
interarrival_min,184
subwin_packet_std,182
interarrival_cv,170
interarrival_mean,160
len_p75,139
len_p50,109
unique_da_count,105
unique_sa_count,97
burst_size_max,93
len_up_down_diff,90
subtype_0_ratio,87
active_subwin_count,56
len_min,53
subwin_packet_max,49
null_data_ratio,37
data_ratio,36
up_down_ratio,25
subtype_5_ratio,22
burst_size_min,21
mgmt_ratio,14
up_ia_std,13
up_ia_mean,8
up_len_mean,5
subwin_byte_min,1
ctrl_ratio,0
subtype_7_ratio,0
subtype_6_ratio,0
rssi_missing_ratio,0
subtype_1_ratio,0
subtype_2_ratio,0
subtype_3_ratio,0
qos_data_ratio,0
subtype_13_ratio,0
subtype_14_ratio,0
subtype_15_ratio,0
subtype_9_ratio,0
subtype_10_ratio,0
subtype_11_ratio,0
subtype_12_ratio,0
up_len_std,0
up_len_p50,0
bssid_known,0
side_packet_ratio,0
burst_packet_fraction,0
subwin_packet_mean,0
subwin_byte_mean,0
subwin_packet_min,0
