feature,importance
rssi_min,0.12508766882023933
rssi_max,0.124168207718918
rssi_std,0.08542287790445852
rssi_p10,0.0766561785461859
rssi_p90,0.06370388735371636
up_len_p50,0.05301313782349662
up_down_ratio,0.047018550617922844
up_ia_std,0.04393013614462891
rssi_p50,0.042441916435107564
len_p95,0.040294951944260526
up_packet_ratio,0.03796154648459669
len_range,0.034073879299206605
rssi_mean,0.030886966031629073
len_p10,0.03038940097153426
down_len_std,0.017694242224245527
down_ia_std,0.016872746167353302
interarrival_p75,0.01619840421366273
len_cv,0.015152315384071895
down_packet_ratio,0.013223797460058808
down_ia_mean,0.011166498884501634
subtype_8_ratio,0.009998196370655441
len_p25,0.009832593467624497
len_up_down_diff,0.00963127651721973
burst_count,0.009534728573080117
retry_ratio,0.008947894622427156
len_p75,0.007024903224536743
down_len_p50,0.006245287444644734
len_iqr,0.0055817533321994
len_p50,0.0047861651103713095
len_min,0.0030598909074457917
