feature,importance
up_packet_ratio,0.74420154
up_len_p50,0.086018264
up_ia_std,0.038772654
rssi_p90,0.03460538
rssi_min,0.020843891
rssi_max,0.013755491
rssi_p50,0.010293687
rssi_p10,0.009123512
len_p95,0.007698155
len_range,0.0050894893
rssi_std,0.004527416
rssi_mean,0.0037430644
len_up_down_diff,0.0028853044
len_min,0.0025285184
interarrival_p75,0.0021349762
down_packet_ratio,0.0016097453
len_p10,0.0013076472
retry_ratio,0.0012382601
down_len_std,0.0011829466
down_ia_mean,0.0011575294
burst_count,0.0011500207
len_p25,0.0010778751
len_p75,0.0009260268
down_len_p50,0.0008966363
len_cv,0.00079380214
down_ia_std,0.0007358904
subtype_8_ratio,0.00059665606
len_iqr,0.0005925073
len_p50,0.00051311165
up_down_ratio,0.0
