feature,importance
rssi_max,2686
down_ia_std,1882
rssi_min,1777
down_len_std,1630
rssi_std,1607
down_packet_ratio,1571
len_p95,1427
packet_count,1317
len_range,1223
rssi_p90,1220
rssi_p10,1166
burst_count,1112
down_ia_mean,1090
interarrival_p90,1081
rssi_mean,1038
retry_ratio,987
len_p10,921
len_p25,813
interarrival_iqr,771
rssi_p50,632
len_up_down_diff,588
len_p75,450
len_p50,416
null_data_ratio,375
len_min,365
interarrival_p75,294
up_ia_std,278
up_len_p50,211
up_down_ratio,18
up_packet_ratio,4
