feature,importance
up_down_ratio,0.34151736
up_packet_ratio,0.25577563
rssi_min,0.058942102
len_max,0.033545896
rssi_max,0.030523952
other_packet_ratio,0.0176386
rssi_p10,0.016561856
rssi_std,0.011395479
qos_data_ratio,0.010950556
subtype_0_ratio,0.009567595
len_min,0.0091420775
len_mean,0.0076420475
rssi_p90,0.006976885
subwin_byte_std,0.0067859213
burst_count,0.0061123027
len_p95,0.0061037373
rssi_p50,0.005953981
burst_size_mean,0.0058449227
down_packet_ratio,0.005632636
down_len_std,0.005548901
rssi_mean,0.005493874
len_range,0.005420754
data_ratio,0.004930424
len_up_down_diff,0.0048552286
subtype_8_ratio,0.004537186
down_ia_std,0.004525382
down_ia_mean,0.004413178
burst_size_max,0.004266836
burst_packet_fraction,0.0040873187
byte_count,0.0040451786
packet_count,0.003987541
subwin_byte_max,0.0037333774
len_p10,0.003438001
len_p90,0.0034098953
interarrival_min,0.0034094502
interarrival_cv,0.003219418
retry_ratio,0.0030867222
len_p75,0.0030807368
len_std,0.0030223615
interarrival_p10,0.0029895662
len_p50,0.0027594124
burst_size_std,0.002759109
len_iqr,0.0027359943
len_p25,0.0027279109
subtype_4_ratio,0.0026757736
interarrival_p25,0.0026552465
subwin_packet_max,0.0026424304
unique_sa_count,0.002637335
interarrival_max,0.0025331655
unique_da_count,0.0025261384
burst_size_min,0.0024901724
down_len_mean,0.0024799777
subwin_byte_min,0.002457717
interarrival_p75,0.0024518159
subwin_packet_min,0.0024353988
interarrival_mean,0.0023964916
subwin_packet_mean,0.002386969
len_cv,0.0023531094
down_len_p50,0.0022280347
subwin_packet_cv,0.0021960514
interarrival_p90,0.0021846103
interarrival_p95,0.0019547907
burst_packet_ratio,0.0019262937
interarrival_std,0.001873903
subwin_packet_std,0.0018428526
interarrival_p50,0.0017824685
active_subwin_count,0.0013510243
long_gap_ratio,0.0012453315
interarrival_iqr,0.0012406923
null_data_ratio,0.0011988197
subwin_byte_mean,0.0007560634
mgmt_ratio,0.0
ctrl_ratio,0.0
subtype_6_ratio,0.0
rssi_missing_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
subtype_14_ratio,0.0
subtype_13_ratio,0.0
subtype_15_ratio,0.0
subtype_7_ratio,0.0
subtype_9_ratio,0.0
subtype_10_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
subtype_5_ratio,0.0
up_len_std,0.0
bssid_known,0.0
up_len_mean,0.0
side_packet_ratio,0.0
up_len_p50,0.0
up_ia_mean,0.0
up_ia_std,0.0
