feature,importance
up_len_p50,0.08989562248295624
rssi_max,0.08577760601696702
rssi_min,0.0818345759190654
rssi_std,0.07123147701274331
rssi_p10,0.058614390856563475
rssi_p90,0.04656058994386383
up_ia_std,0.034136621745435344
len_min,0.029792899205305912
burst_count,0.029699747398927095
rssi_p50,0.029079986242998585
len_p10,0.026603519867962364
qos_data_ratio,0.0251726682056529
up_packet_ratio,0.024606206536125053
down_packet_ratio,0.023147825708028893
rssi_mean,0.022779127811957654
len_max,0.01901435522737808
other_packet_ratio,0.018833872251282486
down_len_std,0.01873119688068597
retry_ratio,0.018700461833170243
len_p90,0.016845515328104004
down_ia_std,0.016705030786484328
len_p25,0.016697581189332688
len_cv,0.016342900190920998
len_up_down_diff,0.014377861981454437
packet_count,0.012817049312741663
unique_da_count,0.012532068573686894
subwin_byte_max,0.012001337514281386
len_iqr,0.011913519198204705
len_p75,0.011143646871288833
burst_packet_ratio,0.010810984136050165
interarrival_p90,0.010791206163382947
down_ia_mean,0.010309948754653308
unique_sa_count,0.010220302497695984
len_p50,0.010218177292052207
burst_size_max,0.009915223842403238
interarrival_p75,0.00980376555414224
down_len_p50,0.00938459896787893
burst_size_min,0.008895387017759984
interarrival_p50,0.00871571844754832
up_down_ratio,0.005345425232862915
