task,feature_set,model,accuracy,precision,recall,macro_f1
single_round_R2,all_features,rf,0.9577981651376147,0.9574885613400574,0.9577981651376147,0.9576196593728327
single_round_R2,all_features,xgboost,0.9522935779816514,0.9522294372294372,0.9522935779816514,0.9521632581811665
single_round_R2,all_features,lightgbm,0.9541284403669725,0.954187934064095,0.9541284403669724,0.9538573330267802
single_round_R2,all_features,extra_trees,0.9486238532110092,0.9482812682812684,0.9486238532110092,0.9483689280463061
single_round_R2,all_features,stacking,0.9559633027522936,0.956173619890434,0.9559633027522935,0.9559484718363223
single_round_R2,selected_features,rf,0.9486238532110092,0.9488050896746548,0.9486238532110093,0.9481493506493507
single_round_R2,selected_features,xgboost,0.9357798165137615,0.9356821106821107,0.9357798165137616,0.9356202048673985
single_round_R2,selected_features,lightgbm,0.9431192660550459,0.94304505229284,0.943119266055046,0.9429270675267201
single_round_R2,selected_features,extra_trees,0.9504587155963303,0.9502097902097904,0.9504587155963303,0.9501969689165385
single_round_R2,selected_features,stacking,0.9431192660550459,0.9435786714492653,0.943119266055046,0.9431971268410683
single_round_R3,all_features,rf,0.9601449275362319,0.9604773889745879,0.9600300550759266,0.9601634996130409
single_round_R3,all_features,xgboost,0.9637681159420289,0.9639522611025413,0.9636488684097679,0.9637778166773391
single_round_R3,all_features,lightgbm,0.9637681159420289,0.9641075164976662,0.963680758707145,0.9638413087408312
single_round_R3,all_features,extra_trees,0.9565217391304348,0.9569337194337194,0.9563439502889043,0.9565827605058039
single_round_R3,all_features,stacking,0.9619565217391305,0.9623008849557522,0.9618306865915862,0.9620267379625806
single_round_R3,selected_features,rf,0.9655797101449275,0.9654545454545455,0.9654682205140921,0.9654538316907374
single_round_R3,selected_features,xgboost,0.9583333333333334,0.958538961038961,0.9581621321070862,0.9583264906871444
single_round_R3,selected_features,lightgbm,0.9565217391304348,0.9569337194337194,0.9564404909164186,0.9566487811694827
single_round_R3,selected_features,extra_trees,0.9547101449275363,0.9552342971086739,0.9544259856186461,0.9544692564001739
single_round_R3,selected_features,stacking,0.9565217391304348,0.9565765765765765,0.9563767103216645,0.9564540965346767
single_round_R4,all_features,rf,0.9442446043165468,0.9437500195031857,0.9435116158051937,0.9434355165688955
single_round_R4,all_features,xgboost,0.9460431654676259,0.9470394520765737,0.9452543786488741,0.9455011164248625
single_round_R4,all_features,lightgbm,0.9442446043165468,0.9445551206326745,0.9434361968306921,0.943603770518801
single_round_R4,all_features,extra_trees,0.9334532374100719,0.9336227437577701,0.9323936613844872,0.9320375730265106
single_round_R4,all_features,stacking,0.9442446043165468,0.944546701633168,0.9434195162635529,0.943565353943475
single_round_R4,selected_features,rf,0.9442446043165468,0.9447404783119069,0.9433694745621353,0.943339521543815
single_round_R4,selected_features,xgboost,0.9532374100719424,0.9542717086834734,0.9525437864887406,0.9527422825471706
single_round_R4,selected_features,lightgbm,0.9496402877697842,0.9497834542704755,0.9488907422852376,0.94900928989977
