class,task1,task2,cosine_similarity,l1_distance,error_rate_1,error_rate_2
Camera,single_round_R2,single_round_R3,0.0,1.0,0.0,0.018181818181818188
Camera,single_round_R2,single_round_R4,0.0,1.0,0.0,0.008547008547008517
Camera,single_round_R2,loro_R2_R3_to_R4,0.0,1.0,0.0,0.14102564102564108
Camera,single_round_R2,loro_R2_R4_to_R3,0.0,1.0,0.0,0.008219178082191747
Camera,single_round_R2,loro_R3_R4_to_R2,0.0,1.0,0.0,0.09668508287292821
Camera,single_round_R2,joint_R2_R3_R4,0.0,1.0,0.0,0.011940298507462699
Camera,single_round_R2,position_R2_R3_R4_to_R5,0.0,0.9999999999999999,0.0,0.17355371900826444
Camera,single_round_R2,jitter_R2_R3_R4_to_R6,0.0,1.0,0.0,0.28320802005012535
Camera,single_round_R2,jitter_R2_R3_R4_to_R7,0.0,0.9999999999999999,0.0,0.09296482412060303
Camera,single_round_R3,single_round_R4,1.0,0.0,0.018181818181818188,0.008547008547008517
Camera,single_round_R3,loro_R2_R3_to_R4,0.4374657188493062,1.3454545454545455,0.018181818181818188,0.14102564102564108
Camera,single_round_R3,loro_R2_R4_to_R3,0.0,2.0,0.018181818181818188,0.008219178082191747
Camera,single_round_R3,loro_R3_R4_to_R2,0.9284766908852594,0.5714285714285714,0.018181818181818188,0.09668508287292821
Camera,single_round_R3,joint_R2_R3_R4,0.7071067811865475,1.0,0.018181818181818188,0.011940298507462699
Camera,single_round_R3,position_R2_R3_R4_to_R5,0.5519004297242095,1.3015873015873014,0.018181818181818188,0.17355371900826444
Camera,single_round_R3,jitter_R2_R3_R4_to_R6,0.9127351425375657,0.7433628318584071,0.018181818181818188,0.28320802005012535
Camera,single_round_R3,jitter_R2_R3_R4_to_R7,0.826898230594723,0.918918918918919,0.018181818181818188,0.09296482412060303
Camera,single_round_R4,loro_R2_R3_to_R4,0.4374657188493062,1.3454545454545455,0.008547008547008517,0.14102564102564108
Camera,single_round_R4,loro_R2_R4_to_R3,0.0,2.0,0.008547008547008517,0.008219178082191747
Camera,single_round_R4,loro_R3_R4_to_R2,0.9284766908852594,0.5714285714285714,0.008547008547008517,0.09668508287292821
Camera,single_round_R4,joint_R2_R3_R4,0.7071067811865475,1.0,0.008547008547008517,0.011940298507462699
Camera,single_round_R4,position_R2_R3_R4_to_R5,0.5519004297242095,1.3015873015873014,0.008547008547008517,0.17355371900826444
Camera,single_round_R4,jitter_R2_R3_R4_to_R6,0.9127351425375657,0.7433628318584071,0.008547008547008517,0.28320802005012535
Camera,single_round_R4,jitter_R2_R3_R4_to_R7,0.826898230594723,0.918918918918919,0.008547008547008517,0.09296482412060303
Camera,loro_R2_R3_to_R4,loro_R2_R4_to_R3,0.8043003144754624,0.6666666666666667,0.14102564102564108,0.008219178082191747
Camera,loro_R2_R3_to_R4,loro_R3_R4_to_R2,0.40617672301294505,1.3454545454545455,0.14102564102564108,0.09668508287292821
Camera,loro_R2_R3_to_R4,joint_R2_R3_R4,0.9451902054680312,0.34545454545454546,0.14102564102564108,0.011940298507462699
Camera,loro_R2_R3_to_R4,position_R2_R3_R4_to_R5,0.4444645221824074,1.0597402597402596,0.14102564102564108,0.17355371900826444
Camera,loro_R2_R3_to_R4,jitter_R2_R3_R4_to_R6,0.5495709700339422,1.1153660498793243,0.14102564102564108,0.28320802005012535
Camera,loro_R2_R3_to_R4,jitter_R2_R3_R4_to_R7,0.8450639663145217,0.6427518427518427,0.14102564102564108,0.09296482412060303
Camera,loro_R2_R4_to_R3,loro_R3_R4_to_R2,0.1660909597074799,1.4285714285714284,0.008219178082191747,0.09668508287292821
Camera,loro_R2_R4_to_R3,joint_R2_R3_R4,0.6324555320336758,1.0,0.008219178082191747,0.011940298507462699
Camera,loro_R2_R4_to_R3,position_R2_R3_R4_to_R5,0.5609485807612172,1.0476190476190474,0.008219178082191747,0.17355371900826444
Camera,loro_R2_R4_to_R3,jitter_R2_R3_R4_to_R6,0.316201634730092,1.2566371681415929,0.008219178082191747,0.28320802005012535
Camera,loro_R2_R4_to_R3,jitter_R2_R3_R4_to_R7,0.5547001962252291,1.0810810810810811,0.008219178082191747,0.09296482412060303
Camera,loro_R3_R4_to_R2,joint_R2_R3_R4,0.6565321642986128,1.0,0.09668508287292821,0.011940298507462699
Camera,loro_R3_R4_to_R2,position_R2_R3_R4_to_R5,0.8105658466890608,0.7301587301587302,0.09668508287292821,0.17355371900826444
Camera,loro_R3_R4_to_R2,jitter_R2_R3_R4_to_R6,0.985910464455097,0.23008849557522126,0.09668508287292821,0.28320802005012535
Camera,loro_R3_R4_to_R2,jitter_R2_R3_R4_to_R7,0.8291761914687816,0.7027027027027027,0.09668508287292821,0.09296482412060303
Camera,joint_R2_R3_R4,position_R2_R3_R4_to_R5,0.5499013012877502,1.0158730158730158,0.011940298507462699,0.17355371900826444
Camera,joint_R2_R3_R4,jitter_R2_R3_R4_to_R6,0.7635732610156191,0.7699115044247787,0.011940298507462699,0.28320802005012535
Camera,joint_R2_R3_R4,jitter_R2_R3_R4_to_R7,0.9647638212377322,0.29729729729729726,0.011940298507462699,0.09296482412060303
Camera,position_R2_R3_R4_to_R5,jitter_R2_R3_R4_to_R6,0.8407473480396919,0.5582244697288945,0.17355371900826444,0.28320802005012535
Camera,position_R2_R3_R4_to_R5,jitter_R2_R3_R4_to_R7,0.7104780905235002,0.7996567996567996,0.17355371900826444,0.09296482412060303
Camera,jitter_R2_R3_R4_to_R6,jitter_R2_R3_R4_to_R7,0.9062183956295212,0.4726142071274815,0.28320802005012535,0.09296482412060303
Light_T1,single_round_R2,single_round_R3,0.0,1.0,0.11009174311926606,0.0
Light_T1,single_round_R2,single_round_R4,0.6569542624113024,1.0833333333333333,0.11009174311926606,0.07272727272727275
Light_T1,single_round_R2,loro_R2_R3_to_R4,0.22626997036187135,1.59009009009009,0.11009174311926606,0.20273972602739732
Light_T1,single_round_R2,loro_R2_R4_to_R3,0.9221111819503842,0.5315151515151515,0.11009174311926606,0.7575757575757576
Light_T1,single_round_R2,loro_R3_R4_to_R2,0.8478013783525365,0.7047619047619047,0.11009174311926606,0.3856749311294766
Light_T1,single_round_R2,joint_R2_R3_R4,0.7206577488051269,0.9047619047619049,0.11009174311926606,0.08562691131498468
Light_T1,single_round_R2,position_R2_R3_R4_to_R5,0.8619324745416703,0.6853188929001204,0.11009174311926606,0.7589041095890411
Light_T1,single_round_R2,jitter_R2_R3_R4_to_R6,0.7063990463989346,0.9895833333333333,0.11009174311926606,0.3248730964467005
Light_T1,single_round_R2,jitter_R2_R3_R4_to_R7,0.8194234064775309,0.7777777777777777,0.11009174311926606,0.2727272727272727
Light_T1,single_round_R3,single_round_R4,0.0,1.0,0.0,0.07272727272727275
Light_T1,single_round_R3,loro_R2_R3_to_R4,0.0,0.9999999999999999,0.0,0.20273972602739732
Light_T1,single_round_R3,loro_R2_R4_to_R3,0.0,1.0,0.0,0.7575757575757576
Light_T1,single_round_R3,loro_R3_R4_to_R2,0.0,1.0,0.0,0.3856749311294766
Light_T1,single_round_R3,joint_R2_R3_R4,0.0,1.0,0.0,0.08562691131498468
Light_T1,single_round_R3,position_R2_R3_R4_to_R5,0.0,1.0,0.0,0.7589041095890411
Light_T1,single_round_R3,jitter_R2_R3_R4_to_R6,0.0,1.0,0.0,0.3248730964467005
