task,feature_set,extra_trees,lightgbm,rf,stacking,xgboost
jitter_R2_R3_R4_to_R6,all_features,0.705445,0.764076,0.748875,0.773066,0.778365
jitter_R2_R3_R4_to_R6,selected_features,0.703948,0.754534,0.723521,0.759307,0.764208
jitter_R2_R3_R4_to_R6_R7,all_features,0.751568,0.786728,0.785756,0.796911,0.797026
jitter_R2_R3_R4_to_R6_R7,selected_features,0.752107,0.781883,0.764337,0.785214,0.788047
jitter_R2_R3_R4_to_R7,all_features,0.796796,0.808848,0.821972,0.820444,0.815437
jitter_R2_R3_R4_to_R7,selected_features,0.799813,0.809084,0.804823,0.810929,0.811844
joint_R2_R3_R4,all_features,0.900271,0.951909,0.930659,0.948892,0.947116
joint_R2_R3_R4,selected_features,0.908574,0.943399,0.920232,0.942808,0.940999
loro_R2_R3_to_R4,all_features,0.665776,0.66618,0.659212,0.663397,0.661877
loro_R2_R3_to_R4,selected_features,0.655659,0.668773,0.655375,0.660204,0.666874
loro_R2_R4_to_R3,all_features,0.588777,0.552736,0.614816,0.545482,0.533158
loro_R2_R4_to_R3,selected_features,0.503097,0.520669,0.536788,0.520389,0.516526
loro_R3_R4_to_R2,all_features,0.77691,0.793427,0.809799,0.790535,0.775209
loro_R3_R4_to_R2,selected_features,0.761742,0.786876,0.80844,0.791789,0.777612
position_R2_R3_R4_to_R5,all_features,0.642276,0.658391,0.701222,0.667829,0.660307
position_R2_R3_R4_to_R5,selected_features,0.608794,0.65069,0.654071,0.636469,0.643236
single_round_R2,all_features,0.948369,0.953857,0.95762,0.955948,0.952163
single_round_R2,selected_features,0.950197,0.942927,0.948149,0.943197,0.93562
single_round_R3,all_features,0.956583,0.963841,0.960163,0.962027,0.963778
single_round_R3,selected_features,0.954469,0.956649,0.965454,0.956454,0.958326
single_round_R4,all_features,0.932038,0.943604,0.943436,0.943565,0.945501
single_round_R4,selected_features,0.945519,0.949009,0.94334,0.94906,0.952742
