task,feature_set,extra_trees,lightgbm,rf,stacking,xgboost
jitter_R2_R3_R4_to_R6,all_features,0.705445249510111,0.7640759809256255,0.7488747806643499,0.7730661144614588,0.7783647964241942
jitter_R2_R3_R4_to_R6,selected_features,0.7039484941565295,0.7545339195500207,0.7235211120580545,0.7593069021018432,0.7642082628599783
jitter_R2_R3_R4_to_R6_R7,all_features,0.7515681301677548,0.7867283612645614,0.7857564694967087,0.796911118856371,0.797025777793998
jitter_R2_R3_R4_to_R6_R7,selected_features,0.7521065424608167,0.7818831903474408,0.7643367870864328,0.7852135270506653,0.7880473015767231
jitter_R2_R3_R4_to_R7,all_features,0.7967956471485002,0.8088477748505276,0.8219721259799911,0.8204439830298785,0.8154367714214587
jitter_R2_R3_R4_to_R7,selected_features,0.7998125773129142,0.8090841891410658,0.8048229768064875,0.8109290591417523,0.8118439743427526
joint_R2_R3_R4,all_features,0.9002708624845152,0.9519085264392663,0.9306592310168786,0.9488916724583788,0.9471160499466895
joint_R2_R3_R4,selected_features,0.9085738369121696,0.9433992390188412,0.920231894951786,0.9428083088904845,0.9409985584973141
loro_R2_R3_to_R4,all_features,0.6657761390732111,0.6661799166983895,0.6592117370350504,0.6633973775317822,0.6618770405744276
loro_R2_R3_to_R4,selected_features,0.6556594602093557,0.6687733342472788,0.6553752936563216,0.6602035230921506,0.6668737837158973
loro_R2_R4_to_R3,all_features,0.588776651529636,0.552736123006713,0.6148161314237031,0.5454822508677128,0.5331577734068969
loro_R2_R4_to_R3,selected_features,0.5030969431969087,0.5206691845372988,0.5367882349976272,0.5203885131443082,0.5165262213137545
loro_R3_R4_to_R2,all_features,0.776909835366751,0.7934265218076193,0.8097991283932819,0.7905353668369289,0.7752091537055984
loro_R3_R4_to_R2,selected_features,0.761742155767663,0.786876144469894,0.808439856947941,0.7917887625136726,0.7776117222128324
position_R2_R3_R4_to_R5,all_features,0.6422760760425074,0.6583908067353137,0.7012224296594887,0.6678293830376971,0.6603072409777727
position_R2_R3_R4_to_R5,selected_features,0.6087937945787203,0.6506896104581253,0.6540706309859254,0.6364689000576801,0.6432364714395001
single_round_R2,all_features,0.9483689280463061,0.9538573330267802,0.9576196593728327,0.9559484718363223,0.9521632581811665
single_round_R2,selected_features,0.9501969689165385,0.9429270675267201,0.9481493506493507,0.9431971268410683,0.9356202048673985
single_round_R3,all_features,0.9565827605058039,0.9638413087408312,0.9601634996130409,0.9620267379625806,0.9637778166773391
single_round_R3,selected_features,0.9544692564001739,0.9566487811694827,0.9654538316907374,0.9564540965346767,0.9583264906871444
single_round_R4,all_features,0.9320375730265106,0.943603770518801,0.9434355165688955,0.943565353943475,0.9455011164248625
single_round_R4,selected_features,0.9455190846792199,0.94900928989977,0.943339521543815,0.9490597457802206,0.9527422825471706
