task,feature_set,extra_trees,lightgbm,rf,stacking,xgboost
jitter_R2_R3_R4_to_R6,all_features,0.7249130918175268,0.793483282131859,0.7646439045817709,0.7867638144765741,0.7869961759883468
jitter_R2_R3_R4_to_R6,selected_features,0.7206416607251998,0.7828344587902689,0.7399238970360603,0.7749349393633524,0.7781704922678326
jitter_R2_R3_R4_to_R6_R7,all_features,0.7622779956914364,0.8095740935066738,0.7950123514088613,0.8075200031621435,0.8047617556564134
jitter_R2_R3_R4_to_R6_R7,selected_features,0.7608982447286265,0.8008146582250033,0.7735924094955501,0.7968339729964535,0.8000394547734597
jitter_R2_R3_R4_to_R7,all_features,0.8006180448518077,0.8256780028221676,0.8262179328651195,0.8284840626461291,0.8227743370366788
jitter_R2_R3_R4_to_R7,selected_features,0.8029611209178953,0.8197739171652672,0.8091481086374571,0.818903112734308,0.8218608340177569
joint_R2_R3_R4,all_features,0.9009023184675359,0.9521336401407346,0.9309894292934009,0.9492482940789811,0.947581936973824
joint_R2_R3_R4,selected_features,0.9088333359080851,0.9436424238371501,0.9205859720417143,0.9432435266769097,0.941435124078924
loro_R2_R3_to_R4,all_features,0.7274881676808654,0.6946384818884819,0.7276857144134101,0.7083907831006642,0.6919261171075723
loro_R2_R3_to_R4,selected_features,0.627223314548669,0.6734655997360172,0.6520267489085032,0.6493881125678997,0.6810459037996924
loro_R2_R4_to_R3,all_features,0.5942643798065045,0.5428496997672634,0.6225074706021854,0.5263185512864372,0.5072755801621621
loro_R2_R4_to_R3,selected_features,0.46914903485829546,0.4861008589094794,0.5153843569488687,0.48739880878358327,0.4822113076377083
loro_R3_R4_to_R2,all_features,0.7834438319386539,0.7994482625368287,0.814255723120555,0.7965124273989643,0.7844321532025695
loro_R3_R4_to_R2,selected_features,0.7679976406261121,0.7941079186234548,0.8112339455271751,0.7982214030815598,0.7851914900022191
position_R2_R3_R4_to_R5,all_features,0.6412327430383273,0.6538256600420876,0.7064556600220291,0.6679410442215727,0.6475509489947956
position_R2_R3_R4_to_R5,selected_features,0.6095900717972433,0.6444132309250424,0.6594411458009447,0.6310694978857632,0.630821612458574
single_round_R2,all_features,0.9482812682812684,0.954187934064095,0.9574885613400574,0.956173619890434,0.9522294372294372
single_round_R2,selected_features,0.9502097902097904,0.94304505229284,0.9488050896746548,0.9435786714492653,0.9356821106821107
single_round_R3,all_features,0.9569337194337194,0.9641075164976662,0.9604773889745879,0.9623008849557522,0.9639522611025413
single_round_R3,selected_features,0.9552342971086739,0.9569337194337194,0.9654545454545455,0.9565765765765765,0.958538961038961
single_round_R4,all_features,0.9336227437577701,0.9445551206326745,0.9437500195031857,0.944546701633168,0.9470394520765737
single_round_R4,selected_features,0.9477176941681129,0.9497834542704755,0.9447404783119069,0.9502189219876638,0.9542717086834734
