task,feature_set,extra_trees,lightgbm,rf,stacking,xgboost
jitter_R2_R3_R4_to_R6,all_features,0.7033765032093277,0.7612020518954531,0.7454067490400629,0.7694591609067576,0.7759973896965254
jitter_R2_R3_R4_to_R6,selected_features,0.7003442559435349,0.7499668338100923,0.7187004188155592,0.7548372442287271,0.7609359132396115
jitter_R2_R3_R4_to_R6_R7,all_features,0.7496029820390061,0.7849361825198385,0.7825790949566782,0.7942930610545562,0.7947632592203357
jitter_R2_R3_R4_to_R6_R7,selected_features,0.7496152508227036,0.7787037824841565,0.7603966058607012,0.7819052378621699,0.7857414136057762
jitter_R2_R3_R4_to_R7,all_features,0.7959496218398263,0.8086142507793912,0.8198198646653854,0.8190767563215562,0.8134815047960793
jitter_R2_R3_R4_to_R7,selected_features,0.7989773678456203,0.8074683115957481,0.8021605285960727,0.8089617579461938,0.8105328806723839
joint_R2_R3_R4,all_features,0.9002478226677528,0.9519255133738442,0.9306736474781225,0.9488967976437556,0.9470839323160245
joint_R2_R3_R4,selected_features,0.9087665196840709,0.9434217752392172,0.9203206175944192,0.9428323280076791,0.9410194626799482
loro_R2_R3_to_R4,all_features,0.7130286211402389,0.7141653803924904,0.7057514906057267,0.7121536899784772,0.710834557592979
loro_R2_R3_to_R4,selected_features,0.7097912894643388,0.7231124955819921,0.710112026718391,0.7167203592269733,0.7220165311332771
loro_R2_R4_to_R3,all_features,0.6070356266796446,0.5978615576595712,0.6305451136456817,0.585894281279878,0.5765608209486349
loro_R2_R4_to_R3,selected_features,0.5621163838877898,0.589908046844535,0.5786317932389068,0.5828171825474623,0.579011166857961
loro_R3_R4_to_R2,all_features,0.7770280417128218,0.7968720095556613,0.8084345974485851,0.7935753314156127,0.778674996387855
loro_R3_R4_to_R2,selected_features,0.7626938658583801,0.7891342089631653,0.8084135396332062,0.7946605928421359,0.7808849161200495
position_R2_R3_R4_to_R5,all_features,0.6553317325223781,0.6773309031363427,0.7119468617496043,0.6839016545813571,0.6861976528250102
position_R2_R3_R4_to_R5,selected_features,0.6195959067776767,0.6751632491500252,0.666849110745136,0.6597754986688751,0.6691539908000281
single_round_R2,all_features,0.9486238532110092,0.9541284403669724,0.9577981651376147,0.9559633027522935,0.9522935779816514
single_round_R2,selected_features,0.9504587155963303,0.943119266055046,0.9486238532110093,0.943119266055046,0.9357798165137616
single_round_R3,all_features,0.9563439502889043,0.963680758707145,0.9600300550759266,0.9618306865915862,0.9636488684097679
single_round_R3,selected_features,0.9544259856186461,0.9564404909164186,0.9654682205140921,0.9563767103216645,0.9581621321070862
single_round_R4,all_features,0.9323936613844872,0.9434361968306921,0.9435116158051937,0.9434195162635529,0.9452543786488741
single_round_R4,selected_features,0.9452210175145954,0.9488907422852376,0.9433694745621353,0.9488907422852376,0.9525437864887406
