environment,class,recall
R2,Camera,1.0
R2,Light_T1,0.8899082568807339
R2,Light_XM,0.8990825688073395
R2,Sensor,1.0
R2,Socket,1.0
R3,Camera,0.9818181818181818
R3,Light_T1,1.0
R3,Light_XM,0.9009009009009009
R3,Sensor,0.9174311926605505
R3,Socket,1.0
R4,Camera,0.9914529914529915
R4,Light_T1,0.9272727272727272
R4,Light_XM,0.9272727272727272
R4,Sensor,0.8715596330275229
R4,Socket,1.0
R5,Camera,0.8264462809917356
R5,Light_T1,0.2410958904109589
R5,Light_XM,0.8264462809917356
R5,Sensor,0.6657458563535912
R5,Socket,1.0
R6,Camera,0.7167919799498746
R6,Light_T1,0.6751269035532995
R6,Light_XM,0.5721518987341773
R6,Sensor,0.762962962962963
R6,Socket,1.0
R7,Camera,0.907035175879397
R7,Light_T1,0.7272727272727273
R7,Light_XM,0.6903553299492385
R7,Sensor,0.7744360902255639
R7,Socket,1.0
