filter_mode,task,task_type,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,accuracy,precision,recall,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket
raw_all,jitter_R2_R3_R4_to_R6,fixed_split,"['R2', 'R3', 'R4']",['R6'],5506,1988,all_features,extra_trees,94,0.7037223340040242,0.7249130918175268,0.7033765032093277,0.705445249510111,0.8314285714285714,0.5567010309278351,0.48034934497816595,0.6587473002159827,1.0
raw_all,jitter_R2_R3_R4_to_R6,fixed_split,"['R2', 'R3', 'R4']",['R6'],5506,1988,all_features,lightgbm,94,0.7605633802816901,0.793483282131859,0.7612020518954531,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0
raw_all,jitter_R2_R3_R4_to_R6,fixed_split,"['R2', 'R3', 'R4']",['R6'],5506,1988,all_features,rf,94,0.7454728370221329,0.7646439045817709,0.7454067490400629,0.7488747806643499,0.8159771754636234,0.617169373549884,0.6191780821917808,0.6920492721164614,1.0
raw_all,jitter_R2_R3_R4_to_R6,fixed_split,"['R2', 'R3', 'R4']",['R6'],5506,1988,all_features,stacking,94,0.7691146881287726,0.7867638144765741,0.7694591609067576,0.7730661144614588,0.9001331557922769,0.6041666666666666,0.646551724137931,0.7144790257104194,1.0
raw_all,jitter_R2_R3_R4_to_R6,fixed_split,"['R2', 'R3', 'R4']",['R6'],5506,1988,all_features,xgboost,94,0.7756539235412475,0.7869961759883468,0.7759973896965254,0.7783647964241942,0.9024707412223667,0.6222791293213829,0.6547085201793722,0.7123655913978495,1.0
raw_all,jitter_R2_R3_R4_to_R6,fixed_split,"['R2', 'R3', 'R4']",['R6'],5506,1988,selected_features,extra_trees,60,0.7007042253521126,0.7206416607251998,0.7003442559435349,0.7039484941565295,0.833810888252149,0.5352112676056338,0.48551724137931035,0.6652030735455543,1.0
raw_all,jitter_R2_R3_R4_to_R6,fixed_split,"['R2', 'R3', 'R4']",['R6'],5506,1988,selected_features,lightgbm,60,0.7494969818913481,0.7828344587902689,0.7499668338100923,0.7545339195500207,0.8939597315436242,0.5762237762237762,0.6131243878550441,0.6893617021276596,1.0
raw_all,jitter_R2_R3_R4_to_R6,fixed_split,"['R2', 'R3', 'R4']",['R6'],5506,1988,selected_features,rf,60,0.7188128772635815,0.7399238970360603,0.7187004188155592,0.7235211120580545,0.8242074927953891,0.5673758865248227,0.5638297872340425,0.6621923937360179,1.0
raw_all,jitter_R2_R3_R4_to_R6,fixed_split,"['R2', 'R3', 'R4']",['R6'],5506,1988,selected_features,stacking,60,0.7545271629778671,0.7749349393633524,0.7548372442287271,0.7593069021018432,0.8888888888888888,0.5815789473684211,0.625531914893617,0.7005347593582888,1.0
raw_all,jitter_R2_R3_R4_to_R6,fixed_split,"['R2', 'R3', 'R4']",['R6'],5506,1988,selected_features,xgboost,60,0.7605633802816901,0.7781704922678326,0.7609359132396115,0.7642082628599783,0.8996088657105606,0.5984251968503937,0.6223175965665236,0.7006896551724138,1.0
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,extra_trees,94,0.7505651846269782,0.7622779956914364,0.7496029820390061,0.7515681301677548,0.8946295037389531,0.5984714873603763,0.5625879043600562,0.7021517553793885,1.0
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,lightgbm,94,0.7849786485807586,0.8095740935066738,0.7849361825198385,0.7867283612645614,0.938562091503268,0.6502659574468085,0.6683647478349465,0.6764490095377843,1.0
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,rf,94,0.7832202964079377,0.7950123514088613,0.7825790949566782,0.7857564694967087,0.8844839371155161,0.6517647058823529,0.6684563758389261,0.7240773286467487,1.0
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,stacking,94,0.7945239889475006,0.8075200031621435,0.7942930610545562,0.796911118856371,0.9336835193696651,0.6553030303030303,0.6804008908685969,0.7151681537405628,1.0
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,all_features,xgboost,94,0.7950263752825923,0.8047617556564134,0.7947632592203357,0.797025777793998,0.9316851008458035,0.6621287128712872,0.6770293609671848,0.7142857142857143,1.0
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,selected_features,extra_trees,60,0.7505651846269782,0.7608982447286265,0.7496152508227036,0.7521065424608167,0.8994565217391305,0.5910979228486647,0.5607094133697135,0.7092688543465746,1.0
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,selected_features,lightgbm,60,0.7789500125596583,0.8008146582250033,0.7787037824841565,0.7818831903474408,0.9308755760368663,0.6296547054840894,0.6490956072351421,0.6997900629811057,1.0
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,selected_features,rf,60,0.7611152976639035,0.7735924094955501,0.7603966058607012,0.7643367870864328,0.8855172413793103,0.6153846153846154,0.6171875,0.703594578668238,1.0
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,selected_features,stacking,60,0.7822155237377544,0.7968339729964535,0.7819052378621699,0.7852135270506653,0.9249169435215947,0.6335483870967742,0.6604498080087767,0.7071524966261808,1.0
raw_all,jitter_R2_R3_R4_to_R6_R7,fixed_split,"['R2', 'R3', 'R4']","['R6', 'R7']",5506,3981,selected_features,xgboost,60,0.785983421250942,0.8000394547734597,0.7857414136057762,0.7880473015767231,0.9291747888239116,0.6468305304010349,0.6619411123227917,0.7022900763358778,1.0
raw_all,jitter_R2_R3_R4_to_R7,fixed_split,"['R2', 'R3', 'R4']",['R7'],5506,1993,all_features,extra_trees,94,0.7972905168088309,0.8006180448518077,0.7959496218398263,0.7967956471485002,0.9520103761348897,0.642512077294686,0.6394557823129252,0.75,1.0
raw_all,jitter_R2_R3_R4_to_R7,fixed_split,"['R2', 'R3', 'R4']",['R7'],5506,1993,all_features,lightgbm,94,0.809332664325138,0.8256780028221676,0.8086142507793912,0.8088477748505276,0.9703989703989704,0.7016645326504481,0.6986155484558041,0.6735598227474151,1.0
raw_all,jitter_R2_R3_R4_to_R7,fixed_split,"['R2', 'R3', 'R4']",['R7'],5506,1993,all_features,rf,94,0.8208730556949323,0.8262179328651195,0.8198198646653854,0.8219721259799911,0.94750656167979,0.6873508353221957,0.7157894736842105,0.7592137592137592,1.0
raw_all,jitter_R2_R3_R4_to_R7,fixed_split,"['R2', 'R3', 'R4']",['R7'],5506,1993,all_features,stacking,94,0.8198695434019067,0.8284840626461291,0.8190767563215562,0.8204439830298785,0.966321243523316,0.7034313725490197,0.716589861751152,0.7158774373259053,1.0
raw_all,jitter_R2_R3_R4_to_R7,fixed_split,"['R2', 'R3', 'R4']",['R7'],5506,1993,all_features,xgboost,94,0.814350225790266,0.8227743370366788,0.8134815047960793,0.8154367714214587,0.9609375,0.6994011976047905,0.7005917159763314,0.7162534435261708,1.0
raw_all,jitter_R2_R3_R4_to_R7,fixed_split,"['R2', 'R3', 'R4']",['R7'],5506,1993,selected_features,extra_trees,60,0.8003010536879077,0.8029611209178953,0.7989773678456203,0.7998125773129142,0.958656330749354,0.6482593037214885,0.6342780026990553,0.7578692493946732,1.0
raw_all,jitter_R2_R3_R4_to_R7,fixed_split,"['R2', 'R3', 'R4']",['R7'],5506,1993,selected_features,lightgbm,60,0.8083291520321124,0.8197739171652672,0.8074683115957481,0.8090841891410658,0.9664082687338501,0.6797900262467191,0.6892778993435449,0.7099447513812155,1.0
raw_all,jitter_R2_R3_R4_to_R7,fixed_split,"['R2', 'R3', 'R4']",['R7'],5506,1993,selected_features,rf,60,0.8033115905669844,0.8091481086374571,0.8021605285960727,0.8048229768064875,0.9417989417989417,0.6642599277978339,0.6683673469387755,0.7496886674968867,1.0
raw_all,jitter_R2_R3_R4_to_R7,fixed_split,"['R2', 'R3', 'R4']",['R7'],5506,1993,selected_features,stacking,60,0.8098344204716508,0.818903112734308,0.8089617579461938,0.8109290591417523,0.9595827900912647,0.6835443037974683,0.6976217440543602,0.7138964577656676,1.0
raw_all,jitter_R2_R3_R4_to_R7,fixed_split,"['R2', 'R3', 'R4']",['R7'],5506,1993,selected_features,xgboost,60,0.8113396889111891,0.8218608340177569,0.8105328806723839,0.8118439743427526,0.9585492227979274,0.6938775510204082,0.7028824833702882,0.7039106145251397,1.0
raw_all,joint_R2_R3_R4,joint_validation,"['R2', 'R3', 'R4']","['R2', 'R3', 'R4']",3854,1652,all_features,extra_trees,94,0.9007263922518159,0.9009023184675359,0.9002478226677528,0.9002708624845152,0.9910179640718563,0.8301329394387001,0.8173374613003096,0.8628659476117103,1.0
raw_all,joint_R2_R3_R4,joint_validation,"['R2', 'R3', 'R4']","['R2', 'R3', 'R4']",3854,1652,all_features,lightgbm,94,0.9521791767554479,0.9521336401407346,0.9519255133738442,0.9519085264392663,0.9910714285714286,0.9175412293853074,0.9221374045801527,0.9287925696594427,1.0
raw_all,joint_R2_R3_R4,joint_validation,"['R2', 'R3', 'R4']","['R2', 'R3', 'R4']",3854,1652,all_features,rf,94,0.9309927360774818,0.9309894292934009,0.9306736474781225,0.9306592310168786,0.992503748125937,0.8912071535022354,0.8755760368663594,0.8940092165898618,1.0
raw_all,joint_R2_R3_R4,joint_validation,"['R2', 'R3', 'R4']","['R2', 'R3', 'R4']",3854,1652,all_features,stacking,94,0.9491525423728814,0.9492482940789811,0.9488967976437556,0.9488916724583788,0.991044776119403,0.9150521609538003,0.9174311926605505,0.9209302325581395,1.0
raw_all,joint_R2_R3_R4,joint_validation,"['R2', 'R3', 'R4']","['R2', 'R3', 'R4']",3854,1652,all_features,xgboost,94,0.9473365617433414,0.947581936973824,0.9470839323160245,0.9471160499466895,0.9895366218236173,0.9093610698365527,0.9171779141104295,0.9195046439628483,1.0
raw_all,joint_R2_R3_R4,joint_validation,"['R2', 'R3', 'R4']","['R2', 'R3', 'R4']",3854,1652,selected_features,extra_trees,60,0.9092009685230025,0.9088333359080851,0.9087665196840709,0.9085738369121696,0.992548435171386,0.8417910447761194,0.8260869565217391,0.8824427480916031,1.0
raw_all,joint_R2_R3_R4,joint_validation,"['R2', 'R3', 'R4']","['R2', 'R3', 'R4']",3854,1652,selected_features,lightgbm,60,0.9437046004842615,0.9436424238371501,0.9434217752392172,0.9433992390188412,0.9895678092399404,0.9025487256371814,0.9107692307692308,0.9141104294478528,1.0
raw_all,joint_R2_R3_R4,joint_validation,"['R2', 'R3', 'R4']","['R2', 'R3', 'R4']",3854,1652,selected_features,rf,60,0.9207021791767555,0.9205859720417143,0.9203206175944192,0.920231894951786,0.992526158445441,0.8682634730538922,0.860248447204969,0.8801213960546282,1.0
raw_all,joint_R2_R3_R4,joint_validation,"['R2', 'R3', 'R4']","['R2', 'R3', 'R4']",3854,1652,selected_features,stacking,60,0.9430992736077481,0.9432435266769097,0.9428323280076791,0.9428083088904845,0.991044776119403,0.9014925373134328,0.9085271317829458,0.9129770992366413,1.0
raw_all,joint_R2_R3_R4,joint_validation,"['R2', 'R3', 'R4']","['R2', 'R3', 'R4']",3854,1652,selected_features,xgboost,60,0.9412832929782082,0.941435124078924,0.9410194626799482,0.9409985584973141,0.9895366218236173,0.9017857142857143,0.9026275115919629,0.911042944785276,1.0
