feature,mutual_info,correlation_kept,correlation_dropped,model_importance,shap_importance,mi_norm,model_norm,shap_norm,joint_score,selected,task
rssi_min,1.0085843444039946,True,False,0.0841560773984536,0.0364537870807829,0.917505009993677,0.9965234285162418,0.9364022084665986,0.9501435489921723,True,single_round_R2
rssi_max,0.8659117505772127,True,False,0.0844496727224532,0.0377744047690425,0.7877163410031622,1.0,0.9703254142253298,0.9193472517428308,True,single_round_R2
rssi_std,0.7675140199478319,True,False,0.074277595558485,0.0341959430774482,0.6982043320914884,0.8795486490824059,0.8784041160760774,0.8187190324166572,True,single_round_R2
rssi_p10,0.8990814501891413,True,False,0.0692140937308235,0.0293918623599327,0.8178906796618829,0.8195898397178879,0.7549998787175711,0.7974934660324472,True,single_round_R2
up_len_p50,0.5088775838728807,True,False,0.0727766698810965,0.0389296252733936,0.4629238350440098,0.8617756296140965,1.0,0.7748998215527022,True,single_round_R2
rssi_p90,0.6830412660220508,True,False,0.0499081863746644,0.0198644350016805,0.6213598169402375,0.5909814066265179,0.5102652507486842,0.5742021581051465,True,single_round_R2
rssi_p50,0.7750629486756275,True,False,0.0353836126034109,0.0130900284174363,0.7050715613581994,0.4189905237371422,0.336248508058019,0.4867701977177868,True,single_round_R2
len_range,1.0992684872761025,True,False,0.0206605878225042,0.0074815746962708,1.0,0.244649708595153,0.192182037297547,0.4789439152975667,True,single_round_R2
rssi_mean,0.5609651829003959,True,False,0.0304914007910999,0.013809171189424,0.5103077086203224,0.3610600231845896,0.3547214002818025,0.4086963773622381,True,single_round_R2
up_ia_std,0.5349994823904585,True,False,0.0283731365068684,0.0139136628583807,0.4866868181731867,0.3359768675494787,0.3574055172806918,0.393356401001119,True,single_round_R2
len_p95,0.7587431834563241,True,False,0.0168361197997305,0.0062852423853558,0.6902255383818268,0.1993627595818282,0.1614513970071919,0.3503465649902823,True,single_round_R2
up_packet_ratio,0.5083041959972201,True,False,0.0230459258142123,0.0118907736815444,0.462402226463124,0.2728953833835872,0.3054427983325896,0.3469134693931002,True,single_round_R2
len_p10,0.6376719855728765,True,False,0.0204761473975111,0.0064641679441729,0.5800875700102853,0.2424656808890986,0.1660475254713231,0.329533592123569,True,single_round_R2
len_p25,0.5249952807600557,True,False,0.0177944938252327,0.0054777192018108,0.4775860372937199,0.2107112230465947,0.1407082437434758,0.2763351680279302,True,single_round_R2
len_min,0.3057992761310677,True,False,0.0219688901778751,0.0112220226947398,0.2781843377397394,0.2601418036287329,0.2882643389431629,0.2755301601038784,True,single_round_R2
subtype_8_ratio,0.4717070069002371,True,False,0.0181408598266304,0.0062397679562799,0.4291099147844114,0.2148126717583738,0.1602832781579456,0.2680686215669103,True,single_round_R2
len_up_down_diff,0.5910346709026053,True,False,0.0132136484733557,0.0038736139434387,0.5376617975897234,0.1564677286172896,0.0995029856114781,0.2645441706061637,True,single_round_R2
len_p75,0.6223780585417098,True,False,0.00952406665958,0.0032762611866739,0.5661747477942461,0.1127780173983764,0.0841585595459886,0.2543704415795371,True,single_round_R2
len_cv,0.3683495943515451,True,False,0.017614258860744,0.0074800158231271,0.3350861037272935,0.2085769937633021,0.1921419939338432,0.2452683638081463,True,single_round_R2
len_p50,0.5832600495385403,True,False,0.0098361069110673,0.0034499176217907,0.5305892566645033,0.116473002132217,0.0886193380378762,0.2452271989448654,True,single_round_R2
down_ia_std,0.4860720751520526,True,False,0.0125251748605017,0.0050264169560163,0.4421777580075087,0.1483152563736527,0.1291154723611377,0.2398694955807664,True,single_round_R2
down_len_std,0.496921474278845,True,False,0.0124774463805091,0.0041975704426737,0.4520474115565487,0.147750085681406,0.1078245786645824,0.2358740253008457,True,single_round_R2
down_packet_ratio,0.3712730763708394,True,False,0.0174747943592692,0.0062588498465937,0.3377455832385623,0.2069255427040046,0.1607734418874914,0.2351481892766861,True,single_round_R2
up_down_ratio,0.5173993837977644,True,False,0.0081794252906511,0.0041314792208107,0.4706760812181906,0.0968556185828347,0.1061268684657581,0.2245528560889278,True,single_round_R2
down_len_p50,0.4764102988723122,True,False,0.0100881924582957,0.0034762360207779,0.4333884800544206,0.1194580409026681,0.0892953887011539,0.2140473032194142,True,single_round_R2
burst_count,0.3688661367694297,True,False,0.0143886581826563,0.0050717064047592,0.335556000230162,0.1703814558280789,0.1302788395506478,0.2120720985362962,True,single_round_R2
len_iqr,0.4750001180713874,True,False,0.0073001536950937,0.0021957202238069,0.4321056444075813,0.0864438364265305,0.0564022953826798,0.1916505920722639,True,single_round_R2
interarrival_p75,0.4389988042898696,True,False,0.0089975752078219,0.0025840641573639,0.3993553980408124,0.1065436362008502,0.0663778328000003,0.1907589556805543,True,single_round_R2
retry_ratio,0.1724140349225065,True,False,0.0159149908905852,0.008771094198888,0.1568443350447845,0.1884553293994448,0.2253064122064025,0.1902020255502106,True,single_round_R2
down_ia_mean,0.4348674355865172,True,False,0.007606859646996,0.0024040246017641,0.3955971090048102,0.0900756557339931,0.0617530886794116,0.1824752844727383,True,single_round_R2
unique_da_count,0.2620804780984307,True,False,0.0113006155661064,0.0045560170428508,0.2384135278432703,0.1338147940874362,0.1170321319780253,0.1630868179695773,False,single_round_R2
burst_size_std,0.3499920917095132,True,False,0.0075268065199742,0.0023102304183087,0.3183863594386891,0.089127716867671,0.0593437620342989,0.1556192794468863,False,single_round_R2
subwin_byte_mean,0.3051597979925584,True,False,0.0094818738346677,0.0027471560039598,0.277602607119867,0.1122783964578557,0.0705672347130813,0.1534827460969347,False,single_round_R2
interarrival_p50,0.3235472460477306,True,False,0.0080830638628289,0.0022882351224971,0.2943295926270518,0.0957145670581125,0.0587787605564499,0.1496076400805381,False,single_round_R2
burst_packet_ratio,0.2567360245900461,True,False,0.0092006614667564,0.0036657544707812,0.2335517005733667,0.1089484561650669,0.0941636207653559,0.1455545925012631,False,single_round_R2
other_packet_ratio,0.2208819319541461,True,False,0.0100121780411364,0.0035394358244135,0.2009353806743551,0.1185579259027067,0.0909188259469971,0.1368040441746863,False,single_round_R2
interarrival_p90,0.2601868236518365,True,False,0.0071893900375903,0.0021491859445533,0.2366908782189856,0.0851322427408162,0.0552069517612891,0.1256766909070303,False,single_round_R2
packet_count,0.2200829871800818,True,False,0.0082903337811447,0.0024946147214199,0.2002085839151356,0.0981689272898809,0.0640801113265502,0.1208192075105222,False,single_round_R2
burst_size_mean,0.2116554143626317,True,False,0.0076889016777408,0.002653433174988,0.1925420557511809,0.0910471459494068,0.0681597409775604,0.1172496475593827,False,single_round_R2
unique_sa_count,0.0883111141014647,True,False,0.0106424355522765,0.0050262632791591,0.0803362555405299,0.1260210396226551,0.1291115248056167,0.1118229399896005,False,single_round_R2
subtype_0_ratio,0.1041924648227228,True,False,0.0090488231179208,0.0047435754263142,0.0947834546598376,0.1071504817746315,0.1218500150721,0.107927983835523,False,single_round_R2
interarrival_p10,0.1923833633714444,True,False,0.0058092112713063,0.0014738467909898,0.1750103506088441,0.0687890323790662,0.037859259641966,0.0938862142099588,False,single_round_R2
subwin_packet_cv,0.1184723236705536,True,False,0.0073449443344943,0.0027798063624909,0.1077737832402694,0.0869742190551028,0.0714059368146746,0.0887179797033489,False,single_round_R2
interarrival_max,0.1500174226909632,True,False,0.006038781924111,0.0016811998967615,0.1364702294547659,0.0715074639064344,0.0431856172504837,0.083721103537228,False,single_round_R2
long_gap_ratio,0.1233940626847109,True,False,0.0067425819938776,0.0020830156432139,0.1122510688816991,0.0798414224296326,0.0535072102180639,0.0818665671764652,False,single_round_R2
interarrival_p95,0.1302974759309054,True,False,0.0060243501454754,0.0019136986980775,0.1185310753824772,0.0713365718452773,0.0491579018456525,0.079675183024469,False,single_round_R2
interarrival_std,0.0995493961455156,True,False,0.0071511338259314,0.002346917771552,0.0905596742722889,0.0846792367027154,0.0602861639450719,0.0785083583066921,False,single_round_R2
interarrival_mean,0.1084976354576507,True,False,0.0062595939604298,0.001710732338078,0.0986998505947342,0.0741221813967503,0.0439442282339991,0.0722554200751612,False,single_round_R2
interarrival_cv,0.1051375748913976,True,False,0.0056926734279737,0.0014400198979034,0.0956432173835165,0.0674090644102666,0.0369903354525128,0.066680872415432,False,single_round_R2
burst_size_min,0.075396879107175,True,False,0.0055061284883671,0.0023185379111698,0.0685882293360399,0.0652001163635443,0.0595571597436993,0.0644485018144278,False,single_round_R2
active_subwin_count,0.0309606110777029,True,False,0.0062647803662847,0.0025050848808689,0.0281647399484914,0.0741835955584355,0.064349062270092,0.0555657992590063,False,single_round_R2
subwin_byte_min,0.05728201196953,True,False,0.0013300946093091,0.0002920876902538,0.0521092095630524,0.0157501452217651,0.0075029669102283,0.0251207738983486,False,single_round_R2
subwin_packet_min,0.0485635803038464,True,False,0.0013921537832858,0.0003274929161831,0.044178088306873,0.0164850109941954,0.0084124343320351,0.0230251778777012,False,single_round_R2
subtype_5_ratio,0.0326198984561227,True,False,0.0014951027031184,0.0003559196728825,0.0296741868194113,0.0177040674631409,0.0091426431768349,0.018840299153129,False,single_round_R2
side_packet_ratio,0.0251953398739726,True,False,0.0013885635997108,0.0004007650807938,0.0229200965602176,0.0164424982945102,0.0102946041216525,0.0165523996587934,False,single_round_R2
subtype_14_ratio,0.0269353029579608,True,False,0.0,0.0,0.0245029337870899,0.0,0.0,0.0081676445956966,False,single_round_R2
