feature,importance
rssi_min,0.078774077950653
rssi_std,0.06925532494708897
rssi_p10,0.04905005762763788
len_p95,0.04579339700288459
up_down_ratio,0.0406027247874297
up_packet_ratio,0.0389954148040021
down_ia_std,0.03466764163006435
len_range,0.03455203805156826
down_len_std,0.034313829327075135
up_ia_mean,0.03314010919406042
up_len_p50,0.030931043066821304
len_p10,0.029393927016832553
rssi_max,0.028509418140194955
burst_count,0.027669629697588297
rssi_p90,0.027134016063705798
len_up_down_diff,0.025545650351681222
down_ia_mean,0.02159068155007597
null_data_ratio,0.020470326274671654
rssi_p50,0.018464752748747603
rssi_mean,0.018350851515874164
down_packet_ratio,0.01739561332470277
len_cv,0.016619149318340933
interarrival_p75,0.016223402028137657
len_p25,0.015804035646484214
other_packet_ratio,0.013333071773327002
subwin_packet_mean,0.012437554853199442
len_min,0.0123088192022554
subwin_byte_max,0.011536821014507008
interarrival_p50,0.011225452096219588
interarrival_p90,0.01114135043816875
len_p75,0.010259436314779715
len_p50,0.00929930683481818
burst_packet_ratio,0.008605564141787668
len_iqr,0.008137282147903943
interarrival_max,0.008029866724427716
subwin_packet_std,0.007817313920941399
burst_size_mean,0.007692496795185485
burst_size_std,0.007632817192487449
retry_ratio,0.00747343801193647
interarrival_cv,0.007349544516632355
long_gap_ratio,0.007333537495876256
interarrival_std,0.007264130485655621
down_len_p50,0.0069510715207527244
interarrival_mean,0.00686808342681219
interarrival_p95,0.006653930962877965
interarrival_p25,0.006407923040655665
subwin_packet_cv,0.006220112705674082
subtype_0_ratio,0.0058285678024591345
unique_da_count,0.005587834620955777
interarrival_min,0.0035492213937415905
unique_sa_count,0.0031312885348031014
active_subwin_count,0.0027308663552241823
burst_size_min,0.0021971453905169198
subwin_byte_min,0.0006408585406278113
subwin_packet_min,0.0005520392318678615
data_ratio,0.00030040038383191345
subtype_5_ratio,0.0002557400627660358
subtype_14_ratio,0.0
subtype_12_ratio,0.0
up_len_std,0.0
