feature,importance
rssi_max,2895
len_max,2655
rssi_min,2546
rssi_std,2498
rssi_p90,2139
burst_count,1939
rssi_p10,1847
interarrival_max,1671
down_ia_std,1586
down_len_std,1512
retry_ratio,1364
len_p25,1351
other_packet_ratio,1348
rssi_mean,1320
rssi_p50,1182
len_p10,1182
subwin_packet_cv,1142
down_packet_ratio,1131
interarrival_p50,1080
len_p90,1046
interarrival_std,986
down_ia_mean,965
long_gap_ratio,945
interarrival_p95,941
interarrival_p75,930
len_iqr,922
interarrival_p90,912
len_p95,843
interarrival_cv,814
len_range,793
subtype_8_ratio,765
interarrival_p25,730
down_len_mean,725
len_cv,724
len_std,715
burst_packet_ratio,693
burst_size_mean,680
len_p75,675
burst_size_std,656
interarrival_iqr,651
subtype_0_ratio,576
byte_count,570
interarrival_mean,566
len_min,544
down_len_p50,532
unique_da_count,480
len_p50,476
len_mean,459
interarrival_p10,434
packet_count,417
len_up_down_diff,375
subwin_byte_max,374
up_packet_ratio,365
subtype_4_ratio,362
burst_size_max,361
unique_sa_count,358
interarrival_min,341
subwin_packet_std,300
subwin_packet_max,282
subwin_byte_std,256
active_subwin_count,244
data_ratio,214
burst_size_min,210
null_data_ratio,193
up_ia_std,152
subwin_packet_min,119
up_down_ratio,87
up_len_mean,41
subtype_5_ratio,27
subwin_byte_min,24
mgmt_ratio,11
up_ia_mean,9
ctrl_ratio,0
subtype_6_ratio,0
rssi_missing_ratio,0
subtype_1_ratio,0
subtype_2_ratio,0
subtype_3_ratio,0
qos_data_ratio,0
subtype_13_ratio,0
subtype_14_ratio,0
subtype_15_ratio,0
subtype_9_ratio,0
subtype_10_ratio,0
subtype_11_ratio,0
subtype_12_ratio,0
subtype_7_ratio,0
up_len_std,0
bssid_known,0
side_packet_ratio,0
burst_packet_fraction,0
up_len_p50,0
subwin_packet_mean,0
subwin_byte_mean,0
