feature,importance
up_len_p50,0.36775908
up_len_mean,0.23799609
up_ia_mean,0.07234718
up_packet_ratio,0.06985261
up_down_ratio,0.04282769
len_max,0.024452245
rssi_std,0.024115361
rssi_min,0.01781838
burst_count,0.007501545
down_packet_ratio,0.0073443423
rssi_max,0.006243679
other_packet_ratio,0.0057251398
up_ia_std,0.005680903
len_p10,0.0055867704
down_len_std,0.0053861537
interarrival_p75,0.00475888
len_min,0.0035401697
len_range,0.003423258
rssi_p90,0.0033751375
len_p95,0.003245368
subtype_0_ratio,0.0031309435
rssi_p10,0.0026746779
len_p25,0.0024390959
down_ia_std,0.0023035568
unique_sa_count,0.0022814448
rssi_mean,0.0022800933
len_up_down_diff,0.0021412477
rssi_p50,0.00207537
len_p90,0.0020707687
interarrival_max,0.0018460534
packet_count,0.0018086199
down_ia_mean,0.001717927
interarrival_p50,0.0016683685
qos_data_ratio,0.0016599891
active_subwin_count,0.0016156673
interarrival_iqr,0.0015412595
mgmt_ratio,0.0015358963
subtype_4_ratio,0.0015292801
subtype_8_ratio,0.0015090369
byte_count,0.0015029475
interarrival_std,0.0014565823
burst_packet_ratio,0.001451399
len_std,0.0014417089
interarrival_min,0.0014168435
len_cv,0.0013783341
interarrival_p90,0.0013678446
down_len_p50,0.0013609495
unique_da_count,0.0013557898
burst_size_mean,0.001344183
null_data_ratio,0.0013441538
len_mean,0.001328548
subwin_packet_mean,0.0013195263
interarrival_mean,0.0012658321
down_len_mean,0.0012527525
burst_size_max,0.0012010544
subwin_packet_min,0.0011655602
burst_size_min,0.0011640346
burst_packet_fraction,0.001158351
subwin_byte_max,0.0011322789
retry_ratio,0.0010989315
len_p75,0.0010988867
data_ratio,0.0010732625
subwin_packet_max,0.0010590001
long_gap_ratio,0.0010478738
subwin_packet_std,0.0010429593
interarrival_p10,0.0010374429
interarrival_p25,0.0010344525
len_iqr,0.0010198284
burst_size_std,0.0010155729
interarrival_cv,0.00091499556
len_p50,0.0008986856
subtype_5_ratio,0.00088002585
interarrival_p95,0.00084286596
subwin_packet_cv,0.000740331
subwin_byte_std,0.00072307326
subwin_byte_mean,0.0006578033
subwin_byte_min,0.00059608364
ctrl_ratio,0.0
subtype_14_ratio,0.0
subtype_13_ratio,0.0
subtype_15_ratio,0.0
subtype_7_ratio,0.0
subtype_9_ratio,0.0
subtype_10_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
subtype_6_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
rssi_missing_ratio,0.0
up_len_std,0.0
side_packet_ratio,0.0
bssid_known,0.0
