feature,importance
rssi_max,3003
rssi_min,2374
len_max,2063
rssi_std,2007
rssi_p90,1913
burst_count,1795
rssi_p10,1659
down_len_std,1449
interarrival_max,1446
down_ia_std,1338
rssi_p50,1329
other_packet_ratio,1296
retry_ratio,1159
rssi_mean,1141
interarrival_p50,1059
len_p25,1045
down_packet_ratio,1027
interarrival_p90,941
len_p10,917
subwin_packet_cv,890
len_p90,883
interarrival_p75,853
down_ia_mean,851
long_gap_ratio,843
subtype_8_ratio,786
len_iqr,781
interarrival_p95,781
len_cv,778
interarrival_cv,730
len_p95,697
burst_packet_ratio,680
interarrival_std,671
interarrival_p25,627
len_std,625
len_p75,562
burst_size_mean,547
len_range,536
packet_count,531
interarrival_mean,508
subtype_0_ratio,502
byte_count,495
down_len_mean,487
len_min,481
len_mean,476
interarrival_p10,464
burst_size_std,456
interarrival_iqr,450
down_len_p50,441
unique_da_count,438
subtype_4_ratio,397
up_packet_ratio,372
interarrival_min,361
len_p50,348
len_up_down_diff,343
unique_sa_count,342
subwin_byte_max,322
subwin_packet_std,301
subwin_byte_std,252
active_subwin_count,209
burst_size_max,180
data_ratio,178
subwin_packet_max,171
burst_size_min,155
null_data_ratio,134
up_ia_std,90
subwin_packet_min,77
up_down_ratio,66
up_len_mean,45
subwin_byte_min,25
subtype_5_ratio,14
up_ia_mean,10
mgmt_ratio,7
ctrl_ratio,0
subtype_6_ratio,0
rssi_missing_ratio,0
subtype_1_ratio,0
subtype_2_ratio,0
subtype_3_ratio,0
qos_data_ratio,0
subtype_13_ratio,0
subtype_14_ratio,0
subtype_15_ratio,0
subtype_9_ratio,0
subtype_10_ratio,0
subtype_11_ratio,0
subtype_12_ratio,0
subtype_7_ratio,0
up_len_std,0
bssid_known,0
side_packet_ratio,0
burst_packet_fraction,0
up_len_p50,0
subwin_packet_mean,0
subwin_byte_mean,0
