feature,importance
up_len_p50,0.32559624
up_len_mean,0.2397977
up_packet_ratio,0.09086031
up_ia_mean,0.07905272
up_down_ratio,0.045511123
len_max,0.021852516
rssi_std,0.021004451
up_ia_std,0.017131906
rssi_min,0.016983105
burst_count,0.0071136393
down_len_std,0.0068788733
down_packet_ratio,0.0067183445
other_packet_ratio,0.0063490816
rssi_max,0.0057921372
len_p10,0.005296548
interarrival_p75,0.0044043027
len_range,0.0039683743
len_min,0.0038124553
len_up_down_diff,0.0036041336
subtype_0_ratio,0.0035963403
len_p95,0.003203592
rssi_p10,0.0030963738
rssi_p90,0.0030929933
len_p25,0.0026475058
null_data_ratio,0.0023508286
rssi_mean,0.0021954556
down_ia_std,0.0021140706
len_p90,0.0020387487
rssi_p50,0.0020078178
packet_count,0.0018852524
len_mean,0.0018402056
unique_sa_count,0.0018387962
interarrival_min,0.0018247787
interarrival_p50,0.0017440363
len_std,0.0017080109
subwin_packet_mean,0.0016575601
subwin_byte_mean,0.0016558485
down_ia_mean,0.001622277
subwin_packet_min,0.0016109175
interarrival_max,0.0016071602
active_subwin_count,0.0015905859
down_len_p50,0.0015532251
down_len_mean,0.001539548
interarrival_iqr,0.0014989437
subtype_8_ratio,0.001445897
unique_da_count,0.0014343666
burst_size_min,0.0014312913
byte_count,0.0013579535
subtype_4_ratio,0.0013529225
len_p75,0.0013250854
len_iqr,0.0012898245
burst_packet_ratio,0.0012801546
subwin_byte_max,0.0012752753
burst_size_mean,0.0012656029
data_ratio,0.0012143207
qos_data_ratio,0.0011993042
subtype_5_ratio,0.0011983707
burst_packet_fraction,0.0011791568
interarrival_p25,0.0011662408
long_gap_ratio,0.0011569667
retry_ratio,0.0011404471
interarrival_p90,0.0011377609
interarrival_cv,0.0011314983
interarrival_mean,0.0011294312
len_cv,0.0010667098
subwin_byte_min,0.0010472885
subwin_byte_std,0.0010397256
interarrival_std,0.0009917677
interarrival_p95,0.0009151857
mgmt_ratio,0.0009090154
subwin_packet_std,0.0008858992
interarrival_p10,0.00084973086
burst_size_std,0.00082996156
len_p50,0.0008196211
subwin_packet_max,0.0008017383
subwin_packet_cv,0.000771912
burst_size_max,0.000710745
ctrl_ratio,0.0
subtype_14_ratio,0.0
subtype_13_ratio,0.0
subtype_15_ratio,0.0
subtype_7_ratio,0.0
subtype_9_ratio,0.0
subtype_10_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
subtype_6_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
rssi_missing_ratio,0.0
up_len_std,0.0
side_packet_ratio,0.0
bssid_known,0.0
