feature,importance
rssi_max,3221
rssi_min,2754
rssi_std,2245
len_range,2213
rssi_p90,2047
burst_count,1878
down_len_std,1872
rssi_p10,1856
len_p95,1851
interarrival_max,1797
down_ia_std,1473
rssi_p50,1374
other_packet_ratio,1293
len_p10,1263
len_p25,1178
retry_ratio,1166
interarrival_p50,1127
rssi_mean,1057
len_cv,1042
subwin_packet_cv,1025
len_iqr,986
len_up_down_diff,965
qos_data_ratio,940
interarrival_p75,935
long_gap_ratio,927
interarrival_p90,916
down_ia_mean,908
down_packet_ratio,900
interarrival_p95,864
interarrival_cv,831
len_p75,819
interarrival_p25,788
len_min,737
interarrival_std,693
subwin_byte_max,687
burst_size_std,658
burst_packet_fraction,654
packet_count,632
burst_size_mean,567
down_len_p50,562
interarrival_iqr,555
interarrival_mean,522
subtype_0_ratio,521
subwin_packet_std,506
len_p50,468
null_data_ratio,458
up_len_mean,407
interarrival_min,380
unique_da_count,356
unique_sa_count,279
active_subwin_count,240
mgmt_ratio,219
burst_size_min,174
up_down_ratio,123
up_packet_ratio,90
up_ia_mean,87
subwin_packet_min,63
subwin_byte_min,61
subtype_5_ratio,20
subtype_3_ratio,0
