feature,importance
up_len_mean,0.37898973
up_ia_mean,0.19250438
up_packet_ratio,0.082716584
rssi_min,0.03571288
rssi_std,0.03453008
burst_count,0.02321206
len_p95,0.021388974
down_len_std,0.014929177
down_packet_ratio,0.0126848165
len_range,0.012014069
rssi_max,0.011896316
other_packet_ratio,0.011276472
up_down_ratio,0.009809904
len_min,0.008374666
rssi_p10,0.0069932113
null_data_ratio,0.0069372514
interarrival_p75,0.0068772174
subtype_0_ratio,0.006529615
rssi_p90,0.0064174477
len_p10,0.0055840383
len_up_down_diff,0.0055379905
rssi_mean,0.0052111093
rssi_p50,0.004425498
len_p25,0.00441329
unique_sa_count,0.004312664
down_ia_std,0.004209244
interarrival_max,0.003491848
down_ia_mean,0.0034295174
qos_data_ratio,0.0033526854
subwin_byte_max,0.003306849
packet_count,0.0032426107
down_len_p50,0.0032018058
active_subwin_count,0.0030090855
interarrival_p90,0.003000647
mgmt_ratio,0.0029607038
unique_da_count,0.0027845176
interarrival_iqr,0.002774371
len_cv,0.0027739007
retry_ratio,0.0027711547
subtype_5_ratio,0.002647836
burst_packet_fraction,0.0026377721
len_iqr,0.0026073537
long_gap_ratio,0.0024312374
interarrival_p50,0.002358349
burst_size_mean,0.002351507
interarrival_min,0.0022700944
len_p75,0.0022365677
burst_size_min,0.0022181422
interarrival_p25,0.002208514
interarrival_std,0.0021794117
interarrival_mean,0.0021652337
burst_size_std,0.0021558483
subwin_packet_min,0.002067592
interarrival_cv,0.0019206196
subwin_packet_std,0.0018967544
interarrival_p95,0.001800007
len_p50,0.0017350725
subwin_packet_cv,0.0014511183
subwin_byte_min,0.0010725894
subtype_3_ratio,0.0
