feature,importance
rssi_min,0.06971276534175562
rssi_std,0.05908123857905289
rssi_p10,0.04536998874125812
up_len_p50,0.040244028191661604
up_len_mean,0.03891006368069928
rssi_max,0.030421918014169633
up_ia_std,0.026879991716293215
rssi_p90,0.024767817265025298
up_ia_mean,0.023689358593002884
len_max,0.02112348007172475
burst_count,0.02085412430157233
rssi_mean,0.019019741569615625
rssi_p50,0.018549236664963206
len_min,0.01781814435904857
len_p10,0.01731835106282971
up_packet_ratio,0.017217970324270176
len_range,0.016048859138484212
down_packet_ratio,0.015215874498310095
down_len_std,0.015079828238090632
subtype_4_ratio,0.014983059279278014
subtype_8_ratio,0.014941509503900949
null_data_ratio,0.014693908879194258
len_p95,0.013783048120357282
len_cv,0.013128018753065957
down_ia_std,0.01309310109474855
qos_data_ratio,0.012996138284570512
len_p25,0.012562205133271255
len_up_down_diff,0.012374155597809309
len_mean,0.010965991825985543
len_p90,0.010915171452451529
unique_da_count,0.010036072041541303
len_p50,0.009598766512971538
len_std,0.009575013893265942
burst_packet_ratio,0.00955757469647003
burst_packet_fraction,0.009360663832622558
interarrival_p75,0.009337796867823257
interarrival_iqr,0.009303730793711504
down_ia_mean,0.009271292771943393
packet_count,0.00926024923840474
down_len_mean,0.009254785127355178
byte_count,0.009157943139978945
other_packet_ratio,0.009064638436606872
subwin_byte_mean,0.008893549871119654
subtype_0_ratio,0.008767495422736056
subwin_packet_mean,0.008744733778019083
retry_ratio,0.008284447270703342
burst_size_mean,0.00786703377012303
interarrival_p50,0.007790988155004905
len_p75,0.007705350996401936
interarrival_p90,0.007701691355048204
down_len_p50,0.0075227293957713616
long_gap_ratio,0.007236715126924726
subwin_byte_max,0.00719531912362926
burst_size_max,0.006846119705959912
subwin_packet_max,0.0067694567838061164
subwin_byte_std,0.006707217712810084
active_subwin_count,0.006706862037396811
burst_size_std,0.006693296762176172
unique_sa_count,0.006489934595134715
len_iqr,0.006404432994413952
subwin_packet_std,0.00633775474930015
interarrival_std,0.006066552989708554
subwin_packet_cv,0.005963321828932804
interarrival_p95,0.00581929479591367
interarrival_max,0.005647838007895129
interarrival_mean,0.0056060656481638415
interarrival_p25,0.005589289339040634
up_down_ratio,0.005533384379395193
burst_size_min,0.00540132850965242
interarrival_cv,0.005258290445554603
interarrival_p10,0.004826146403629025
interarrival_min,0.004766202309053681
subwin_packet_min,0.0009726676691439298
subwin_byte_min,0.000823730874653271
side_packet_ratio,0.0006850386855298288
data_ratio,0.0006550786903808076
subtype_5_ratio,0.0006084737946465209
mgmt_ratio,0.0005745503930703597
ctrl_ratio,0.0
subtype_14_ratio,0.0
subtype_15_ratio,0.0
subtype_7_ratio,0.0
subtype_9_ratio,0.0
subtype_13_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
subtype_6_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
rssi_missing_ratio,0.0
subtype_10_ratio,0.0
up_len_std,0.0
bssid_known,0.0
