feature,importance
rssi_max,3005
len_max,2338
rssi_min,1992
rssi_std,1879
interarrival_max,1744
rssi_p90,1629
burst_count,1481
down_len_std,1435
rssi_p10,1321
down_ia_std,1277
rssi_p50,1260
other_packet_ratio,1237
down_packet_ratio,1095
retry_ratio,1065
rssi_mean,1025
subwin_packet_cv,909
len_p10,858
subtype_8_ratio,815
interarrival_p50,813
len_p25,810
down_ia_mean,796
len_p95,785
interarrival_std,781
len_p90,754
len_cv,719
interarrival_p95,715
interarrival_cv,680
long_gap_ratio,678
interarrival_p90,675
len_iqr,641
interarrival_p75,627
len_range,579
burst_size_mean,563
subtype_0_ratio,554
interarrival_p25,524
len_p75,520
len_std,518
burst_packet_ratio,518
burst_size_std,480
down_len_p50,476
byte_count,474
len_p50,454
unique_da_count,428
down_len_mean,423
subwin_byte_max,383
interarrival_mean,383
packet_count,372
interarrival_iqr,367
interarrival_p10,366
len_min,360
len_mean,359
len_up_down_diff,353
subtype_4_ratio,338
subwin_byte_std,327
up_packet_ratio,307
interarrival_min,269
burst_size_max,256
subwin_packet_std,237
unique_sa_count,205
subwin_packet_max,192
active_subwin_count,169
up_ia_std,132
subwin_byte_min,122
null_data_ratio,112
subwin_packet_min,109
burst_size_min,94
up_len_mean,89
up_ia_mean,50
mgmt_ratio,46
data_ratio,34
up_down_ratio,20
subtype_5_ratio,3
ctrl_ratio,0
subtype_6_ratio,0
rssi_missing_ratio,0
subtype_1_ratio,0
subtype_2_ratio,0
subtype_3_ratio,0
qos_data_ratio,0
subtype_13_ratio,0
subtype_14_ratio,0
subtype_15_ratio,0
subtype_9_ratio,0
subtype_10_ratio,0
subtype_11_ratio,0
subtype_12_ratio,0
subtype_7_ratio,0
up_len_std,0
bssid_known,0
side_packet_ratio,0
burst_packet_fraction,0
up_len_p50,0
subwin_packet_mean,0
subwin_byte_mean,0
