feature,importance
up_len_mean,0.326741
up_len_p50,0.31993207
up_ia_mean,0.076388866
up_packet_ratio,0.03562553
rssi_std,0.023363275
rssi_min,0.020760387
len_max,0.020551817
up_down_ratio,0.0118664075
other_packet_ratio,0.010460374
up_ia_std,0.009325926
rssi_p90,0.008073001
burst_count,0.006796712
rssi_max,0.0065349475
len_p10,0.004985545
down_len_std,0.004576614
len_range,0.0045347516
len_up_down_diff,0.004436719
down_packet_ratio,0.004273251
len_p95,0.0039761146
len_min,0.0034766477
subtype_4_ratio,0.0033152273
subtype_0_ratio,0.0033080732
down_ia_std,0.0031344425
rssi_p10,0.0030330284
interarrival_p75,0.002962071
data_ratio,0.0028518755
rssi_p50,0.0028074365
null_data_ratio,0.0027454214
interarrival_max,0.0025240553
subtype_8_ratio,0.0024795488
down_ia_mean,0.0024051534
qos_data_ratio,0.0021836923
subwin_byte_max,0.002097068
interarrival_std,0.0020959743
down_len_mean,0.0020655545
subtype_5_ratio,0.0019918396
burst_packet_fraction,0.0019488701
packet_count,0.0019425182
len_p25,0.0019361926
rssi_mean,0.0017828266
len_p90,0.0017809378
burst_size_mean,0.0017622423
burst_packet_ratio,0.0017202545
mgmt_ratio,0.0017040056
subwin_byte_std,0.0016661527
len_cv,0.0016458058
unique_da_count,0.001537429
unique_sa_count,0.0014711001
len_std,0.0014431939
subwin_packet_min,0.0014368134
interarrival_p90,0.0013532701
interarrival_mean,0.0013363564
len_p75,0.001270324
len_p50,0.0012278494
interarrival_p50,0.0012138261
active_subwin_count,0.0012120379
interarrival_iqr,0.0012074215
interarrival_p25,0.0011913988
retry_ratio,0.0011468524
long_gap_ratio,0.0011309772
down_len_p50,0.0010902707
byte_count,0.0010102796
len_mean,0.0010032268
burst_size_min,0.0009838975
interarrival_cv,0.0009437738
subwin_packet_mean,0.00093745004
interarrival_p10,0.0009372542
interarrival_p95,0.000932949
burst_size_max,0.00090817636
interarrival_min,0.0009064474
burst_size_std,0.0008952955
len_iqr,0.0008864638
subwin_packet_max,0.00086953247
subwin_packet_cv,0.0008604941
subwin_byte_mean,0.00074601895
subwin_packet_std,0.00067418476
subwin_byte_min,0.0006651426
ctrl_ratio,0.0
subtype_14_ratio,0.0
subtype_13_ratio,0.0
subtype_15_ratio,0.0
subtype_7_ratio,0.0
subtype_9_ratio,0.0
subtype_10_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
subtype_6_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
rssi_missing_ratio,0.0
up_len_std,0.0
side_packet_ratio,0.0
bssid_known,0.0
