feature,importance
rssi_max,3115
len_max,2715
rssi_min,2209
rssi_std,1995
rssi_p90,1801
interarrival_max,1709
burst_count,1567
down_len_std,1559
down_ia_std,1467
rssi_p10,1386
len_p90,1326
down_packet_ratio,1282
other_packet_ratio,1251
rssi_p50,1248
retry_ratio,1227
subwin_packet_cv,1079
rssi_mean,1056
len_p10,1007
interarrival_p75,1003
down_ia_mean,917
len_p25,913
interarrival_p50,898
len_cv,887
interarrival_std,851
len_iqr,851
subtype_0_ratio,819
interarrival_p95,808
interarrival_cv,760
long_gap_ratio,740
len_up_down_diff,718
interarrival_p90,693
subwin_byte_max,666
burst_size_std,644
interarrival_p25,637
burst_size_mean,584
len_p75,582
burst_packet_ratio,572
len_p50,555
unique_da_count,496
null_data_ratio,463
packet_count,459
down_len_p50,452
len_min,439
interarrival_mean,433
up_len_p50,365
interarrival_min,354
unique_sa_count,292
subwin_packet_max,250
active_subwin_count,190
up_ia_mean,166
up_packet_ratio,118
subwin_packet_min,99
burst_size_min,93
subtype_5_ratio,68
subwin_byte_min,56
data_ratio,42
up_down_ratio,37
ctrl_ratio,0
subtype_12_ratio,0
subtype_2_ratio,0
