feature,importance
len_range,3115
rssi_max,3026
rssi_min,2798
rssi_std,2467
rssi_p90,2292
down_len_std,2133
rssi_p10,1945
interarrival_max,1857
burst_count,1836
len_p95,1744
down_ia_std,1734
other_packet_ratio,1608
interarrival_p75,1606
retry_ratio,1453
rssi_p50,1442
len_p25,1365
len_p10,1315
rssi_mean,1273
subwin_packet_cv,1240
interarrival_p50,1203
len_up_down_diff,1182
down_ia_mean,1133
down_packet_ratio,1097
interarrival_p95,1033
interarrival_std,1022
len_iqr,974
len_cv,966
interarrival_p90,963
burst_size_std,935
long_gap_ratio,925
len_p75,917
interarrival_p25,888
interarrival_cv,816
subtype_0_ratio,808
burst_packet_ratio,725
len_min,707
subwin_packet_mean,683
down_len_p50,681
interarrival_mean,667
null_data_ratio,629
burst_size_mean,618
len_p50,606
subwin_byte_max,559
subwin_packet_std,516
unique_da_count,511
interarrival_min,481
unique_sa_count,378
up_len_p50,363
active_subwin_count,295
burst_size_min,273
up_ia_mean,182
up_packet_ratio,158
data_ratio,119
subwin_packet_min,88
up_down_ratio,65
subwin_byte_min,53
subtype_5_ratio,30
subtype_14_ratio,0
subtype_12_ratio,0
up_len_std,0
