feature,importance
rssi_min,2501
rssi_p90,1727
rssi_max,1542
rssi_p10,1424
rssi_std,1180
len_max,1115
rssi_p50,916
down_packet_ratio,832
rssi_mean,822
other_packet_ratio,762
interarrival_p50,668
len_p10,587
interarrival_p75,566
subwin_packet_cv,546
len_p95,526
down_ia_mean,507
burst_packet_ratio,494
retry_ratio,446
len_cv,435
len_p90,386
byte_count,364
interarrival_p10,360
down_len_std,354
interarrival_p25,343
subtype_8_ratio,335
len_p25,330
down_ia_std,314
len_std,302
len_range,300
interarrival_p90,294
burst_size_std,274
interarrival_std,270
burst_count,260
down_len_mean,258
interarrival_max,238
subwin_byte_std,236
long_gap_ratio,235
burst_size_mean,222
up_packet_ratio,216
len_iqr,213
subwin_packet_std,208
subtype_4_ratio,207
down_len_p50,205
packet_count,203
len_mean,202
interarrival_mean,202
interarrival_iqr,194
interarrival_min,193
subwin_byte_max,190
interarrival_p95,183
interarrival_cv,171
subtype_0_ratio,128
len_p50,122
len_p75,113
unique_da_count,105
len_up_down_diff,87
unique_sa_count,86
burst_size_max,80
active_subwin_count,72
subwin_packet_max,46
len_min,43
null_data_ratio,40
data_ratio,33
up_ia_std,26
subtype_5_ratio,23
burst_size_min,22
up_down_ratio,21
mgmt_ratio,17
up_ia_mean,10
up_len_mean,7
subwin_byte_min,5
ctrl_ratio,0
subtype_7_ratio,0
subtype_6_ratio,0
rssi_missing_ratio,0
subtype_1_ratio,0
subtype_2_ratio,0
subtype_3_ratio,0
qos_data_ratio,0
subtype_13_ratio,0
subtype_14_ratio,0
subtype_15_ratio,0
subtype_9_ratio,0
subtype_10_ratio,0
subtype_11_ratio,0
subtype_12_ratio,0
up_len_std,0
up_len_p50,0
bssid_known,0
side_packet_ratio,0
burst_packet_fraction,0
subwin_packet_mean,0
subwin_byte_mean,0
subwin_packet_min,0
