feature,importance
rssi_min,0.0839829541226255
rssi_max,0.08227289886996474
rssi_std,0.07510696708865672
rssi_p10,0.06767045506463062
rssi_p90,0.05530927776171644
len_max,0.0408327256807348
rssi_p50,0.034991115126828766
up_packet_ratio,0.030862527959710992
up_ia_std,0.02898992545480586
up_ia_mean,0.02854160973267289
up_len_p50,0.02848660008712632
rssi_mean,0.02711968374208109
up_len_mean,0.026437985946066306
len_p95,0.02348899932640808
len_range,0.021672174443705537
up_down_ratio,0.019624749962653742
len_p10,0.017775755311103935
len_p90,0.016756164749960164
null_data_ratio,0.015082071552161997
down_len_std,0.01433163890210613
interarrival_p75,0.011175486097542903
down_ia_std,0.010972754924755657
down_ia_mean,0.010131765870579734
interarrival_iqr,0.00996511862966452
len_cv,0.009620832076067763
subtype_4_ratio,0.009462131473600975
down_packet_ratio,0.00836535565873043
qos_data_ratio,0.008119534538113062
burst_count,0.007909367814626238
other_packet_ratio,0.007476937477026148
len_up_down_diff,0.007449165995340335
retry_ratio,0.007413095320078537
len_std,0.007012387598005604
interarrival_p50,0.006969585686645626
subtype_8_ratio,0.006811892595035792
len_p25,0.006173810453775847
byte_count,0.006116275248688295
down_len_mean,0.006020147286062773
len_mean,0.005753725070260606
subwin_byte_mean,0.005018986102985081
len_p50,0.0048369491326908836
burst_size_std,0.00471848073059429
interarrival_p90,0.004373395986058682
down_len_p50,0.0043016812636775086
burst_packet_ratio,0.0042769500484234274
packet_count,0.004274508529641395
interarrival_p25,0.004255111900159845
len_p75,0.004249488987724262
subwin_byte_std,0.004189441512277649
subwin_packet_mean,0.0039915378266304315
burst_size_max,0.0037954978483584066
burst_packet_fraction,0.003593633357664847
subwin_byte_max,0.00342425661679
burst_size_mean,0.003417499077109139
interarrival_std,0.003287322325166373
len_iqr,0.003209328244198153
interarrival_mean,0.003078539596607151
interarrival_max,0.0030520413104441653
unique_da_count,0.002843813802044264
subwin_packet_std,0.002805308964266706
interarrival_p10,0.002792462562911734
len_min,0.0026758975415769972
subwin_packet_cv,0.0026088196790654905
long_gap_ratio,0.002525012261475549
interarrival_p95,0.002500255447180438
interarrival_min,0.002399594681410781
subwin_packet_max,0.0023830167557446573
interarrival_cv,0.002265161522880531
subtype_0_ratio,0.001985887611081185
unique_sa_count,0.0016559280751055317
burst_size_min,0.0007265020541955214
active_subwin_count,0.0007020102696417284
subtype_5_ratio,0.0003117840098962409
data_ratio,0.00030896621566620276
subwin_byte_min,0.0002495003001559186
mgmt_ratio,0.00023621012885243913
side_packet_ratio,0.0002121202624732604
subwin_packet_min,0.00021144675685188586
ctrl_ratio,0.0
subtype_14_ratio,0.0
subtype_15_ratio,0.0
subtype_7_ratio,0.0
subtype_9_ratio,0.0
subtype_13_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
subtype_6_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
rssi_missing_ratio,0.0
subtype_10_ratio,0.0
up_len_std,0.0
bssid_known,0.0
