feature,importance
up_ia_std,0.36486834
up_ia_mean,0.15433908
up_packet_ratio,0.08452712
rssi_max,0.045180157
rssi_min,0.036676418
up_down_ratio,0.034922898
rssi_std,0.024796382
len_p10,0.016981274
len_max,0.016163616
rssi_p90,0.015235611
subwin_byte_mean,0.01105267
len_up_down_diff,0.010403467
subwin_packet_mean,0.00882111
other_packet_ratio,0.008774054
subwin_byte_max,0.0075745
len_range,0.006767385
unique_sa_count,0.0067397896
down_packet_ratio,0.006641838
len_p75,0.006544917
burst_count,0.0064363354
byte_count,0.006163778
down_ia_mean,0.0058300924
subtype_0_ratio,0.005764485
interarrival_iqr,0.0051219864
subtype_4_ratio,0.0048852228
packet_count,0.0048465165
rssi_p10,0.0044967113
down_ia_std,0.004054139
qos_data_ratio,0.004018189
len_mean,0.004015433
rssi_mean,0.0037672902
interarrival_p75,0.0037364238
burst_size_max,0.0036990624
len_cv,0.0033900996
len_min,0.003147987
len_p25,0.0030552652
rssi_p50,0.0029628042
unique_da_count,0.002845215
len_p95,0.0028188953
len_std,0.0025069346
down_len_mean,0.0022945828
burst_size_min,0.0021904472
subwin_packet_std,0.0020777092
interarrival_p95,0.0020733732
subtype_8_ratio,0.0019687633
down_len_std,0.0019141763
interarrival_max,0.0018398544
retry_ratio,0.0017523107
len_p50,0.0017286319
interarrival_cv,0.0016891122
down_len_p50,0.00164881
data_ratio,0.00162648
long_gap_ratio,0.0016175138
active_subwin_count,0.0016025977
subwin_byte_std,0.0015000671
burst_size_mean,0.0014476187
subwin_byte_min,0.0014184796
len_p90,0.001357998
interarrival_p50,0.0013378065
interarrival_p90,0.0012543075
interarrival_min,0.0012286318
burst_size_std,0.0012181695
subwin_packet_max,0.0012143102
len_iqr,0.0011973169
interarrival_std,0.0010781292
burst_packet_ratio,0.00095426507
burst_packet_fraction,0.00089454517
interarrival_mean,0.0008004385
subwin_packet_cv,0.0006936047
interarrival_p10,0.00065158965
interarrival_p25,0.00058595935
null_data_ratio,0.00056892954
ctrl_ratio,0.0
mgmt_ratio,0.0
rssi_missing_ratio,0.0
subtype_1_ratio,0.0
subtype_2_ratio,0.0
subtype_3_ratio,0.0
subtype_14_ratio,0.0
subtype_13_ratio,0.0
subtype_15_ratio,0.0
subtype_7_ratio,0.0
subtype_9_ratio,0.0
subtype_10_ratio,0.0
subtype_11_ratio,0.0
subtype_12_ratio,0.0
subtype_5_ratio,0.0
subtype_6_ratio,0.0
up_len_std,0.0
up_len_mean,0.0
side_packet_ratio,0.0
up_len_p50,0.0
bssid_known,0.0
subwin_packet_min,0.0
