feature,importance
rssi_max,2745
rssi_min,1881
rssi_p10,1790
rssi_p90,1659
len_max,1564
rssi_std,1401
down_ia_std,1173
rssi_mean,1061
down_len_std,1035
len_cv,999
rssi_p50,999
retry_ratio,998
down_packet_ratio,967
other_packet_ratio,903
burst_count,901
interarrival_p90,823
burst_packet_ratio,756
interarrival_p50,735
len_p90,704
interarrival_p75,672
len_p10,668
len_iqr,654
len_p25,654
packet_count,653
down_ia_mean,647
subwin_byte_max,503
len_up_down_diff,474
qos_data_ratio,407
burst_size_max,402
unique_da_count,391
unique_sa_count,387
down_len_p50,342
len_p75,339
up_len_p50,311
len_p50,223
len_min,178
burst_size_min,150
up_ia_std,35
up_packet_ratio,14
up_down_ratio,1
