feature,importance
up_packet_ratio,0.33975258
up_len_p50,0.3225812
rssi_min,0.06298945
len_max,0.03543206
rssi_max,0.034365844
other_packet_ratio,0.022280533
up_down_ratio,0.022067122
rssi_p10,0.017385792
rssi_std,0.011696488
rssi_p90,0.008242447
rssi_p50,0.007845231
down_packet_ratio,0.006765105
burst_count,0.00656789
unique_sa_count,0.0059275115
len_p50,0.0058388873
qos_data_ratio,0.0056608547
len_min,0.0056441016
up_ia_std,0.004945543
down_ia_std,0.0049058497
subwin_byte_max,0.004776827
len_up_down_diff,0.0041882
len_p90,0.004187623
down_len_std,0.0041419035
down_ia_mean,0.0041073416
rssi_mean,0.0036199996
retry_ratio,0.0035821414
burst_packet_ratio,0.0035010187
packet_count,0.0034547572
len_p10,0.0033882102
burst_size_min,0.0033056927
len_p75,0.0030778372
interarrival_p75,0.0030303523
len_iqr,0.0029885992
interarrival_p90,0.0029660773
len_cv,0.0029037946
len_p25,0.0027390758
down_len_p50,0.0024316176
unique_da_count,0.0023585032
interarrival_p50,0.002219173
burst_size_max,0.0021367809
