task,feature_set,model,accuracy,precision,recall,macro_f1
single_round_R2,all_features,rf,0.9577981651376147,0.9574885613400574,0.9577981651376147,0.9576196593728327
single_round_R2,all_features,xgboost,0.9522935779816514,0.9522294372294372,0.9522935779816514,0.9521632581811665
single_round_R2,all_features,lightgbm,0.9559633027522936,0.9559118186835345,0.9559633027522937,0.9557204889280362
single_round_R2,all_features,extra_trees,0.9486238532110092,0.9482812682812684,0.9486238532110092,0.9483689280463061
single_round_R2,all_features,stacking,0.9559633027522936,0.956173619890434,0.9559633027522935,0.9559484718363223
single_round_R2,selected_features,rf,0.9486238532110092,0.9488050896746548,0.9486238532110093,0.9481493506493507
single_round_R2,selected_features,xgboost,0.9357798165137615,0.9356821106821107,0.9357798165137616,0.9356202048673985
single_round_R2,selected_features,lightgbm,0.9339449541284404,0.9336788445199659,0.9339449541284404,0.9337899543378996
single_round_R2,selected_features,extra_trees,0.9504587155963303,0.9502097902097904,0.9504587155963303,0.9501969689165385
single_round_R2,selected_features,stacking,0.9394495412844037,0.9398165700909475,0.9394495412844037,0.9393642214554305
single_round_R3,all_features,rf,0.9601449275362319,0.9604773889745879,0.9600300550759266,0.9601634996130409
single_round_R3,all_features,xgboost,0.9637681159420289,0.9639522611025413,0.9636488684097679,0.9637778166773391
single_round_R3,all_features,lightgbm,0.9619565217391305,0.9623008849557522,0.9618789569053433,0.9620515329419439
single_round_R3,all_features,extra_trees,0.9565217391304348,0.9569337194337194,0.9563439502889043,0.9565827605058039
single_round_R3,all_features,stacking,0.9619565217391305,0.962142857142857,0.9618470666079663,0.9619794281658033
single_round_R3,selected_features,rf,0.9655797101449275,0.9654545454545455,0.9654682205140921,0.9654538316907374
single_round_R3,selected_features,xgboost,0.9583333333333334,0.958538961038961,0.9581621321070862,0.9583264906871444
single_round_R3,selected_features,lightgbm,0.9601449275362319,0.9605212355212356,0.9600771551035414,0.9602606849607586
single_round_R3,selected_features,extra_trees,0.9547101449275363,0.9552342971086739,0.9544259856186461,0.9544692564001739
single_round_R3,selected_features,stacking,0.9601449275362319,0.9601965601965603,0.9600133745087873,0.9600822331039897
single_round_R4,all_features,rf,0.9442446043165468,0.9437500195031857,0.9435116158051937,0.9434355165688955
single_round_R4,all_features,xgboost,0.9460431654676259,0.9470394520765737,0.9452543786488741,0.9455011164248625
single_round_R4,all_features,lightgbm,0.9442446043165468,0.9445551206326745,0.9434361968306921,0.943603770518801
single_round_R4,all_features,extra_trees,0.9334532374100719,0.9336227437577701,0.9323936613844872,0.9320375730265106
single_round_R4,all_features,stacking,0.9442446043165468,0.9449812702781071,0.9434195162635529,0.9436230568381587
single_round_R4,selected_features,rf,0.9442446043165468,0.9447404783119069,0.9433694745621353,0.943339521543815
single_round_R4,selected_features,xgboost,0.9532374100719424,0.9542717086834734,0.9525437864887406,0.9527422825471706
single_round_R4,selected_features,lightgbm,0.9424460431654677,0.9429525418023047,0.9416013344453711,0.9417879302563226
