task,feature_set,extra_trees,lightgbm,rf,stacking,xgboost
jitter_R2_R3_R4_to_R6,all_features,0.705445,0.76459,0.748875,0.772202,0.778365
jitter_R2_R3_R4_to_R6,selected_features,0.703948,0.744264,0.723521,0.758287,0.764208
jitter_R2_R3_R4_to_R6_R7,all_features,0.751568,0.789019,0.785756,0.795491,0.797026
jitter_R2_R3_R4_to_R6_R7,selected_features,0.752107,0.777874,0.764337,0.786495,0.788047
jitter_R2_R3_R4_to_R7,all_features,0.796796,0.812859,0.821972,0.818481,0.815437
jitter_R2_R3_R4_to_R7,selected_features,0.799813,0.810805,0.804823,0.814298,0.811844
joint_R2_R3_R4,all_features,0.900271,0.951925,0.930659,0.949518,0.947116
joint_R2_R3_R4,selected_features,0.908574,0.945254,0.920232,0.944616,0.940999
loro_R2_R3_to_R4,all_features,0.665776,0.666453,0.659212,0.66438,0.661877
loro_R2_R3_to_R4,selected_features,0.655659,0.661966,0.655375,0.658945,0.666874
loro_R2_R4_to_R3,all_features,0.588777,0.552478,0.614816,0.546472,0.533158
loro_R2_R4_to_R3,selected_features,0.503097,0.519546,0.536788,0.519698,0.516526
loro_R3_R4_to_R2,all_features,0.77691,0.792345,0.809799,0.795673,0.775209
loro_R3_R4_to_R2,selected_features,0.761742,0.796357,0.80844,0.79874,0.777612
position_R2_R3_R4_to_R5,all_features,0.642276,0.659429,0.701222,0.669968,0.660307
position_R2_R3_R4_to_R5,selected_features,0.608794,0.641034,0.654071,0.637931,0.643236
single_round_R2,all_features,0.948369,0.95572,0.95762,0.955948,0.952163
single_round_R2,selected_features,0.950197,0.93379,0.948149,0.939364,0.93562
single_round_R3,all_features,0.956583,0.962052,0.960163,0.961979,0.963778
single_round_R3,selected_features,0.954469,0.960261,0.965454,0.960082,0.958326
single_round_R4,all_features,0.932038,0.943604,0.943436,0.943623,0.945501
single_round_R4,selected_features,0.945519,0.941788,0.94334,0.950894,0.952742
