task,feature_set,extra_trees,lightgbm,rf,stacking,xgboost
jitter_R2_R3_R4_to_R6,all_features,0.705445249510111,0.7645904906531967,0.7488747806643499,0.772201585571799,0.7783647964241942
jitter_R2_R3_R4_to_R6,selected_features,0.7039484941565295,0.7442637587406203,0.7235211120580545,0.7582865482768962,0.7642082628599783
jitter_R2_R3_R4_to_R6_R7,all_features,0.7515681301677548,0.7890191362647092,0.7857564694967087,0.7954910175865477,0.797025777793998
jitter_R2_R3_R4_to_R6_R7,selected_features,0.7521065424608167,0.7778743547987902,0.7643367870864328,0.786495379511012,0.7880473015767231
jitter_R2_R3_R4_to_R7,all_features,0.7967956471485002,0.8128590947326917,0.8219721259799911,0.8184813189414575,0.8154367714214587
jitter_R2_R3_R4_to_R7,selected_features,0.7998125773129142,0.8108054370367362,0.8048229768064875,0.8142980150167354,0.8118439743427526
joint_R2_R3_R4,all_features,0.9002708624845152,0.95192514520381,0.9306592310168786,0.949517576842743,0.9471160499466895
joint_R2_R3_R4,selected_features,0.9085738369121696,0.9452535290168642,0.920231894951786,0.9446159313056534,0.9409985584973141
loro_R2_R3_to_R4,all_features,0.6657761390732111,0.6664534949734986,0.6592117370350504,0.6643798257171675,0.6618770405744276
loro_R2_R3_to_R4,selected_features,0.6556594602093557,0.6619661562407677,0.6553752936563216,0.6589454675896377,0.6668737837158973
loro_R2_R4_to_R3,all_features,0.588776651529636,0.5524779671371125,0.6148161314237031,0.5464721457973389,0.5331577734068969
loro_R2_R4_to_R3,selected_features,0.5030969431969087,0.5195460784007243,0.5367882349976272,0.5196976733006422,0.5165262213137545
loro_R3_R4_to_R2,all_features,0.776909835366751,0.7923449332233496,0.8097991283932819,0.7956733166605012,0.7752091537055984
loro_R3_R4_to_R2,selected_features,0.761742155767663,0.796357169721555,0.808439856947941,0.798740394329626,0.7776117222128324
position_R2_R3_R4_to_R5,all_features,0.6422760760425074,0.6594293995680399,0.7012224296594887,0.6699683223453546,0.6603072409777727
position_R2_R3_R4_to_R5,selected_features,0.6087937945787203,0.6410335943648059,0.6540706309859254,0.6379308645898858,0.6432364714395001
single_round_R2,all_features,0.9483689280463061,0.9557204889280362,0.9576196593728327,0.9559484718363223,0.9521632581811665
single_round_R2,selected_features,0.9501969689165385,0.9337899543378996,0.9481493506493507,0.9393642214554305,0.9356202048673985
single_round_R3,all_features,0.9565827605058039,0.9620515329419439,0.9601634996130409,0.9619794281658033,0.9637778166773391
single_round_R3,selected_features,0.9544692564001739,0.9602606849607586,0.9654538316907374,0.9600822331039897,0.9583264906871444
single_round_R4,all_features,0.9320375730265106,0.943603770518801,0.9434355165688955,0.9436230568381587,0.9455011164248625
single_round_R4,selected_features,0.9455190846792199,0.9417879302563226,0.943339521543815,0.9508937376120038,0.9527422825471706
