task,feature_set,extra_trees,lightgbm,rf,stacking,xgboost
jitter_R2_R3_R4_to_R6,all_features,0.7249130918175268,0.7957449888697264,0.7646439045817709,0.7871490772493983,0.7869961759883468
jitter_R2_R3_R4_to_R6,selected_features,0.7206416607251998,0.776155669851036,0.7399238970360603,0.7761355667511969,0.7781704922678326
jitter_R2_R3_R4_to_R6_R7,all_features,0.7622779956914364,0.812379876729743,0.7950123514088613,0.806507052381668,0.8047617556564134
jitter_R2_R3_R4_to_R6_R7,selected_features,0.7608982447286265,0.8003307763920645,0.7735924094955501,0.7993432574174614,0.8000394547734597
jitter_R2_R3_R4_to_R7,all_features,0.8006180448518077,0.829217245184739,0.8262179328651195,0.8264497701997134,0.8227743370366788
jitter_R2_R3_R4_to_R7,selected_features,0.8029611209178953,0.824492328829816,0.8091481086374571,0.8227234486643871,0.8218608340177569
joint_R2_R3_R4,all_features,0.9009023184675359,0.9521708035065879,0.9309894292934009,0.9499299697166343,0.947581936973824
joint_R2_R3_R4,selected_features,0.9088333359080851,0.9455248611071367,0.9205859720417143,0.9448707411550361,0.941435124078924
loro_R2_R3_to_R4,all_features,0.7274881676808654,0.690632146621736,0.7276857144134101,0.7051160028775237,0.6919261171075723
loro_R2_R3_to_R4,selected_features,0.627223314548669,0.6529599590001072,0.6520267489085032,0.6465897153496176,0.6810459037996924
loro_R2_R4_to_R3,all_features,0.5942643798065045,0.5430674842002889,0.6225074706021854,0.5269400271517068,0.5072755801621621
loro_R2_R4_to_R3,selected_features,0.46914903485829546,0.4881154256120685,0.5153843569488687,0.48685700084430417,0.4822113076377083
loro_R3_R4_to_R2,all_features,0.7834438319386539,0.7985736299094626,0.814255723120555,0.8004978080955023,0.7844321532025695
loro_R3_R4_to_R2,selected_features,0.7679976406261121,0.8007835956358628,0.8112339455271751,0.8039128892702193,0.7851914900022191
position_R2_R3_R4_to_R5,all_features,0.6412327430383273,0.6532852949792357,0.7064556600220291,0.6696103896103895,0.6475509489947956
position_R2_R3_R4_to_R5,selected_features,0.6095900717972433,0.6378293997187311,0.6594411458009447,0.6354032488077714,0.630821612458574
single_round_R2,all_features,0.9482812682812684,0.9559118186835345,0.9574885613400574,0.956173619890434,0.9522294372294372
single_round_R2,selected_features,0.9502097902097904,0.9336788445199659,0.9488050896746548,0.9398165700909475,0.9356821106821107
single_round_R3,all_features,0.9569337194337194,0.9623008849557522,0.9604773889745879,0.962142857142857,0.9639522611025413
single_round_R3,selected_features,0.9552342971086739,0.9605212355212356,0.9654545454545455,0.9601965601965603,0.958538961038961
single_round_R4,all_features,0.9336227437577701,0.9445551206326745,0.9437500195031857,0.9449812702781071,0.9470394520765737
single_round_R4,selected_features,0.9477176941681129,0.9429525418023047,0.9447404783119069,0.9523048618493852,0.9542717086834734
