task,feature_set,extra_trees,lightgbm,rf,stacking,xgboost
jitter_R2_R3_R4_to_R6,all_features,0.7033765032093277,0.762189641800437,0.7454067490400629,0.7685079475540884,0.7759973896965254
jitter_R2_R3_R4_to_R6,selected_features,0.7003442559435349,0.7408337246456448,0.7187004188155592,0.7542907102239573,0.7609359132396115
jitter_R2_R3_R4_to_R6_R7,all_features,0.7496029820390061,0.7874351283260149,0.7825790949566782,0.7928005624592744,0.7947632592203357
jitter_R2_R3_R4_to_R6_R7,selected_features,0.7496152508227036,0.7749175155789535,0.7603966058607012,0.7834063547927982,0.7857414136057762
jitter_R2_R3_R4_to_R7,all_features,0.7959496218398263,0.8126370237686906,0.8198198646653854,0.8170526605491304,0.8134815047960793
jitter_R2_R3_R4_to_R7,selected_features,0.7989773678456203,0.8090065107183158,0.8021605285960727,0.8124972593933751,0.8105328806723839
joint_R2_R3_R4,all_features,0.9002478226677528,0.9519329045617007,0.9306736474781225,0.9495158096267188,0.9470839323160245
joint_R2_R3_R4,selected_features,0.9087665196840709,0.9452786346821286,0.9203206175944192,0.9446524080172877,0.9410194626799482
loro_R2_R3_to_R4,all_features,0.7130286211402389,0.7140951310071726,0.7057514906057267,0.7136875364968168,0.710834557592979
loro_R2_R3_to_R4,selected_features,0.7097912894643388,0.7166775038113624,0.710112026718391,0.7151116483031938,0.7220165311332771
loro_R2_R4_to_R3,all_features,0.6070356266796446,0.595718898643298,0.6305451136456817,0.5875292563073142,0.5765608209486349
loro_R2_R4_to_R3,selected_features,0.5621163838877898,0.5855779349756205,0.5786317932389068,0.5806491608672455,0.579011166857961
loro_R3_R4_to_R2,all_features,0.7770280417128218,0.795228173939223,0.8084345974485851,0.7990925832914784,0.778674996387855
loro_R3_R4_to_R2,selected_features,0.7626938658583801,0.8001990276293132,0.8084135396332062,0.8029342376935311,0.7808849161200495
position_R2_R3_R4_to_R5,all_features,0.6553317325223781,0.6828465579541311,0.7119468617496043,0.6883184500447113,0.6861976528250102
position_R2_R3_R4_to_R5,selected_features,0.6195959067776767,0.6663522630583996,0.666849110745136,0.6603143869288093,0.6691539908000281
single_round_R2,all_features,0.9486238532110092,0.9559633027522937,0.9577981651376147,0.9559633027522935,0.9522935779816514
single_round_R2,selected_features,0.9504587155963303,0.9339449541284404,0.9486238532110093,0.9394495412844037,0.9357798165137616
single_round_R3,all_features,0.9563439502889043,0.9618789569053433,0.9600300550759266,0.9618470666079663,0.9636488684097679
single_round_R3,selected_features,0.9544259856186461,0.9600771551035414,0.9654682205140921,0.9600133745087873,0.9581621321070862
single_round_R4,all_features,0.9323936613844872,0.9434361968306921,0.9435116158051937,0.9434195162635529,0.9452543786488741
single_round_R4,selected_features,0.9452210175145954,0.9416013344453711,0.9433694745621353,0.9507089241034195,0.9525437864887406
