filter_mode,task,task_type,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,accuracy,precision,recall,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,all_features,rf,94,0.9577981651376147,0.9574885613400574,0.9577981651376147,0.9576196593728327,0.9954337899543378,0.8981481481481481,0.8990825688073395,0.9954337899543378,1.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,all_features,extra_trees,94,0.9486238532110092,0.9482812682812684,0.9486238532110092,0.9483689280463061,0.9954337899543378,0.8818181818181818,0.8691588785046729,0.9954337899543378,1.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,all_features,xgboost,94,0.9522935779816514,0.9522294372294372,0.9522935779816514,0.9521632581811665,1.0,0.8785046728971962,0.8868778280542986,0.9954337899543378,1.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,all_features,lightgbm,94,0.9559633027522936,0.9559118186835345,0.9559633027522937,0.9557204889280362,1.0,0.8867924528301887,0.9009009009009009,0.990909090909091,1.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,all_features,stacking,94,0.9559633027522936,0.956173619890434,0.9559633027522935,0.9559484718363223,1.0,0.8878504672897196,0.8918918918918919,1.0,1.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,selected_features,rf,30,0.9486238532110092,0.9488050896746548,0.9486238532110093,0.9481493506493507,0.990909090909091,0.875,0.8839285714285714,0.990909090909091,1.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,selected_features,extra_trees,30,0.9504587155963303,0.9502097902097904,0.9504587155963303,0.9501969689165385,0.9954337899543378,0.8868778280542986,0.8732394366197183,0.9954337899543378,1.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,selected_features,xgboost,30,0.9357798165137615,0.9356821106821107,0.9357798165137616,0.9356202048673985,0.9953917050691244,0.8411214953271028,0.8506787330316742,0.990909090909091,1.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,selected_features,lightgbm,30,0.9339449541284404,0.9336788445199659,0.9339449541284404,0.9337899543378996,1.0,0.8333333333333334,0.8493150684931506,0.9863013698630136,1.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,selected_features,stacking,30,0.9394495412844037,0.9398165700909475,0.9394495412844037,0.9393642214554305,0.9953917050691244,0.8490566037735849,0.8660714285714286,0.9863013698630136,1.0
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,all_features,rf,94,0.9601449275362319,0.9604773889745879,0.9600300550759266,0.9601634996130409,0.9908256880733946,1.0,0.9090909090909091,0.9009009009009009,1.0
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,all_features,extra_trees,94,0.9565217391304348,0.9569337194337194,0.9563439502889043,0.9565827605058039,0.9861751152073732,1.0,0.905829596412556,0.8909090909090909,1.0
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,all_features,xgboost,94,0.9637681159420289,0.9639522611025413,0.9636488684097679,0.9637778166773391,0.9954337899543378,1.0,0.9196428571428571,0.908256880733945,0.9955555555555555
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,all_features,lightgbm,94,0.9619565217391305,0.9623008849557522,0.9618789569053433,0.9620515329419439,0.9954337899543378,1.0,0.9196428571428571,0.9041095890410958,0.9910714285714286
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,all_features,stacking,94,0.9619565217391305,0.962142857142857,0.9618470666079663,0.9619794281658033,0.9954337899543378,1.0,0.9147982062780269,0.9041095890410958,0.9955555555555555
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,selected_features,rf,30,0.9655797101449275,0.9654545454545455,0.9654682205140921,0.9654538316907374,1.0,1.0,0.9140271493212669,0.91324200913242,1.0
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,selected_features,extra_trees,30,0.9547101449275363,0.9552342971086739,0.9544259856186461,0.9544692564001739,1.0,1.0,0.8908296943231441,0.8815165876777251,1.0
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,selected_features,xgboost,30,0.9583333333333334,0.958538961038961,0.9581621321070862,0.9583264906871444,0.9908256880733946,1.0,0.905829596412556,0.8949771689497716,1.0
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,selected_features,lightgbm,30,0.9601449275362319,0.9605212355212356,0.9600771551035414,0.9602606849607586,0.9954337899543378,1.0,0.9147982062780269,0.9,0.9910714285714286
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,selected_features,stacking,30,0.9601449275362319,0.9601965601965603,0.9600133745087873,0.9600822331039897,0.9954337899543378,1.0,0.9049773755656109,0.9,1.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,all_features,rf,94,0.9442446043165468,0.9437500195031857,0.9435116158051937,0.9434355165688955,0.9872340425531915,0.9147982062780269,0.918918918918919,0.8962264150943396,1.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,all_features,extra_trees,94,0.9334532374100719,0.9336227437577701,0.9323936613844872,0.9320375730265106,0.9915254237288136,0.8968609865470852,0.9035087719298246,0.8682926829268293,1.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,all_features,xgboost,94,0.9460431654676259,0.9470394520765737,0.9452543786488741,0.9455011164248625,0.9915254237288136,0.8956521739130435,0.9252336448598131,0.9150943396226415,1.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,all_features,lightgbm,94,0.9442446043165468,0.9445551206326745,0.9434361968306921,0.943603770518801,0.9831932773109243,0.8938053097345132,0.9259259259259259,0.9150943396226415,1.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,all_features,stacking,94,0.9442446043165468,0.9449812702781071,0.9434195162635529,0.9436230568381587,0.9831932773109243,0.8947368421052632,0.9302325581395349,0.909952606635071,1.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,selected_features,rf,40,0.9442446043165468,0.9447404783119069,0.9433694745621353,0.943339521543815,0.9873417721518988,0.8986784140969163,0.9321266968325792,0.8985507246376812,1.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,selected_features,extra_trees,40,0.9460431654676259,0.9477176941681129,0.9452210175145954,0.9455190846792199,0.9831932773109243,0.8956521739130435,0.9308755760368663,0.9178743961352657,1.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,selected_features,xgboost,40,0.9532374100719424,0.9542717086834734,0.9525437864887406,0.9527422825471706,0.9915254237288136,0.9130434782608695,0.9302325581395349,0.9289099526066351,1.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,selected_features,lightgbm,40,0.9424460431654677,0.9429525418023047,0.9416013344453711,0.9417879302563226,0.9831932773109243,0.8898678414096917,0.9259259259259259,0.909952606635071,1.0
raw_all,single_round_R4,single_round,['R4'],['R4'],1297,556,selected_features,stacking,40,0.9514388489208633,0.9523048618493852,0.9507089241034195,0.9508937376120038,0.9831932773109243,0.9122807017543859,0.9351851851851852,0.9238095238095239,1.0
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,all_features,rf,94,0.7069616837560713,0.7276857144134101,0.7057514906057267,0.6592117370350504,0.9228650137741047,0.5403899721448467,0.046632124352331605,0.7861715749039693,1.0
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,all_features,extra_trees,94,0.7145169994603346,0.7274881676808654,0.7130286211402389,0.6657761390732111,0.940379403794038,0.5416267942583732,0.05641025641025641,0.7904642409033877,1.0
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,all_features,xgboost,94,0.712358337830545,0.6919261171075723,0.710834557592979,0.6618770405744276,0.9394347240915208,0.5262116716122651,0.04568527918781726,0.7980535279805353,1.0
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,all_features,lightgbm,94,0.7155963302752294,0.690632146621736,0.7140951310071726,0.6664534949734986,0.9394347240915208,0.5420375865479723,0.05472636815920398,0.7960687960687961,1.0
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,all_features,stacking,94,0.715056664867782,0.7051160028775237,0.7136875364968168,0.6643798257171675,0.9362279511533242,0.5445736434108527,0.04603580562659847,0.7950617283950617,1.0
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,selected_features,rf,40,0.7112790070156503,0.6520267489085032,0.710112026718391,0.6553752936563216,0.9287671232876712,0.5413105413105413,0.005319148936170213,0.8014796547472256,1.0
