filter_mode,task,task_type,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,accuracy,precision,recall,macro_f1,per_class_f1,confusion_matrix,source,scenario,parameter_count,iid_mean_macro_f1,ood_drop
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,all_features,rf,94,0.9577981651376148,0.9574885613400574,0.9577981651376148,0.9576196593728328,"{'Camera': 0.9954337899543378, 'Light_T1': 0.8981481481481481, 'Light_XM': 0.8990825688073395, 'Sensor': 0.9954337899543378, 'Socket': 1.0}","[[109, 0, 0, 0, 0], [0, 97, 11, 1, 0], [1, 10, 98, 0, 0], [0, 0, 0, 109, 0], [0, 0, 0, 0, 109]]",preserved_baseline,IID,,0.9537395585182563,0.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,all_features,cnn1d_v2,94,0.7614678899082569,0.7537032771106207,0.7614678899082569,0.7550483172139677,"{'Camera': 0.9553571428571429, 'Light_T1': 0.4083769633507853, 'Light_XM': 0.5569620253164557, 'Sensor': 0.8545454545454545, 'Socket': 1.0}","[[107, 1, 0, 1, 0], [1, 39, 59, 10, 0], [5, 32, 66, 6, 0], [2, 10, 3, 94, 0], [0, 0, 0, 0, 109]]",preserved_baseline,IID,260049.0,0.7800627437792659,0.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,all_features,cnn1d_v3,94,0.9211009174311928,0.9204056865464632,0.9211009174311926,0.9205583539656792,"{'Camera': 1.0, 'Light_T1': 0.8018867924528302, 'Light_XM': 0.8144796380090498, 'Sensor': 0.9864253393665159, 'Socket': 1.0}","[[109, 0, 0, 0, 0], [0, 85, 22, 2, 0], [0, 18, 90, 1, 0], [0, 0, 0, 109, 0], [0, 0, 0, 0, 109]]",preserved_baseline,IID,1012154.0,0.9310126140102173,0.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,all_features,transformer,94,0.9027522935779816,0.9104234715999422,0.9027522935779816,0.9010442304552524,"{'Camera': 0.9818181818181818, 'Light_T1': 0.7407407407407407, 'Light_XM': 0.7918367346938775, 'Sensor': 0.9953917050691244, 'Socket': 0.9954337899543378}","[[108, 0, 1, 0, 0], [1, 70, 38, 0, 0], [2, 9, 97, 0, 1], [0, 1, 0, 108, 0], [0, 0, 0, 0, 109]]",preserved_baseline,IID,73541.0,0.89929994532895,0.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,all_features,transformer_v2,94,0.9137614678899084,0.9130755250068108,0.9137614678899084,0.9131731062952252,"{'Camera': 0.9954337899543378, 'Light_T1': 0.7867298578199052, 'Light_XM': 0.7927927927927928, 'Sensor': 0.990909090909091, 'Socket': 1.0}","[[109, 0, 0, 0, 0], [0, 83, 25, 1, 0], [1, 19, 88, 1, 0], [0, 0, 0, 109, 0], [0, 0, 0, 0, 109]]",preserved_baseline,IID,605634.0,0.9291691865874535,0.0
raw_all,single_round_R2,single_round,['R2'],['R2'],1271,545,all_features,cnn1d_v4,94,0.8990825688073395,0.8969597459071144,0.8990825688073395,0.8978325865472389,"{'Camera': 0.9954337899543378, 'Light_T1': 0.7511737089201878, 'Light_XM': 0.7649769585253456, 'Sensor': 0.9775784753363229, 'Socket': 1.0}","[[109, 0, 0, 0, 0], [0, 80, 25, 4, 0], [1, 24, 83, 1, 0], [0, 0, 0, 109, 0], [0, 0, 0, 0, 109]]",strict_split_trained,IID,2206080.0,0.917711213128332,0.0
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,all_features,rf,94,0.960144927536232,0.960477388974588,0.9600300550759266,0.9601634996130408,"{'Camera': 0.9908256880733946, 'Light_T1': 1.0, 'Light_XM': 0.9090909090909091, 'Sensor': 0.9009009009009009, 'Socket': 1.0}","[[108, 0, 0, 2, 0], [0, 109, 0, 0, 0], [0, 0, 100, 11, 0], [0, 0, 9, 100, 0], [0, 0, 0, 0, 113]]",preserved_baseline,IID,,0.9537395585182563,0.0
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,all_features,cnn1d_v2,94,0.8369565217391305,0.8474800118410866,0.8359352970069865,0.8374912098868904,"{'Camera': 0.9326923076923077, 'Light_T1': 0.9357798165137615, 'Light_XM': 0.7137254901960784, 'Sensor': 0.6231155778894473, 'Socket': 0.9821428571428571}","[[97, 2, 8, 2, 1], [0, 102, 0, 7, 0], [0, 1, 91, 19, 0], [1, 4, 42, 62, 0], [0, 0, 3, 0, 110]]",preserved_baseline,IID,260049.0,0.7800627437792659,0.0
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,all_features,cnn1d_v3,94,0.9510869565217392,0.951026026026026,0.950938544883499,0.95088309281199,"{'Camera': 0.981651376146789, 'Light_T1': 0.990909090909091, 'Light_XM': 0.8949771689497716, 'Sensor': 0.8868778280542986, 'Socket': 1.0}","[[107, 0, 0, 3, 0], [0, 109, 0, 0, 0], [1, 1, 98, 11, 0], [0, 1, 10, 98, 0], [0, 0, 0, 0, 113]]",preserved_baseline,IID,1012154.0,0.9310126140102173,0.0
raw_all,single_round_R3,single_round,['R3'],['R3'],1285,552,all_features,transformer,94,0.9003623188405797,0.9010279644244356,0.900239689230515,0.8990259149779639,"{'Camera': 0.990990990990991, 'Light_T1': 0.9954337899543378, 'Light_XM': 0.7414634146341463, 'Sensor': 0.7672413793103449, 'Socket': 1.0}","[[110, 0, 0, 0, 0], [0, 109, 0, 0, 0], [1, 0, 76, 34, 0], [1, 1, 18, 89, 0], [0, 0, 0, 0, 113]]",preserved_baseline,IID,73541.0,0.89929994532895,0.0
