task,fold_e_out,target_env,n_sources,lb_basis,f1_rf,f1_stacking,f1_soft_equal,f1_route_b,f1_soft_calibrated,f1_hard_voting,macro_f1_4class_route_b,worst_class_f1_route_b,accuracy_route_b,gain_vs_stacking,gain_vs_rf,gain_vs_soft_equal,regret_route_b_vs_oracle3,regret_always_rf,regret_always_stacking,regret_always_soft_equal
g0_R2_R3_R4_to_R5,R5,R5,3,per_round_min,0.7012224296594887,0.7180085899308039,0.6673995212284874,0.7003951985133436,0.6828845126204688,0.6714929451065272,0.6254939981416796,0.28046744574290483,0.7120044052863436,-0.01761339141746021,-0.0008272311461450244,0.032995677284856195,0.01761339141746021,0.016786160271315187,0.0,0.050609068702316407
g0_R2_R3_R4_to_R6,R6,R6,3,per_round_min,0.7488747806643499,0.6955971167332627,0.7759265379312068,0.7555683251405425,0.7765208753786581,0.7749882489527751,0.6944604064256781,0.6139315230224321,0.7520120724346077,0.059971208407279764,0.006693544476192637,-0.0203582127906643,0.0203582127906643,0.027051757266856935,0.08032942119794406,0.0
g0_R2_R3_R4_to_R7,R7,R7,3,per_round_min,0.8219721259799911,0.7291714113522227,0.8185859178150231,0.821977604906111,0.8245867664508427,0.817167148540932,0.7774720061326387,0.6899038461538461,0.8208730556949323,0.0928061935538883,5.478926119906191e-06,0.003391687091087947,-5.478926119906191e-06,0.0,0.0928007146277684,0.003386208164968041
g0_R2_R3_R5_to_R4,R4,R4,3,per_round_min,0.6972893016537488,0.47461343317046917,0.7067139261295678,0.7073234729323044,0.7100151021543868,0.707381552352788,0.6341543411653804,0.1778846153846154,0.747436589314625,0.23271003976183519,0.010034171278555548,0.0006095468027365047,-0.0006095468027365047,0.009424624475819043,0.23210049295909868,0.0
g0_R2_R3_R5_to_R6,R6,R6,3,per_round_min,0.5750811606983018,0.46474080588278266,0.6684926656343252,0.6036405048319196,0.6372598347165364,0.6521614743598964,0.5045506310398995,0.015037593984962405,0.6554325955734407,0.1388996989491369,0.028559344133617715,-0.06485216080240563,0.06485216080240563,0.09341150493602335,0.20375185975154253,0.0
g0_R2_R3_R5_to_R7,R7,R7,3,per_round_min,0.617621595139765,0.45480975286319403,0.676533717625109,0.6474791345364862,0.6710774213112658,0.6708584529107529,0.5593489181706077,0.054187192118226604,0.6964375313597592,0.19266938167329217,0.0298575393967212,-0.029054583088622854,0.029054583088622854,0.058912122485344054,0.22172396476191503,0.0
g0_R2_R3_R6_to_R4,R4,R4,3,per_round_min,0.8161061115207913,0.7740087744464488,0.8378429419149246,0.836115122172912,0.8394614932949056,0.8351926588030676,0.79514390271614,0.6541737649063032,0.8418780356179169,0.062106347726463174,0.020009010652120685,-0.0017278197420126373,0.0017278197420126373,0.021736830394133322,0.06383416746847581,0.0
g0_R2_R3_R6_to_R5,R5,R5,3,per_round_min,0.6980702348606684,0.7380145320700703,0.6580836959776045,0.6531959313759477,0.6805030053079337,0.6627215143496393,0.5664949142199346,0.10074626865671642,0.677863436123348,-0.08481860069412261,-0.04487430348472077,-0.004887764601656852,0.08481860069412261,0.03994429720940185,0.0,0.07993083609246576
g0_R2_R3_R6_to_R7,R7,R7,3,per_round_min,0.8331060188718364,0.7121324921415534,0.8610676416251681,0.8628211163976183,0.8579005184645163,0.8599413281250149,0.8285263954970227,0.7194029850746269,0.865529352734571,0.15068862425606488,0.02971509752578183,0.0017534747724501365,-0.0017534747724501365,0.027961622753331694,0.14893514948361475,0.0
g0_R2_R3_R7_to_R4,R4,R4,3,per_round_min,0.8278215102098271,0.8026243979170447,0.8300662938340381,0.8277174133506137,0.833069023216251,0.8290147181654106,0.7846467666882672,0.6363636363636364,0.8343227199136536,0.02509301543356901,-0.0001040968592134206,-0.0023488804834244092,0.0023488804834244092,0.0022447836242109886,0.02744189591699342,0.0
