task,fold_e_out,lb_rf,lb_xgboost,lb_lightgbm,rho_rf,rho_xgboost,rho_lightgbm,w_rf,w_xgboost,w_lightgbm
g0_R2_R3_R4_to_R5,R5,0.6148161314237031,0.5331577734068969,0.552736123006713,0.7661575149501132,0.8484170565969011,0.8408456048281872,0.9601847440948561,0.010492838903858367,0.029322417001285555
g0_R2_R3_R4_to_R6,R6,0.6148161314237031,0.5331577734068969,0.552736123006713,0.7661575149501132,0.8484170565969011,0.8408456048281872,0.9601847440948561,0.010492838903858367,0.029322417001285555
g0_R2_R3_R4_to_R7,R7,0.6148161314237031,0.5331577734068969,0.552736123006713,0.7661575149501132,0.8484170565969011,0.8408456048281872,0.9601847440948561,0.010492838903858367,0.029322417001285555
g0_R2_R3_R5_to_R4,R4,0.6207367074722319,0.5653073353653785,0.5588174216107366,0.7995553717923001,0.8585086927397788,0.8592538525638839,0.6961435074018231,0.1621738046094499,0.1416826879887271
g0_R2_R3_R5_to_R6,R6,0.6207367074722319,0.5653073353653785,0.5588174216107366,0.7995553717923001,0.8585086927397788,0.8592538525638839,0.9294306541801872,0.04105053365225657,0.02951881216755621
g0_R2_R3_R5_to_R7,R7,0.6207367074722319,0.5653073353653785,0.5588174216107366,0.7995553717923001,0.8585086927397788,0.8592538525638839,0.9294306541801872,0.04105053365225657,0.02951881216755621
g0_R2_R3_R6_to_R4,R4,0.5375723002637741,0.5740933477218507,0.5811342427150084,0.7185705065075157,0.8118482266757521,0.8125192012257965,0.2512586876497747,0.34872058261663996,0.4000207297335853
g0_R2_R3_R6_to_R5,R5,0.5375723002637741,0.5740933477218507,0.5811342427150084,0.7185705065075157,0.8118482266757521,0.8125192012257965,0.09063504183740025,0.37625243185040597,0.5331125263121936
g0_R2_R3_R6_to_R7,R7,0.5375723002637741,0.5740933477218507,0.5811342427150084,0.7185705065075157,0.8118482266757521,0.8125192012257965,0.09063504183740025,0.37625243185040597,0.5331125263121936
g0_R2_R3_R7_to_R4,R4,0.5440584636629346,0.6177502095068267,0.6049142912555372,0.7036955381191611,0.7974948103864231,0.8060312543594885,0.16142560965543476,0.48166908513494316,0.35690530520962216
g0_R2_R3_R7_to_R5,R5,0.5440584636629346,0.6177502095068267,0.6049142912555372,0.7036955381191611,0.7974948103864231,0.8060312543594885,0.023841459237118542,0.6489731489845434,0.32718539177833816
g0_R2_R3_R7_to_R6,R6,0.5440584636629346,0.6177502095068267,0.6049142912555372,0.7036955381191611,0.7974948103864231,0.8060312543594885,0.023841459237118542,0.6489731489845434,0.32718539177833816
g0_R2_R3_to_R4,R4,0.5525575101442647,0.5099109073505381,0.5140156135541126,0.8577656869042878,0.8705445211158731,0.8876098177583958,0.5703104270997604,0.22120945334279257,0.2084801195574471
g0_R2_R3_to_R5,R5,0.5525575101442647,0.5099109073505381,0.5140156135541126,0.8577656869042878,0.8705445211158731,0.8876098177583958,0.8177048495334669,0.08823754492641732,0.0940576055401157
g0_R2_R3_to_R6,R6,0.5525575101442647,0.5099109073505381,0.5140156135541126,0.8577656869042878,0.8705445211158731,0.8876098177583958,0.8177048495334669,0.08823754492641732,0.0940576055401157
g0_R2_R3_to_R7,R7,0.5525575101442647,0.5099109073505381,0.5140156135541126,0.8577656869042878,0.8705445211158731,0.8876098177583958,0.8177048495334669,0.08823754492641732,0.0940576055401157
g0_R2_R4_R5_to_R3,R3,0.6158027595420854,0.5389083043313059,0.5411524536163957,0.7068853317560146,0.8090487719526642,0.7872572707941701,0.7674364570674593,0.10740650336356389,0.1251570395689768
g0_R2_R4_R5_to_R6,R6,0.6158027595420854,0.5389083043313059,0.5411524536163957,0.7068853317560146,0.8090487719526642,0.7872572707941701,0.9696439209993614,0.01351310972608245,0.016842969274556092
