task,model,mean,std,min,max,count,seed_status,report_as
jitter_R2_R3_R4_to_R6_R7,cnn1d_convnext,0.6159485076496504,0.03537965679412278,0.5615470263029241,0.660055411577412,5,5seed,0.6159 ± 0.0354
jitter_R2_R3_R4_to_R6_R7,cnn1d_inception,0.6691240496426797,0.016244837754104416,0.649176387398602,0.6908299627561694,5,5seed,0.6691 ± 0.0162
jitter_R2_R3_R4_to_R6_R7,cnn1d_tcn,0.6440999936371434,0.01899203517183408,0.6185264684976983,0.6655441674403104,5,5seed,0.6441 ± 0.0190
jitter_R2_R3_R4_to_R6_R7,cnn1d_v3,0.6480796704039956,,,,5,single_seed_reference_copied,0.6481 (单种子参照，无 ±std)
jitter_R2_R3_R4_to_R6_R7,cnn1d_v5,0.6486731926391436,,,,5,single_seed_reference_copied,0.6487 (单种子参照，无 ±std)
loro_R2_R3_to_R4,cnn1d_convnext,0.6541272071165443,0.009539742264404703,0.641958809942423,0.6649079069588353,5,5seed,0.6541 ± 0.0095
loro_R2_R3_to_R4,cnn1d_inception,0.6515957256279139,0.010074230183316348,0.6440359733027361,0.6687671056538571,5,5seed,0.6516 ± 0.0101
loro_R2_R3_to_R4,cnn1d_tcn,0.6673693467633246,0.004529918635897474,0.6612793897552212,0.6718848662110795,5,5seed,0.6674 ± 0.0045
loro_R2_R3_to_R4,cnn1d_v3,0.6743508688941646,,,,5,single_seed_reference_copied,0.6744 (单种子参照，无 ±std)
loro_R2_R3_to_R4,cnn1d_v5,0.6548808369634594,,,,5,single_seed_reference_copied,0.6549 (单种子参照，无 ±std)
loro_R2_R4_to_R3,cnn1d_convnext,0.4869624312784886,0.019022335136219332,0.4626033055891609,0.5133762170844343,5,5seed,0.4870 ± 0.0190
loro_R2_R4_to_R3,cnn1d_inception,0.49484397703401184,0.0030474585266964333,0.4924622422902056,0.4995911494270982,5,5seed,0.4948 ± 0.0030
loro_R2_R4_to_R3,cnn1d_tcn,0.49194164779895305,0.015247937819264012,0.4656820015634775,0.5046981130810402,5,5seed,0.4919 ± 0.0152
loro_R2_R4_to_R3,cnn1d_v3,0.4948910187629904,,,,5,single_seed_reference_copied,0.4949 (单种子参照，无 ±std)
loro_R2_R4_to_R3,cnn1d_v5,0.474508184541561,,,,5,single_seed_reference_copied,0.4745 (单种子参照，无 ±std)
loro_R3_R4_to_R2,cnn1d_convnext,0.6783641639552013,0.008938219376218037,0.6696723974696183,0.6893873098357127,5,5seed,0.6784 ± 0.0089
loro_R3_R4_to_R2,cnn1d_inception,0.6901325738463616,0.008863747966346393,0.6802224407770174,0.7023693032864206,5,5seed,0.6901 ± 0.0089
loro_R3_R4_to_R2,cnn1d_tcn,0.7148999532169367,0.008706080155703955,0.7038528557431074,0.727581183388274,5,5seed,0.7149 ± 0.0087
loro_R3_R4_to_R2,cnn1d_v3,0.6773361107428025,,,,5,single_seed_reference_copied,0.6773 (单种子参照，无 ±std)
loro_R3_R4_to_R2,cnn1d_v5,0.7191467333591592,,,,5,single_seed_reference_copied,0.7191 (单种子参照，无 ±std)
position_R2_R3_R4_to_R5,cnn1d_convnext,0.48823615830036315,0.03395442871001273,0.4500511170128655,0.5266000405068242,5,5seed,0.4882 ± 0.0340
position_R2_R3_R4_to_R5,cnn1d_inception,0.5009742130069383,0.019581333993578174,0.4696264459210364,0.5176098306359833,5,5seed,0.5010 ± 0.0196
position_R2_R3_R4_to_R5,cnn1d_tcn,0.4868043400021927,0.018891990983379944,0.4645707540372535,0.5084077952657726,5,5seed,0.4868 ± 0.0189
position_R2_R3_R4_to_R5,cnn1d_v3,0.4346823206107409,,,,5,single_seed_reference_copied,0.4347 (单种子参照，无 ±std)
position_R2_R3_R4_to_R5,cnn1d_v5,0.441194274834768,,,,5,single_seed_reference_copied,0.4412 (单种子参照，无 ±std)
single_round_R2,cnn1d_convnext,0.9084129451731483,0.006850352926547421,0.8990034054195652,0.9168345365281196,5,5seed,0.9084 ± 0.0069
single_round_R2,cnn1d_inception,0.9071489730115235,0.006020458496785279,0.8989489555666385,0.9131648595577564,5,5seed,0.9071 ± 0.0060
single_round_R2,cnn1d_tcn,0.9097499430670618,0.006994423914578684,0.8991376004504226,0.9187111711364075,5,5seed,0.9097 ± 0.0070
single_round_R2,cnn1d_v3,0.9205583539656793,,,,5,single_seed_reference_copied,0.9206 (单种子参照，无 ±std)
single_round_R2,cnn1d_v5,0.9018818414557763,,,,5,single_seed_reference_copied,0.9019 (单种子参照，无 ±std)
single_round_R3,cnn1d_convnext,0.9390338124416804,0.007205990885440718,0.9314785231262224,0.9490371214753284,5,5seed,0.9390 ± 0.0072
single_round_R3,cnn1d_inception,0.9416136690694252,0.009764456596770433,0.9275174027427348,0.9510181083479894,5,5seed,0.9416 ± 0.0098
single_round_R3,cnn1d_tcn,0.9494136792348777,0.005187592205465605,0.9454120541476764,0.9584025253854476,5,5seed,0.9494 ± 0.0052
single_round_R3,cnn1d_v3,0.95088309281199,,,,5,single_seed_reference_copied,0.9509 (单种子参照，无 ±std)
single_round_R3,cnn1d_v5,0.9512166744176216,,,,5,single_seed_reference_copied,0.9512 (单种子参照，无 ±std)
single_round_R4,cnn1d_convnext,0.91896644431558,0.009095511717383643,0.9056930029921622,0.9271670841916552,5,5seed,0.9190 ± 0.0091
single_round_R4,cnn1d_inception,0.9040537545286258,0.008322976935662705,0.8952697773165976,0.9145209620565112,5,5seed,0.9041 ± 0.0083
single_round_R4,cnn1d_tcn,0.9226876583111606,0.009599459420979457,0.906413492619916,0.9286139732369328,5,5seed,0.9227 ± 0.0096
single_round_R4,cnn1d_v3,0.9215963952529826,,,,5,single_seed_reference_copied,0.9216 (单种子参照，无 ±std)
single_round_R4,cnn1d_v5,0.9066648405666914,,,,5,single_seed_reference_copied,0.9067 (单种子参照，无 ±std)
