filter_mode,task,task_type,scenario,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,parameter_count,accuracy,precision,recall,macro_f1,per_class_f1,confusion_matrix,source,iid_mean_macro_f1,ood_drop
raw_all,single_round_R2,single_round,IID,['R2'],['R2'],1271,545,all_features,cnn1d_v3,94,1012154,0.9211009174311927,0.9204056865464633,0.9211009174311926,0.9205583539656791,"{'Camera': 1.0, 'Light_T1': 0.8018867924528302, 'Light_XM': 0.8144796380090498, 'Sensor': 0.9864253393665159, 'Socket': 1.0}","[[109, 0, 0, 0, 0], [0, 85, 22, 2, 0], [0, 18, 90, 1, 0], [0, 0, 0, 109, 0], [0, 0, 0, 0, 109]]",preserved_baseline,0.9310126140102172,0.0
raw_all,single_round_R2,single_round,IID,['R2'],['R2'],1271,545,all_features,cnn1d_v5,94,1225296,0.9027522935779817,0.9032640424590888,0.9027522935779817,0.9018818414557765,"{'Camera': 0.9953917050691244, 'Light_T1': 0.7807017543859649, 'Light_XM': 0.7647058823529411, 'Sensor': 0.968609865470852, 'Socket': 1.0}","[[108, 0, 1, 0, 0], [0, 89, 16, 4, 0], [0, 29, 78, 2, 0], [0, 1, 0, 108, 0], [0, 0, 0, 0, 109]]",preserved_baseline,0.9199211188133631,0.0
raw_all,single_round_R2,single_round,IID,['R2'],['R2'],1271,545,all_features,cnn1d_inception,94,763092,0.9119266055045872,0.9158164173789174,0.9119266055045872,0.9115725757840906,"{'Camera': 1.0, 'Light_T1': 0.8016877637130801, 'Light_XM': 0.77, 'Sensor': 0.9861751152073732, 'Socket': 1.0}","[[109, 0, 0, 0, 0], [0, 95, 14, 0, 0], [0, 31, 77, 1, 0], [0, 2, 0, 107, 0], [0, 0, 0, 0, 109]]",strict_split_trained,0.9114532519478077,0.0
raw_all,single_round_R2,single_round,IID,['R2'],['R2'],1271,545,all_features,cnn1d_tcn,94,814854,0.9119266055045872,0.9106359172574685,0.9119266055045872,0.9110273241494433,"{'Camera': 0.9954337899543378, 'Light_T1': 0.7867298578199052, 'Light_XM': 0.8, 'Sensor': 0.972972972972973, 'Socket': 1.0}","[[109, 0, 0, 0, 0], [0, 83, 23, 3, 0], [1, 18, 88, 2, 0], [0, 1, 0, 108, 0], [0, 0, 0, 0, 109]]",strict_split_trained,0.9295261510087013,0.0
raw_all,single_round_R2,single_round,IID,['R2'],['R2'],1271,545,all_features,cnn1d_convnext,94,1079570,0.8990825688073395,0.9020396904210211,0.8990825688073395,0.8990034054195652,"{'Camera': 1.0, 'Light_T1': 0.7352941176470589, 'Light_XM': 0.7829787234042553, 'Sensor': 0.9767441860465116, 'Socket': 1.0}","[[109, 0, 0, 0, 0], [0, 75, 34, 0, 0], [0, 16, 92, 1, 0], [0, 4, 0, 105, 0], [0, 0, 0, 0, 109]]",strict_split_trained,0.9201687169517787,0.0
raw_all,single_round_R3,single_round,IID,['R3'],['R3'],1285,552,all_features,cnn1d_v3,94,1012154,0.9510869565217391,0.951026026026026,0.950938544883499,0.9508830928119899,"{'Camera': 0.981651376146789, 'Light_T1': 0.990909090909091, 'Light_XM': 0.8949771689497716, 'Sensor': 0.8868778280542986, 'Socket': 1.0}","[[107, 0, 0, 3, 0], [0, 109, 0, 0, 0], [1, 1, 98, 11, 0], [0, 1, 10, 98, 0], [0, 0, 0, 0, 113]]",preserved_baseline,0.9310126140102172,0.0
raw_all,single_round_R3,single_round,IID,['R3'],['R3'],1285,552,all_features,cnn1d_v5,94,1225296,0.9510869565217391,0.9519980663873671,0.9509716054670182,0.9512166744176215,"{'Camera': 0.9861751152073732, 'Light_T1': 1.0, 'Light_XM': 0.8899082568807339, 'Sensor': 0.88, 'Socket': 1.0}","[[107, 0, 0, 3, 0], [0, 109, 0, 0, 0], [0, 0, 97, 14, 0], [0, 0, 10, 99, 0], [0, 0, 0, 0, 113]]",preserved_baseline,0.9199211188133631,0.0
raw_all,single_round_R3,single_round,IID,['R3'],['R3'],1285,552,all_features,cnn1d_inception,94,763092,0.9293478260869565,0.9363894053795997,0.9286226510079721,0.9275174027427348,"{'Camera': 0.9861751152073732, 'Light_T1': 0.9864253393665159, 'Light_XM': 0.8629032258064516, 'Sensor': 0.8020833333333334, 'Socket': 1.0}","[[107, 1, 0, 2, 0], [0, 109, 0, 0, 0], [0, 0, 107, 4, 0], [0, 2, 30, 77, 0], [0, 0, 0, 0, 113]]",strict_split_trained,0.9114532519478077,0.0
raw_all,single_round_R3,single_round,IID,['R3'],['R3'],1285,552,all_features,cnn1d_tcn,94,814854,0.9492753623188406,0.9490585960081374,0.9490539413475194,0.9490407146730651,"{'Camera': 0.9863013698630136, 'Light_T1': 0.9954337899543378, 'Light_XM': 0.8878923766816144, 'Sensor': 0.8755760368663594, 'Socket': 1.0}","[[108, 0, 0, 2, 0], [0, 109, 0, 0, 0], [1, 0, 99, 11, 0], [0, 1, 13, 95, 0], [0, 0, 0, 0, 113]]",strict_split_trained,0.9295261510087013,0.0
raw_all,single_round_R3,single_round,IID,['R3'],['R3'],1285,552,all_features,cnn1d_convnext,94,1079570,0.9347826086956522,0.9384100139419289,0.9343232610927668,0.9343356612441157,"{'Camera': 0.981651376146789, 'Light_T1': 1.0, 'Light_XM': 0.8713692946058091, 'Sensor': 0.8275862068965517, 'Socket': 0.9910714285714286}","[[107, 0, 0, 3, 0], [0, 109, 0, 0, 0], [1, 0, 105, 5, 0], [0, 0, 25, 84, 0], [0, 0, 0, 2, 111]]",strict_split_trained,0.9201687169517787,0.0
