unit,pair,auc_base_full94,auc_minus_rssi,d_auc,sign_this_unit
pos_R5,Camera|Light_T1,0.85450771727235,0.8090267557266312,-0.04548096154571879,-
pos_R5,Camera|Light_XM,0.9881155658766478,0.8124065599647868,-0.175709005911861,-
pos_R5,Camera|Sensor,0.9959210386131532,0.8889472322420588,-0.10697380637109433,-
pos_R5,Camera|Socket,0.9972451790633609,0.9972375900249678,-7.5890383930410366e-06,0
pos_R5,Light_T1|Light_XM,0.1811691007207819,0.734314502434054,0.5531454017132722,+
pos_R5,Light_T1|Sensor,0.4854537198213881,0.7994550821160977,0.31400136229470965,+
pos_R5,Light_T1|Socket,1.0,1.0,0.0,0
pos_R5,Light_XM|Sensor,0.945497161469035,0.930672876428778,-0.014824285040256902,-
pos_R5,Light_XM|Socket,1.0,1.0,0.0,0
pos_R5,Sensor|Socket,1.0,1.0,0.0,0
jit_R6,Camera|Light_T1,0.9782323829879267,0.9305624467259519,-0.0476699362619748,-
jit_R6,Camera|Light_XM,0.9653437390945718,0.9045271406364012,-0.06081659845817067,-
jit_R6,Camera|Sensor,0.9800983941334819,0.9343544045298431,-0.04574398960363879,-
jit_R6,Camera|Socket,1.0,1.0,0.0,0
jit_R6,Light_T1|Light_XM,0.5650645762385145,0.6373385594037139,0.0722739831651994,+
jit_R6,Light_T1|Sensor,0.7735789935451526,0.8633076392805665,0.08972864573541395,+
jit_R6,Light_T1|Socket,1.0,1.0,0.0,0
jit_R6,Light_XM|Sensor,0.87328645100797,0.8890576652601968,0.01577121425222683,+
jit_R6,Light_XM|Socket,1.0,1.0,0.0,0
jit_R6,Sensor|Socket,1.0,1.0,0.0,0
jit_R7,Camera|Light_T1,0.9956918430536521,0.9291025836251967,-0.0665892594284554,-
jit_R7,Camera|Light_XM,0.9915057521108078,0.9138267479529627,-0.07767900415784512,-
jit_R7,Camera|Sensor,0.993356506845002,0.9406178763491644,-0.0527386304958376,-
jit_R7,Camera|Socket,1.0,1.0,0.0,0
jit_R7,Light_T1|Light_XM,0.7242924165512998,0.7448533558939651,0.02056093934266523,+
jit_R7,Light_T1|Sensor,0.8670983013088275,0.8916926153768259,0.02459431406799839,+
jit_R7,Light_T1|Socket,1.0,1.0,0.0,0
jit_R7,Light_XM|Sensor,0.8974657455822297,0.900366398229075,0.0029006526468453586,0
jit_R7,Light_XM|Socket,1.0,1.0,0.0,0
jit_R7,Sensor|Socket,1.0,1.0,0.0,0
