round,pair,col,auc,n
R2,Light_T1|Light_XM,rssi_mean,0.6196799879240726,728
R2,Light_T1|Light_XM,rssi_std,0.5810332465376052,728
R2,Light_T1|Light_XM,rssi_min,0.1810747575380203,728
R2,Light_T1|Light_XM,rssi_max,0.6094569606400242,728
R2,Light_T1|Light_XM,rssi_p10,0.3355749273557493,728
R2,Light_T1|Light_XM,rssi_p50,0.6759273934865466,728
R2,Light_T1|Light_XM,rssi_p90,0.652794445073399,728
R2,Light_T1|Sensor,rssi_mean,0.22528439921377563,726
R2,Light_T1|Sensor,rssi_std,0.3753045101655169,726
R2,Light_T1|Sensor,rssi_min,0.2324674240526983,726
R2,Light_T1|Sensor,rssi_max,0.0016316432544832245,726
R2,Light_T1|Sensor,rssi_p10,0.2498159658189711,726
R2,Light_T1|Sensor,rssi_p50,0.20796241908187812,726
R2,Light_T1|Sensor,rssi_p90,0.027810031190947795,726
R2,Light_XM|Sensor,rssi_mean,0.16451941582701235,728
R2,Light_XM|Sensor,rssi_std,0.3453035963621269,728
R2,Light_XM|Sensor,rssi_min,0.47732744631872903,728
R2,Light_XM|Sensor,rssi_max,9.05694554511491e-05,728
R2,Light_XM|Sensor,rssi_p10,0.33049171666855354,728
R2,Light_XM|Sensor,rssi_p50,0.18916185516434583,728
R2,Light_XM|Sensor,rssi_p90,0.016604400166044003,728
R3,Light_T1|Light_XM,rssi_mean,0.869332646494509,732
R3,Light_T1|Light_XM,rssi_std,0.8476188343150649,732
R3,Light_T1|Light_XM,rssi_min,0.2680537824661993,732
R3,Light_T1|Light_XM,rssi_max,1.0,732
R3,Light_T1|Light_XM,rssi_p10,0.4298528522475307,732
R3,Light_T1|Light_XM,rssi_p50,0.8929949905559662,732
R3,Light_T1|Light_XM,rssi_p90,0.9999925343606053,732
R3,Light_T1|Sensor,rssi_mean,0.7782066418430055,727
R3,Light_T1|Sensor,rssi_std,0.8147988375261103,727
R3,Light_T1|Sensor,rssi_min,0.2683377228831774,727
R3,Light_T1|Sensor,rssi_max,0.9999962159053069,727
R3,Light_T1|Sensor,rssi_p10,0.3885848999485363,727
R3,Light_T1|Sensor,rssi_p50,0.8872037053855236,727
R3,Light_T1|Sensor,rssi_p90,0.99769548633185,727
R3,Light_XM|Sensor,rssi_mean,0.35485347985347987,733
R3,Light_XM|Sensor,rssi_std,0.4679822210310015,733
R3,Light_XM|Sensor,rssi_min,0.4640809732273147,733
R3,Light_XM|Sensor,rssi_max,0.3262232347598201,733
R3,Light_XM|Sensor,rssi_p10,0.39835537091634654,733
R3,Light_XM|Sensor,rssi_p50,0.36814303582596264,733
R3,Light_XM|Sensor,rssi_p90,0.2914507579141726,733
R4,Light_T1|Light_XM,rssi_mean,0.4182809708159619,733
R4,Light_T1|Light_XM,rssi_std,0.3370309708159619,733
R4,Light_T1|Light_XM,rssi_min,0.6961547051816558,733
R4,Light_T1|Light_XM,rssi_max,0.03327873734365694,733
R4,Light_T1|Light_XM,rssi_p10,0.614301667659321,733
R4,Light_T1|Light_XM,rssi_p50,0.30113907087552116,733
R4,Light_T1|Light_XM,rssi_p90,0.2598533353186421,733
R4,Light_T1|Sensor,rssi_mean,0.35501778551426627,727
R4,Light_T1|Sensor,rssi_std,0.4922273518504503,727
R4,Light_T1|Sensor,rssi_min,0.359551199576175,727
R4,Light_T1|Sensor,rssi_max,0.12245137364716567,727
R4,Light_T1|Sensor,rssi_p10,0.37195186558692195,727
R4,Light_T1|Sensor,rssi_p50,0.3581207901309317,727
R4,Light_T1|Sensor,rssi_p90,0.1866343752365095,727
R4,Light_XM|Sensor,rssi_mean,0.4362051104972376,730
R4,Light_XM|Sensor,rssi_std,0.6374684722555849,730
R4,Light_XM|Sensor,rssi_min,0.19959314196492914,730
R4,Light_XM|Sensor,rssi_max,0.8651700996877252,730
R4,Light_XM|Sensor,rssi_p10,0.30158539514773003,730
R4,Light_XM|Sensor,rssi_p50,0.5483162683161182,730
R4,Light_XM|Sensor,rssi_p90,0.5399464028344944,730
