day,device,n_windows,passes_gate,min_windows
16-09-23,BelkinWemoMotion,3178,1,100
16-09-23,BelkinWemoSwitch,3115,1,100
16-09-23,Dropcam,8640,1,100
16-09-23,SamsungSmartCam,6146,1,100
16-09-24,BelkinWemoMotion,3161,1,100
16-09-24,BelkinWemoSwitch,3157,1,100
16-09-24,Dropcam,8595,1,100
16-09-24,SamsungSmartCam,6135,1,100
16-09-25,BelkinWemoMotion,3214,1,100
16-09-25,BelkinWemoSwitch,3175,1,100
16-09-25,Dropcam,8640,1,100
16-09-25,SamsungSmartCam,5984,1,100
16-09-26,BelkinWemoMotion,3129,1,100
16-09-26,BelkinWemoSwitch,2997,1,100
16-09-26,Dropcam,8638,1,100
16-09-26,SamsungSmartCam,6095,1,100
16-09-27,BelkinWemoMotion,3104,1,100
16-09-27,BelkinWemoSwitch,2721,1,100
16-09-27,Dropcam,8640,1,100
16-09-27,SamsungSmartCam,5953,1,100
16-09-28,BelkinWemoMotion,3305,1,100
16-09-28,BelkinWemoSwitch,2877,1,100
16-09-28,Dropcam,8639,1,100
16-09-28,SamsungSmartCam,6238,1,100
16-09-29,BelkinWemoMotion,3208,1,100
16-09-29,BelkinWemoSwitch,3142,1,100
16-09-29,Dropcam,8640,1,100
16-09-29,SamsungSmartCam,6076,1,100
16-09-30,BelkinWemoMotion,3224,1,100
16-09-30,BelkinWemoSwitch,3101,1,100
16-09-30,Dropcam,8640,1,100
16-09-30,SamsungSmartCam,6031,1,100
16-10-01,BelkinWemoMotion,3138,1,100
16-10-01,BelkinWemoSwitch,3104,1,100
16-10-01,Dropcam,8640,1,100
16-10-01,SamsungSmartCam,5818,1,100
16-10-02,BelkinWemoMotion,3009,1,100
16-10-02,BelkinWemoSwitch,2997,1,100
16-10-02,Dropcam,8280,1,100
16-10-02,SamsungSmartCam,5709,1,100
16-10-03,BelkinWemoMotion,3181,1,100
16-10-03,BelkinWemoSwitch,3127,1,100
16-10-03,Dropcam,8640,1,100
16-10-03,SamsungSmartCam,5602,1,100
16-10-04,BelkinWemoMotion,3141,1,100
16-10-04,BelkinWemoSwitch,3046,1,100
16-10-04,Dropcam,8630,1,100
16-10-04,SamsungSmartCam,5806,1,100
16-10-05,BelkinWemoMotion,3301,1,100
16-10-05,BelkinWemoSwitch,3270,1,100
16-10-05,Dropcam,8640,1,100
16-10-05,SamsungSmartCam,6573,1,100
16-10-06,BelkinWemoMotion,3268,1,100
16-10-06,BelkinWemoSwitch,3246,1,100
16-10-06,Dropcam,8640,1,100
16-10-06,SamsungSmartCam,6113,1,100
