round,model,seed,macro_f1
R2,rf,42,0.8904086738949124
R2,xgboost,42,0.8949771689497716
R2,lightgbm,42,0.8812166221628839
R2,rf,43,0.8904086738949124
R2,xgboost,43,0.8949771689497716
R2,lightgbm,43,0.8812166221628839
R2,rf,44,0.8949771689497716
R2,xgboost,44,0.9041015910086119
R2,lightgbm,44,0.8812166221628839
R2,rf,45,0.9041015910086119
R2,xgboost,45,0.8904086738949124
R2,lightgbm,45,0.8812166221628839
R2,rf,46,0.8858352273912047
R2,xgboost,46,0.8995412844036698
R2,lightgbm,46,0.8812166221628839
R3,rf,42,1.0
R3,xgboost,42,1.0
R3,lightgbm,42,1.0
R3,rf,43,1.0
R3,xgboost,43,1.0
R3,lightgbm,43,1.0
R3,rf,44,1.0
R3,xgboost,44,1.0
R3,lightgbm,44,1.0
R3,rf,45,1.0
R3,xgboost,45,1.0
R3,lightgbm,45,1.0
R3,rf,46,1.0
R3,xgboost,46,1.0
R3,lightgbm,46,1.0
R4,rf,42,0.8899950223992036
R4,xgboost,42,0.8567245958550307
R4,lightgbm,42,0.8805703358829398
R4,rf,43,0.8899950223992036
R4,xgboost,43,0.8519014910370246
R4,lightgbm,43,0.8805703358829398
R4,rf,44,0.8899950223992036
R4,xgboost,44,0.8519014910370246
R4,lightgbm,44,0.8805703358829398
R4,rf,45,0.8946855899720294
R4,xgboost,45,0.8519014910370246
R4,lightgbm,45,0.8805703358829398
R4,rf,46,0.8946855899720294
R4,xgboost,46,0.8519014910370246
R4,lightgbm,46,0.8805703358829398
