task,pair,auc_base
loro_to_16-09-23,AmazonEcho|BelkinWemoMotion,0.9485909559902392
loro_to_16-09-23,AmazonEcho|BelkinWemoSwitch,0.9636415840846144
loro_to_16-09-23,AmazonEcho|Dropcam,0.9999401721472903
loro_to_16-09-23,AmazonEcho|HPPrinter,0.941836048144748
loro_to_16-09-23,AmazonEcho|NetatmoWeather,0.9987936351010993
loro_to_16-09-23,AmazonEcho|NetatmoWelcome,0.9163996480945319
loro_to_16-09-23,AmazonEcho|PIX-STAR,0.9179718310459648
loro_to_16-09-23,AmazonEcho|SamsungSmartCam,0.9426974221060973
loro_to_16-09-23,AmazonEcho|SmartThings,0.9825547866205305
loro_to_16-09-23,AmazonEcho|TPLinkCam,0.9892714438716661
loro_to_16-09-23,AmazonEcho|TPLinkPlug,0.9615906802281351
loro_to_16-09-23,AmazonEcho|TribySpeaker,0.9538842497783426
loro_to_16-09-23,AmazonEcho|WithingsBabyMonitor,0.9958679550251474
loro_to_16-09-23,BelkinWemoMotion|BelkinWemoSwitch,0.6799898881121076
loro_to_16-09-23,BelkinWemoMotion|Dropcam,0.9992997198879552
loro_to_16-09-23,BelkinWemoMotion|HPPrinter,0.9410462714497564
loro_to_16-09-23,BelkinWemoMotion|NetatmoWeather,0.9969899724595722
loro_to_16-09-23,BelkinWemoMotion|NetatmoWelcome,0.9629364000502162
loro_to_16-09-23,BelkinWemoMotion|PIX-STAR,0.9634031694869729
loro_to_16-09-23,BelkinWemoMotion|SamsungSmartCam,0.9602701374667514
loro_to_16-09-23,BelkinWemoMotion|SmartThings,0.9982492997198879
loro_to_16-09-23,BelkinWemoMotion|TPLinkCam,0.9730497591193339
loro_to_16-09-23,BelkinWemoMotion|TPLinkPlug,0.9273027892475673
loro_to_16-09-23,BelkinWemoMotion|TribySpeaker,0.9893143531922574
loro_to_16-09-23,BelkinWemoMotion|WithingsBabyMonitor,0.9981340575445864
loro_to_16-09-23,BelkinWemoSwitch|Dropcam,0.9992997198879552
loro_to_16-09-23,BelkinWemoSwitch|HPPrinter,0.9358873451341322
loro_to_16-09-23,BelkinWemoSwitch|NetatmoWeather,0.9958007712889078
loro_to_16-09-23,BelkinWemoSwitch|NetatmoWelcome,0.965636009305683
loro_to_16-09-23,BelkinWemoSwitch|PIX-STAR,0.9702940536945373
loro_to_16-09-23,BelkinWemoSwitch|SamsungSmartCam,0.9604893427959419
loro_to_16-09-23,BelkinWemoSwitch|SmartThings,0.9982188954012978
loro_to_16-09-23,BelkinWemoSwitch|TPLinkCam,0.9756279962965577
loro_to_16-09-23,BelkinWemoSwitch|TPLinkPlug,0.9321998029981223
loro_to_16-09-23,BelkinWemoSwitch|TribySpeaker,0.9890760225658891
loro_to_16-09-23,BelkinWemoSwitch|WithingsBabyMonitor,0.998309617964833
loro_to_16-09-23,Dropcam|HPPrinter,0.9900281190907736
loro_to_16-09-23,Dropcam|NetatmoWeather,1.0
loro_to_16-09-23,Dropcam|NetatmoWelcome,0.9993222779307801
loro_to_16-09-23,Dropcam|PIX-STAR,1.0
loro_to_16-09-23,Dropcam|SamsungSmartCam,0.9999931345087054
loro_to_16-09-23,Dropcam|SmartThings,0.9993585669561942
loro_to_16-09-23,Dropcam|TPLinkCam,1.0
loro_to_16-09-23,Dropcam|TPLinkPlug,1.0
loro_to_16-09-23,Dropcam|TribySpeaker,0.999998528823294
loro_to_16-09-23,Dropcam|WithingsBabyMonitor,1.0
loro_to_16-09-23,HPPrinter|NetatmoWeather,0.9705593021522335
loro_to_16-09-23,HPPrinter|NetatmoWelcome,0.9455282112845138
loro_to_16-09-23,HPPrinter|PIX-STAR,0.9498878699120439
loro_to_16-09-23,HPPrinter|SamsungSmartCam,0.9429791524452917
loro_to_16-09-23,HPPrinter|SmartThings,0.985223501165172
loro_to_16-09-23,HPPrinter|TPLinkCam,0.9675448610816875
loro_to_16-09-23,HPPrinter|TPLinkPlug,0.9570487535673609
loro_to_16-09-23,HPPrinter|TribySpeaker,0.9604675203414698
loro_to_16-09-23,HPPrinter|WithingsBabyMonitor,0.9718171582358432
loro_to_16-09-23,NetatmoWeather|NetatmoWelcome,0.9977966676866826
loro_to_16-09-23,NetatmoWeather|PIX-STAR,0.9991313115809489
loro_to_16-09-23,NetatmoWeather|SamsungSmartCam,0.9825013338668802
loro_to_16-09-23,NetatmoWeather|SmartThings,0.9998396417390485
loro_to_16-09-23,NetatmoWeather|TPLinkCam,0.9988789633500459
loro_to_16-09-23,NetatmoWeather|TPLinkPlug,0.9957906239418844
loro_to_16-09-23,NetatmoWeather|TribySpeaker,0.9975161633280764
loro_to_16-09-23,NetatmoWeather|WithingsBabyMonitor,0.9999632205823505
loro_to_16-09-23,NetatmoWelcome|PIX-STAR,0.9074910786232301
loro_to_16-09-23,NetatmoWelcome|SamsungSmartCam,0.9742291524452918
loro_to_16-09-23,NetatmoWelcome|SmartThings,0.9650134563629373
loro_to_16-09-23,NetatmoWelcome|TPLinkCam,0.9457555080855872
loro_to_16-09-23,NetatmoWelcome|TPLinkPlug,0.9392487764336505
loro_to_16-09-23,NetatmoWelcome|TribySpeaker,0.8049641425197531
