task,pair,family,auc_base,auc_drop_f,d_auc
loro_to_16-09-23,AmazonEcho|BelkinWemoMotion,len,0.9485909559902392,0.7923588553068287,-0.15623210068341054
loro_to_16-09-23,AmazonEcho|BelkinWemoMotion,interarrival,0.9485909559902392,0.9510909756059287,0.002500019615689464
loro_to_16-09-23,AmazonEcho|BelkinWemoMotion,subwin,0.9485909559902392,0.9306327923326194,-0.01795816365761982
loro_to_16-09-23,AmazonEcho|BelkinWemoMotion,burst,0.9485909559902392,0.9283774784423574,-0.02021347754788183
loro_to_16-09-23,AmazonEcho|BelkinWemoMotion,up,0.9485909559902392,0.8904368119796938,-0.05815414401054542
loro_to_16-09-23,AmazonEcho|BelkinWemoMotion,down,0.9485909559902392,0.898423339924205,-0.05016761606603426
loro_to_16-09-23,AmazonEcho|BelkinWemoMotion,singletons,0.9485909559902392,0.9394500447237718,-0.009140911266467433
loro_to_16-09-23,AmazonEcho|BelkinWemoSwitch,len,0.9636415840846144,0.8124776871532926,-0.15116389693132182
loro_to_16-09-23,AmazonEcho|BelkinWemoSwitch,interarrival,0.9636415840846144,0.9559860708989478,-0.007655513185666596
loro_to_16-09-23,AmazonEcho|BelkinWemoSwitch,subwin,0.9636415840846144,0.9521546363643497,-0.011486947720264706
loro_to_16-09-23,AmazonEcho|BelkinWemoSwitch,burst,0.9636415840846144,0.93873162009902,-0.02490996398559442
loro_to_16-09-23,AmazonEcho|BelkinWemoSwitch,up,0.9636415840846144,0.955461841599385,-0.008179742485229458
loro_to_16-09-23,AmazonEcho|BelkinWemoSwitch,down,0.9636415840846144,0.8781431690323188,-0.0854984150522956
loro_to_16-09-23,AmazonEcho|BelkinWemoSwitch,singletons,0.9636415840846144,0.9548959289598191,-0.008745655124795304
loro_to_16-09-23,AmazonEcho|Dropcam,len,0.9999401721472903,0.9999720476425864,3.187549529615197e-05
loro_to_16-09-23,AmazonEcho|Dropcam,interarrival,0.9999401721472903,0.9999597878367033,1.9615689412999515e-05
loro_to_16-09-23,AmazonEcho|Dropcam,subwin,0.9999401721472903,0.9999504703842321,1.0298236941874706e-05
loro_to_16-09-23,AmazonEcho|Dropcam,burst,0.9999401721472903,0.9994424240284349,-0.00049774811885539
loro_to_16-09-23,AmazonEcho|Dropcam,up,0.9999401721472903,0.9999980384310587,5.7866283768470694e-05
loro_to_16-09-23,AmazonEcho|Dropcam,down,0.9999401721472903,0.9999377201861137,-2.4519611765416727e-06
loro_to_16-09-23,AmazonEcho|Dropcam,singletons,0.9999401721472903,0.9999112390054061,-2.8933141884124325e-05
loro_to_16-09-23,AmazonEcho|HPPrinter,len,0.941836048144748,0.8238140844573123,-0.11802196368743567
loro_to_16-09-23,AmazonEcho|HPPrinter,interarrival,0.941836048144748,0.9440065241782988,0.0021704760335508055
loro_to_16-09-23,AmazonEcho|HPPrinter,subwin,0.941836048144748,0.9409587364357508,-0.000877311708997186
loro_to_16-09-23,AmazonEcho|HPPrinter,burst,0.941836048144748,0.9393161676435281,-0.0025198805012198733
loro_to_16-09-23,AmazonEcho|HPPrinter,up,0.941836048144748,0.9319960827468242,-0.009839965397923756
loro_to_16-09-23,AmazonEcho|HPPrinter,down,0.941836048144748,0.9414275514127218,-0.00040849673202614234
loro_to_16-09-23,AmazonEcho|HPPrinter,singletons,0.941836048144748,0.9390810245666894,-0.0027550235780585686
loro_to_16-09-23,AmazonEcho|NetatmoWeather,len,0.9987936351010993,0.9972111393577039,-0.0015824957433954179
loro_to_16-09-23,AmazonEcho|NetatmoWeather,interarrival,0.9987936351010993,0.998308146788127,-0.0004854883129723486
loro_to_16-09-23,AmazonEcho|NetatmoWeather,subwin,0.9987936351010993,0.9989790033660524,0.00018536826495307857
loro_to_16-09-23,AmazonEcho|NetatmoWeather,burst,0.9987936351010993,0.9981899622594136,-0.0006036728416857207
loro_to_16-09-23,AmazonEcho|NetatmoWeather,up,0.9987936351010993,0.9966182551451953,-0.002175379955904
loro_to_16-09-23,AmazonEcho|NetatmoWeather,down,0.9987936351010993,0.9988392415789845,4.560647788520722e-05
loro_to_16-09-23,AmazonEcho|NetatmoWeather,singletons,0.9987936351010993,0.9988166835361595,2.304843506018006e-05
loro_to_16-09-23,AmazonEcho|NetatmoWelcome,len,0.9163996480945319,0.8799252544154919,-0.03647439367904004
loro_to_16-09-23,AmazonEcho|NetatmoWelcome,interarrival,0.9163996480945319,0.9076535025775015,-0.008746145517030346
loro_to_16-09-23,AmazonEcho|NetatmoWelcome,subwin,0.9163996480945319,0.9077643312226853,-0.008635316871846599
loro_to_16-09-23,AmazonEcho|NetatmoWelcome,burst,0.9163996480945319,0.9140408614426162,-0.0023587866519156897
loro_to_16-09-23,AmazonEcho|NetatmoWelcome,up,0.9163996480945319,0.9129850469599604,-0.003414601134571482
loro_to_16-09-23,AmazonEcho|NetatmoWelcome,down,0.9163996480945319,0.9079786326295225,-0.008421015465009396
loro_to_16-09-23,AmazonEcho|NetatmoWelcome,singletons,0.9163996480945319,0.9155914816907155,-0.0008081664038164238
loro_to_16-09-23,AmazonEcho|PIX-STAR,len,0.9179718310459648,0.8665262908816495,-0.05144554016431535
loro_to_16-09-23,AmazonEcho|PIX-STAR,interarrival,0.9179718310459648,0.9151760399745896,-0.0027957910713751755
loro_to_16-09-23,AmazonEcho|PIX-STAR,subwin,0.9179718310459648,0.9193787865222194,0.0014069554762545788
loro_to_16-09-23,AmazonEcho|PIX-STAR,burst,0.9179718310459648,0.9188991426098598,0.000927311563895028
loro_to_16-09-23,AmazonEcho|PIX-STAR,up,0.9179718310459648,0.9027799095284993,-0.015191921517465512
loro_to_16-09-23,AmazonEcho|PIX-STAR,down,0.9179718310459648,0.9253487544180534,0.007376923372088617
loro_to_16-09-23,AmazonEcho|PIX-STAR,singletons,0.9179718310459648,0.8868162942498156,-0.03115553679614924
loro_to_16-09-23,AmazonEcho|SamsungSmartCam,len,0.9426974221060973,0.9494555175011181,0.006758095395020813
loro_to_16-09-23,AmazonEcho|SamsungSmartCam,interarrival,0.9426974221060973,0.9394166980517697,-0.003280724054327555
loro_to_16-09-23,AmazonEcho|SamsungSmartCam,subwin,0.9426974221060973,0.9423423781277216,-0.0003550439783757131
loro_to_16-09-23,AmazonEcho|SamsungSmartCam,burst,0.9426974221060973,0.9372579914318668,-0.005439430674230472
loro_to_16-09-23,AmazonEcho|SamsungSmartCam,up,0.9426974221060973,0.9356156678357619,-0.007081754270335416
loro_to_16-09-23,AmazonEcho|SamsungSmartCam,down,0.9426974221060973,0.9403759052640664,-0.0023215168420308574
loro_to_16-09-23,AmazonEcho|SamsungSmartCam,singletons,0.9426974221060973,0.9404401466468941,-0.0022572754592031785
loro_to_16-09-23,AmazonEcho|SmartThings,len,0.9825547866205305,0.9680460419461903,-0.014508744674340268
loro_to_16-09-23,AmazonEcho|SmartThings,interarrival,0.9825547866205305,0.9785276855840375,-0.004027101036493064
loro_to_16-09-23,AmazonEcho|SmartThings,subwin,0.9825547866205305,0.9813346907390408,-0.0012200958814897467
loro_to_16-09-23,AmazonEcho|SmartThings,burst,0.9825547866205305,0.9650894671594128,-0.017465319461117734
loro_to_16-09-23,AmazonEcho|SmartThings,up,0.9825547866205305,0.9754553782297233,-0.007099408390807249
loro_to_16-09-23,AmazonEcho|SmartThings,down,0.9825547866205305,0.9817431874710669,-0.0008115991494636043
loro_to_16-09-23,AmazonEcho|SmartThings,singletons,0.9825547866205305,0.9797369928363502,-0.0028177937841803447
loro_to_16-09-23,AmazonEcho|TPLinkCam,len,0.9892714438716661,0.9840982961812175,-0.005173147690448632
loro_to_16-09-23,AmazonEcho|TPLinkCam,interarrival,0.9892714438716661,0.9896166800053355,0.0003452361336694354
loro_to_16-09-23,AmazonEcho|TPLinkCam,subwin,0.9892714438716661,0.9893817821246146,0.0001103382529484831
loro_to_16-09-23,AmazonEcho|TPLinkCam,burst,0.9892714438716661,0.9889978050043546,-0.00027363886731146536
loro_to_16-09-23,AmazonEcho|TPLinkCam,up,0.9892714438716661,0.985414018548596,-0.003857425323070096
loro_to_16-09-23,AmazonEcho|TPLinkCam,down,0.9892714438716661,0.9892037697431915,-6.767412847463739e-05
loro_to_16-09-23,AmazonEcho|TPLinkCam,singletons,0.9892714438716661,0.9898344141578199,0.0005629702861538188
loro_to_16-09-23,AmazonEcho|TPLinkPlug,len,0.9615906802281351,0.9586818243781029,-0.0029088558500321993
loro_to_16-09-23,AmazonEcho|TPLinkPlug,interarrival,0.9615906802281351,0.9438846967358372,-0.017705983492297905
loro_to_16-09-23,AmazonEcho|TPLinkPlug,subwin,0.9615906802281351,0.9634969372364329,0.0019062570082978292
loro_to_16-09-23,AmazonEcho|TPLinkPlug,burst,0.9615906802281351,0.9532796635137571,-0.00831101671437795
loro_to_16-09-23,AmazonEcho|TPLinkPlug,up,0.9615906802281351,0.9582464854073499,-0.0033441948207851846
