pair,family,d_auc
AmazonEcho|Dropcam,len,0.17575118282607172
AmazonEcho|TPLinkCam,up,0.13398790888904533
AmazonEcho|PIX-STAR,subwin,0.12231841746910332
AmazonEcho|PIX-STAR,interarrival,0.10739660827787567
TPLinkCam|TribySpeaker,interarrival,0.07923953895283653
SamsungSmartCam|TPLinkPlug,singletons,0.06233952836949774
TPLinkPlug|TribySpeaker,burst,0.060731473155985816
TPLinkCam|TribySpeaker,burst,0.05657164826715033
NetatmoWelcome|TPLinkPlug,subwin,0.03428532214679736
AmazonEcho|TPLinkCam,singletons,0.034104328005711615
NetatmoWelcome|TPLinkCam,up,0.02796633359226053
BelkinWemoMotion|BelkinWemoSwitch,up,0.020842650785804384
NetatmoWelcome|PIX-STAR,interarrival,0.02027147088908976
AmazonEcho|TPLinkCam,interarrival,0.019293011322175868
NetatmoWelcome|SmartThings,down,0.015958589318080585
HPPrinter|TPLinkCam,len,0.015369383047336593
NetatmoWelcome|SamsungSmartCam,singletons,0.0151241869296741
BelkinWemoSwitch|HPPrinter,burst,0.012945129032005065
HPPrinter|TPLinkPlug,interarrival,0.01156289130316046
BelkinWemoSwitch|HPPrinter,singletons,0.010778576136336926
NetatmoWelcome|SamsungSmartCam,up,0.010597376205384257
HPPrinter|TribySpeaker,len,0.00878782885703333
BelkinWemoMotion|Dropcam,len,0.0076260896515467635
BelkinWemoMotion|Dropcam,up,0.007510847476245197
HPPrinter|TribySpeaker,burst,0.007095240056807506
PIX-STAR|SmartThings,down,0.00695027242463786
Dropcam|HPPrinter,len,0.0068125289331422145
SamsungSmartCam|TPLinkPlug,subwin,0.006783897979247611
NetatmoWelcome|WithingsBabyMonitor,subwin,0.0064486578945306405
AmazonEcho|HPPrinter,burst,0.006286338064637742
