day,device,label,n_windows
16-09-23,AmazonEcho,AmazonEcho,6120
16-09-23,BelkinWemoMotion,BelkinWemoMotion,3178
16-09-23,BelkinWemoSwitch,BelkinWemoSwitch,3115
16-09-23,Blipcare,Blipcare,1
16-09-23,Dropcam,Dropcam,8640
16-09-23,HPPrinter,HPPrinter,2383
16-09-23,NestProtect,NestProtect,4
16-09-23,NetatmoWeather,NetatmoWeather,1728
16-09-23,NetatmoWelcome,NetatmoWelcome,6275
16-09-23,PIX-STAR,PIX-STAR,657
16-09-23,SamsungSmartCam,SamsungSmartCam,6146
16-09-23,SmartThings,SmartThings,8458
16-09-23,TPLinkCam,TPLinkCam,2256
16-09-23,TPLinkPlug,TPLinkPlug,637
16-09-23,TribySpeaker,TribySpeaker,2239
16-09-23,WithingsBabyMonitor,WithingsBabyMonitor,8636
16-09-23,WithingsScale,WithingsScale,9
16-09-24,AmazonEcho,AmazonEcho,6264
16-09-24,BelkinWemoMotion,BelkinWemoMotion,3161
16-09-24,BelkinWemoSwitch,BelkinWemoSwitch,3157
16-09-24,Dropcam,Dropcam,8595
16-09-24,HPPrinter,HPPrinter,2317
16-09-24,NestProtect,NestProtect,5
16-09-24,NetatmoWeather,NetatmoWeather,1711
16-09-24,NetatmoWelcome,NetatmoWelcome,6258
16-09-24,PIX-STAR,PIX-STAR,623
16-09-24,SamsungSmartCam,SamsungSmartCam,6135
16-09-24,SmartThings,SmartThings,8456
16-09-24,TPLinkCam,TPLinkCam,2306
16-09-24,TPLinkPlug,TPLinkPlug,671
16-09-24,TribySpeaker,TribySpeaker,2311
16-09-24,WithingsBabyMonitor,WithingsBabyMonitor,8577
16-09-24,WithingsScale,WithingsScale,4
16-09-25,AmazonEcho,AmazonEcho,5150
16-09-25,BelkinWemoMotion,BelkinWemoMotion,3214
16-09-25,BelkinWemoSwitch,BelkinWemoSwitch,3175
16-09-25,Dropcam,Dropcam,8640
16-09-25,HPPrinter,HPPrinter,2314
16-09-25,NestProtect,NestProtect,4
16-09-25,NetatmoWeather,NetatmoWeather,1653
16-09-25,NetatmoWelcome,NetatmoWelcome,6285
16-09-25,PIX-STAR,PIX-STAR,631
16-09-25,SamsungSmartCam,SamsungSmartCam,5984
16-09-25,SmartThings,SmartThings,8444
16-09-25,TPLinkCam,TPLinkCam,2263
16-09-25,TPLinkPlug,TPLinkPlug,638
16-09-25,TribySpeaker,TribySpeaker,2595
16-09-25,WithingsBabyMonitor,WithingsBabyMonitor,8631
16-09-25,WithingsScale,WithingsScale,8
16-09-26,AmazonEcho,AmazonEcho,5192
16-09-26,BelkinWemoMotion,BelkinWemoMotion,3129
16-09-26,BelkinWemoSwitch,BelkinWemoSwitch,2997
16-09-26,Dropcam,Dropcam,8638
16-09-26,HPPrinter,HPPrinter,2317
16-09-26,NestProtect,NestProtect,5
16-09-26,NetatmoWeather,NetatmoWeather,1654
16-09-26,NetatmoWelcome,NetatmoWelcome,6081
16-09-26,PIX-STAR,PIX-STAR,614
16-09-26,SamsungSmartCam,SamsungSmartCam,6095
16-09-26,SmartThings,SmartThings,8468
16-09-26,TPLinkCam,TPLinkCam,2271
16-09-26,TPLinkPlug,TPLinkPlug,653
16-09-26,TribySpeaker,TribySpeaker,2164
16-09-26,WithingsBabyMonitor,WithingsBabyMonitor,8630
16-09-26,WithingsScale,WithingsScale,8
16-09-27,AmazonEcho,AmazonEcho,5344
16-09-27,BelkinWemoMotion,BelkinWemoMotion,3104
16-09-27,BelkinWemoSwitch,BelkinWemoSwitch,2721
16-09-27,Dropcam,Dropcam,8640
16-09-27,HPPrinter,HPPrinter,2345
16-09-27,NestProtect,NestProtect,3
16-09-27,NetatmoWeather,NetatmoWeather,1714
16-09-27,NetatmoWelcome,NetatmoWelcome,6118
16-09-27,PIX-STAR,PIX-STAR,557
16-09-27,SamsungSmartCam,SamsungSmartCam,5953
16-09-27,SmartThings,SmartThings,8464
16-09-27,TPLinkCam,TPLinkCam,2231
16-09-27,TPLinkPlug,TPLinkPlug,637
16-09-27,TribySpeaker,TribySpeaker,2315
16-09-27,WithingsBabyMonitor,WithingsBabyMonitor,8634
16-09-27,WithingsScale,WithingsScale,8
16-09-28,AmazonEcho,AmazonEcho,5247
16-09-28,BelkinWemoMotion,BelkinWemoMotion,3305
16-09-28,BelkinWemoSwitch,BelkinWemoSwitch,2877
