day,rows,bytes,md5,rc_log_tail
16-10-12,37155,26744808,df1926f7514ec4ab2af7466f3b3aef81,ok
16-10-04,72338,52715654,595c7dd3fa769536f80a78ec819b1360,ok
16-09-28,70002,50843886,d46386524b068da96cbe1b0bf4f6c5db,ok
16-10-11,62629,45440211,f35e66e0a4cecdb3830b7e646ea2dc2f,ok
16-10-07,67714,49033410,52b153c77442d70aeb8424676355cc89,ok
16-10-05,74313,54409541,c4c0a7f34d113f4fe2eb43e1223c01f2,ok
16-09-23,60482,43932238,05cdb87d1d23939a60ab1fd510ae43c7,ok
16-09-24,60551,43984229,25205dad0cdb937bc465fdada3233a9d,ok
16-09-30,78122,56293434,7e0e7e01ea0e30f39e70401399bebdc6,ok
16-10-06,68491,49868902,02ea6cc2acd39c0d06104861d44199d4,ok
16-09-29,78105,56645683,4065d080a402981bfa9694223605db2b,ok
16-10-01,77688,56427035,3760dd3d05a4476842980d25de899c59,ok
16-10-03,75886,55059985,b317fbbc53b757d29dcb8faaba5fff51,ok
16-10-08,60464,43556092,fab6a185fc472540b0d3c255e3e5a149,ok
16-09-26,58916,42827644,75f09e3e933fe9ada11629287dc33636,ok
16-10-09,60831,43529871,410aa9c8bfd84dbd133dbd655b216a76,ok
16-10-10,62220,44440296,050ac86a9ee083eaa627c6db72e73807,ok
16-10-02,73563,53146612,4fd147d86973a4a4602eec5c3ecffd15,ok
16-09-25,59629,43037959,292cb873bb0730335270ab1b18272ff3,ok
16-09-27,58788,42494864,8bc243e78b300126040fe03c982e1f50,ok
