task,model,device,grp,n_win,p,mode_pred,mode_share,plur_ok,vote30,shuf30,n_blocks
16-09-23+16-09-30_to_16-10-12,rf,AmazonEcho,easy,2000,0.9405,AmazonEcho,0.9405,1,1.0,1.0,67
16-09-23+16-09-30_to_16-10-12,rf,BelkinWemoMotion,hard,1957,0.5309146653040367,BelkinWemoMotion,0.5309146653040367,1,0.8923076923076924,0.8723076923076925,65
16-09-23+16-09-30_to_16-10-12,rf,BelkinWemoSwitch,hard,1981,0.5532559313478042,BelkinWemoSwitch,0.5532559313478042,1,0.9242424242424242,0.8992424242424244,66
16-09-23+16-09-30_to_16-10-12,rf,Dropcam,easy,2000,1.0,Dropcam,1.0,1,1.0,1.0,67
16-09-23+16-09-30_to_16-10-12,rf,HPPrinter,easy,1616,0.9226485148514851,HPPrinter,0.9226485148514851,1,1.0,1.0,54
16-09-23+16-09-30_to_16-10-12,rf,NetatmoWeather,easy,1232,0.987012987012987,NetatmoWeather,0.987012987012987,1,1.0,1.0,41
16-09-23+16-09-30_to_16-10-12,rf,NetatmoWelcome,easy,2000,0.906,NetatmoWelcome,0.906,1,1.0,1.0,67
16-09-23+16-09-30_to_16-10-12,rf,SamsungSmartCam,easy,2000,0.919,SamsungSmartCam,0.919,1,1.0,1.0,67
16-09-23+16-09-30_to_16-10-12,rf,SmartThings,easy,2000,1.0,SmartThings,1.0,1,1.0,1.0,67
16-09-23+16-09-30_to_16-10-12,rf,TribySpeaker,easy,1269,0.9976359338061466,TribySpeaker,0.9976359338061466,1,1.0,1.0,42
16-09-23+16-09-30_to_16-10-12,stacking,AmazonEcho,easy,2000,0.9455,AmazonEcho,0.9455,1,1.0,1.0,67
16-09-23+16-09-30_to_16-10-12,stacking,BelkinWemoMotion,hard,1957,0.4987225344915687,BelkinWemoMotion,0.4987225344915687,1,0.7538461538461538,0.7523076923076921,65
16-09-23+16-09-30_to_16-10-12,stacking,BelkinWemoSwitch,hard,1981,0.618879353861686,BelkinWemoSwitch,0.618879353861686,1,0.9545454545454546,0.9795454545454545,66
16-09-23+16-09-30_to_16-10-12,stacking,Dropcam,easy,2000,1.0,Dropcam,1.0,1,1.0,1.0,67
16-09-23+16-09-30_to_16-10-12,stacking,HPPrinter,easy,1616,0.9405940594059405,HPPrinter,0.9405940594059405,1,1.0,1.0,54
16-09-23+16-09-30_to_16-10-12,stacking,NetatmoWeather,easy,1232,0.9886363636363636,NetatmoWeather,0.9886363636363636,1,1.0,1.0,41
16-09-23+16-09-30_to_16-10-12,stacking,NetatmoWelcome,easy,2000,0.9075,NetatmoWelcome,0.9075,1,1.0,1.0,67
16-09-23+16-09-30_to_16-10-12,stacking,SamsungSmartCam,easy,2000,0.924,SamsungSmartCam,0.924,1,1.0,1.0,67
16-09-23+16-09-30_to_16-10-12,stacking,SmartThings,easy,2000,0.9995,SmartThings,0.9995,1,1.0,1.0,67
16-09-23+16-09-30_to_16-10-12,stacking,TribySpeaker,easy,1269,0.9992119779353822,TribySpeaker,0.9992119779353822,1,1.0,1.0,42
16-09-23+16-10-12_to_16-09-30,rf,AmazonEcho,easy,2000,0.9625,AmazonEcho,0.9625,1,1.0,1.0,67
16-09-23+16-10-12_to_16-09-30,rf,BelkinWemoMotion,hard,2000,0.5315,BelkinWemoMotion,0.5315,1,0.6417910447761194,0.7694029850746269,67
16-09-23+16-10-12_to_16-09-30,rf,BelkinWemoSwitch,hard,2000,0.4625,BelkinWemoMotion,0.464,0,0.43283582089552236,0.4910447761194029,67
16-09-23+16-10-12_to_16-09-30,rf,Dropcam,easy,2000,1.0,Dropcam,1.0,1,1.0,1.0,67
16-09-23+16-10-12_to_16-09-30,rf,HPPrinter,easy,2000,0.9055,HPPrinter,0.9055,1,1.0,1.0,67
16-09-23+16-10-12_to_16-09-30,rf,NetatmoWeather,easy,1666,0.9945978391356542,NetatmoWeather,0.9945978391356542,1,1.0,1.0,56
16-09-23+16-10-12_to_16-09-30,rf,NetatmoWelcome,easy,2000,0.901,NetatmoWelcome,0.901,1,1.0,1.0,67
16-09-23+16-10-12_to_16-09-30,rf,SamsungSmartCam,easy,2000,0.93,SamsungSmartCam,0.93,1,1.0,1.0,67
16-09-23+16-10-12_to_16-09-30,rf,SmartThings,easy,2000,0.999,SmartThings,0.999,1,1.0,1.0,67
16-09-23+16-10-12_to_16-09-30,rf,TribySpeaker,easy,2000,0.958,TribySpeaker,0.958,1,1.0,1.0,67
16-09-23+16-10-12_to_16-09-30,stacking,AmazonEcho,easy,2000,0.9705,AmazonEcho,0.9705,1,1.0,1.0,67
16-09-23+16-10-12_to_16-09-30,stacking,BelkinWemoMotion,hard,2000,0.484,BelkinWemoMotion,0.484,1,0.4925373134328358,0.5492537313432836,67
16-09-23+16-10-12_to_16-09-30,stacking,BelkinWemoSwitch,hard,2000,0.5295,BelkinWemoSwitch,0.5295,1,0.6716417910447762,0.7373134328358208,67
16-09-23+16-10-12_to_16-09-30,stacking,Dropcam,easy,2000,0.9995,Dropcam,0.9995,1,1.0,1.0,67
16-09-23+16-10-12_to_16-09-30,stacking,HPPrinter,easy,2000,0.9035,HPPrinter,0.9035,1,1.0,1.0,67
16-09-23+16-10-12_to_16-09-30,stacking,NetatmoWeather,easy,1666,0.9957983193277311,NetatmoWeather,0.9957983193277311,1,1.0,1.0,56
16-09-23+16-10-12_to_16-09-30,stacking,NetatmoWelcome,easy,2000,0.9015,NetatmoWelcome,0.9015,1,1.0,1.0,67
16-09-23+16-10-12_to_16-09-30,stacking,SamsungSmartCam,easy,2000,0.9385,SamsungSmartCam,0.9385,1,1.0,1.0,67
16-09-23+16-10-12_to_16-09-30,stacking,SmartThings,easy,2000,0.9995,SmartThings,0.9995,1,1.0,1.0,67
16-09-23+16-10-12_to_16-09-30,stacking,TribySpeaker,easy,2000,0.9655,TribySpeaker,0.9655,1,1.0,1.0,67
16-09-30+16-10-12_to_16-09-23,rf,AmazonEcho,easy,2000,0.966,AmazonEcho,0.966,1,1.0,1.0,67
16-09-30+16-10-12_to_16-09-23,rf,BelkinWemoMotion,hard,2000,0.587,BelkinWemoMotion,0.587,1,0.8656716417910447,0.9126865671641792,67
16-09-30+16-10-12_to_16-09-23,rf,BelkinWemoSwitch,hard,2000,0.377,BelkinWemoMotion,0.5415,0,0.14925373134328357,0.17537313432835822,67
16-09-30+16-10-12_to_16-09-23,rf,Dropcam,easy,2000,1.0,Dropcam,1.0,1,1.0,1.0,67
16-09-30+16-10-12_to_16-09-23,rf,HPPrinter,easy,2000,0.8655,HPPrinter,0.8655,1,0.9850746268656716,1.0,67
16-09-30+16-10-12_to_16-09-23,rf,NetatmoWeather,easy,1728,0.9994212962962963,NetatmoWeather,0.9994212962962963,1,1.0,1.0,58
16-09-30+16-10-12_to_16-09-23,rf,NetatmoWelcome,easy,2000,0.913,NetatmoWelcome,0.913,1,1.0,1.0,67
16-09-30+16-10-12_to_16-09-23,rf,SamsungSmartCam,easy,2000,0.915,SamsungSmartCam,0.915,1,1.0,1.0,67
16-09-30+16-10-12_to_16-09-23,rf,SmartThings,easy,2000,0.999,SmartThings,0.999,1,1.0,1.0,67
16-09-30+16-10-12_to_16-09-23,rf,TribySpeaker,easy,2000,0.9335,TribySpeaker,0.9335,1,1.0,1.0,67
16-09-30+16-10-12_to_16-09-23,stacking,AmazonEcho,easy,2000,0.973,AmazonEcho,0.973,1,1.0,1.0,67
16-09-30+16-10-12_to_16-09-23,stacking,BelkinWemoMotion,hard,2000,0.6025,BelkinWemoMotion,0.6025,1,0.8656716417910447,0.9261194029850746,67
16-09-30+16-10-12_to_16-09-23,stacking,BelkinWemoSwitch,hard,2000,0.3515,BelkinWemoMotion,0.5735,0,0.08955223880597014,0.09999999999999999,67
16-09-30+16-10-12_to_16-09-23,stacking,Dropcam,easy,2000,1.0,Dropcam,1.0,1,1.0,1.0,67
16-09-30+16-10-12_to_16-09-23,stacking,HPPrinter,easy,2000,0.877,HPPrinter,0.877,1,1.0,1.0,67
16-09-30+16-10-12_to_16-09-23,stacking,NetatmoWeather,easy,1728,0.9994212962962963,NetatmoWeather,0.9994212962962963,1,1.0,1.0,58
16-09-30+16-10-12_to_16-09-23,stacking,NetatmoWelcome,easy,2000,0.9195,NetatmoWelcome,0.9195,1,1.0,1.0,67
16-09-30+16-10-12_to_16-09-23,stacking,SamsungSmartCam,easy,2000,0.9235,SamsungSmartCam,0.9235,1,1.0,1.0,67
16-09-30+16-10-12_to_16-09-23,stacking,SmartThings,easy,2000,0.999,SmartThings,0.999,1,1.0,1.0,67
16-09-30+16-10-12_to_16-09-23,stacking,TribySpeaker,easy,2000,0.934,TribySpeaker,0.934,1,1.0,1.0,67
