task,model,N,macro_f1,hard_mean,easy_mean,n_blocks
16-09-23+16-09-30_to_16-10-12,rf,1,0.8716989270405785,0.559981073608179,0.9496283903986782,18055
16-09-23+16-09-30_to_16-10-12,rf,6,0.9426715899907727,0.7251546831662044,0.9970508166969148,3007
16-09-23+16-09-30_to_16-10-12,rf,30,0.981669776119403,0.9083488805970149,1.0,603
16-09-23+16-09-30_to_16-10-12,stacking,1,0.8779043543462896,0.572685366642794,0.9542091012721633,18055
16-09-23+16-09-30_to_16-10-12,stacking,6,0.9398588978323552,0.710955459770115,0.9970847573479152,3007
16-09-23+16-09-30_to_16-10-12,stacking,30,0.9706572354848216,0.8532861774241085,1.0,603
16-09-23+16-10-12_to_16-09-30,rf,1,0.8648182102431405,0.49289146621882773,0.9577998962492189,19666
16-09-23+16-10-12_to_16-09-30,rf,6,0.9072884420884924,0.5409377441095791,0.9988761165832207,3275
16-09-23+16-10-12_to_16-09-30,rf,30,0.9064414414414415,0.5322072072072072,1.0,659
16-09-23+16-10-12_to_16-09-30,stacking,1,0.8700858199142523,0.4979396820145847,0.9631223543891693,19666
16-09-23+16-10-12_to_16-09-30,stacking,6,0.9095049904846046,0.5497783370089251,0.9994366538535244,3275
16-09-23+16-10-12_to_16-09-30,stacking,30,0.9157421962721759,0.5787109813608804,1.0,659
16-09-30+16-10-12_to_16-09-23,rf,1,0.8544408352325282,0.47500988926907844,0.9492985717233907,19728
16-09-30+16-10-12_to_16-09-23,rf,6,0.8971568484639849,0.5016847587227025,0.9960248708993057,3285
16-09-30+16-10-12_to_16-09-23,rf,30,0.8854994572497631,0.4349603884487605,0.998134224450014,661
16-09-30+16-10-12_to_16-09-23,stacking,1,0.8568743735862044,0.46535071488814606,0.9547552882607192,19728
16-09-30+16-10-12_to_16-09-23,stacking,6,0.8907867789619791,0.4705762544538774,0.9958394100890047,3285
16-09-30+16-10-12_to_16-09-23,stacking,30,0.8769997377393128,0.3849986886965644,1.0,661
