device,mac,csv_packets,csv_unique_seconds,csv_10s_windows,pcap_windows,pcap_packets,window_diff,both_active
Dropcam,30:8c:fb:2f:e4:b2,217311,79405,8641,8640,222575,-1,True
WithingsBabyMonitor,00:24:e4:11:18:a8,38603,18656,8640,8631,47184,-9,True
SmartThings,d0:52:a8:00:67:5e,24265,11633,8641,8461,29184,-180,True
WithingsAura,00:24:e4:20:28:c6,29432,11374,8639,8134,33557,-505,True
NetatmoWelcome,70:ee:50:18:34:43,22065,6295,4768,6281,33702,1513,True
SamsungSmartCam,00:16:6c:ab:6b:88,50984,7921,5332,6031,56570,699,True
AmazonEcho,44:65:0d:56:cc:d3,38927,13123,7128,5303,53996,-1825,True
InsteonCam_wired,00:62:6e:51:27:2e,41721,10249,3738,4378,48386,640,True
LiFXBulb,d0:73:d5:01:83:08,9335,3566,2237,3262,12352,1025,True
BelkinWemoMotion,ec:1a:59:83:28:11,70414,1890,1087,3224,83374,2137,True
BelkinWemoSwitch,ec:1a:59:79:f4:89,50293,1335,953,3101,62940,2148,True
iHome,74:c6:3b:29:d7:1d,5382,2324,1698,2881,8262,1183,True
HPPrinter,70:5a:0f:e4:9b:c0,2543,1435,1015,2360,8448,1345,True
TPLinkCam,f4:f2:6d:93:51:f1,113724,2632,1650,2347,117633,697,True
TribySpeaker,18:b7:9e:02:20:44,7063,4393,2293,2288,10585,-5,True
NetatmoWeather,70:ee:50:03:b8:ac,7074,3693,1346,1666,13998,320,True
TPLinkPlug,50:c7:bf:00:56:39,1765,659,478,642,2605,164,True
PIX-STAR,e0:76:d0:33:bb:85,2057,643,382,482,2988,100,True
NestProtect,18:b4:30:25:be:e4,234,38,7,6,274,-1,True
WithingsScale,00:24:e4:1b:6f:96,149,27,4,4,161,0,True
Blipcare,74:6a:89:00:2e:25,0,0,0,0,0,0,False
InsteonCam_wifi,e8:ab:fa:19:de:4f,0,0,0,0,0,0,False
NestDropcam,30:8c:fb:b6:ea:45,0,0,0,0,0,0,False
