train_day,test_day,n_classes,min_windows_threshold,n_train_rows_before_balance,n_test_rows_before_balance,n_train_rows,n_test_rows,macro_f1,weighted_f1,accuracy,fit_predict_seconds,confusion_matrix_csv,per_class_csv
16-09-23,16-09-30,14,100,60468,59457,18430,18260,0.816442,0.82286,0.826561,1.7,cm_16-09-23__to__16-09-30.csv,per_class_16-09-23__to__16-09-30.csv
16-09-23,16-10-11,10,100,48282,49455,19728,19882,0.847808,0.847177,0.85077,3.5,cm_16-09-23__to__16-10-11.csv,per_class_16-09-23__to__16-10-11.csv
16-09-23,16-10-12,10,100,48282,29680,19728,18055,0.845506,0.841205,0.846081,3.5,cm_16-09-23__to__16-10-12.csv,per_class_16-09-23__to__16-10-12.csv
16-09-30,16-09-23,14,100,59457,60468,18260,18430,0.841781,0.848153,0.851275,1.6,cm_16-09-30__to__16-09-23.csv,per_class_16-09-30__to__16-09-23.csv
16-09-30,16-10-11,13,100,63129,62616,19994,19994,0.862275,0.862275,0.862959,2.0,cm_16-09-30__to__16-10-11.csv,per_class_16-09-30__to__16-10-11.csv
16-09-30,16-10-12,13,100,63129,37151,19994,19016,0.867383,0.863608,0.865639,3.1,cm_16-09-30__to__16-10-12.csv,per_class_16-09-30__to__16-10-12.csv
16-10-11,16-09-23,10,100,49455,48282,19882,19728,0.867741,0.866055,0.864761,1.8,cm_16-10-11__to__16-09-23.csv,per_class_16-10-11__to__16-09-23.csv
16-10-11,16-09-30,13,100,62616,63129,19994,19994,0.874396,0.874396,0.874662,1.9,cm_16-10-11__to__16-09-30.csv,per_class_16-10-11__to__16-09-30.csv
16-10-11,16-10-12,13,100,62616,37151,19994,19016,0.890127,0.886693,0.886937,1.9,cm_16-10-11__to__16-10-12.csv,per_class_16-10-11__to__16-10-12.csv
16-10-12,16-09-23,10,100,29680,48282,18055,19728,0.86207,0.860287,0.85954,1.8,cm_16-10-12__to__16-09-23.csv,per_class_16-10-12__to__16-09-23.csv
16-10-12,16-09-30,13,100,37151,63129,19016,19994,0.846181,0.846181,0.847754,3.7,cm_16-10-12__to__16-09-30.csv,per_class_16-10-12__to__16-09-30.csv
16-10-12,16-10-11,13,100,37151,62616,19016,19994,0.877778,0.877778,0.878514,3.7,cm_16-10-12__to__16-10-11.csv,per_class_16-10-12__to__16-10-11.csv
