,precision,recall,f1-score,support
AmazonEcho,0.9064615384615384,0.9577373211963589,0.9313942459690168,1538.0
BelkinWemoMotion,0.562992125984252,0.5578673602080624,0.5604180274330504,1538.0
BelkinWemoSwitch,0.5559947299077734,0.5487646293888166,0.5523560209424084,1538.0
Dropcam,1.0,1.0,1.0,1538.0
HPPrinter,0.8750792644261256,0.8972691807542262,0.8860353130016051,1538.0
InsteonCam_wired,0.9934768427919113,0.9902470741222367,0.9918593292087268,1538.0
LiFXBulb,0.9921807124239791,0.7425227568270482,0.8493863889921904,1538.0
NetatmoWeather,0.9745060548119822,0.994148244473342,0.9842291599613775,1538.0
NetatmoWelcome,0.9013245033112582,0.8849154746423927,0.8930446194225722,1538.0
SamsungSmartCam,0.879436964504284,0.9343302990897269,0.9060529634300125,1538.0
SmartThings,0.9974042829331603,0.9993498049414824,0.9983760961351087,1538.0
TribySpeaker,0.990112063282795,0.976592977893368,0.9833060556464811,1538.0
WithingsAura,0.8201479795105293,0.9369310793237972,0.8746585735963582,1538.0
accuracy,0.8785135540662199,0.8785135540662199,0.8785135540662199,0.8785135540662199
macro avg,0.8807013124884301,0.8785135540662198,0.877778214902993,19994.0
weighted avg,0.8807013124884299,0.8785135540662199,0.8777782149029929,19994.0
