device_id,mac,is_iot,16-09-23_src,16-09-23_dst,16-09-23_total,16-09-30_src,16-09-30_dst,16-09-30_total,16-10-11_src,16-10-11_dst,16-10-11_total,16-10-12_src,16-10-12_dst,16-10-12_total,days_present
SmartThings,d0:52:a8:00:67:5e,1,15172,14451,29623,14970,14393,29363,16027,14936,30963,9189,8767,17956,4
AmazonEcho,44:65:0d:56:cc:d3,1,31503,21111,52614,32340,23749,56089,31248,22915,54163,19070,14033,33103,4
NetatmoWelcome,70:ee:50:18:34:43,1,21228,17521,38749,18712,15315,34027,12620,10590,23210,7512,6555,14067,4
SamsungSmartCam,00:16:6c:ab:6b:88,1,67650,17623,85273,41523,15452,56975,74695,26156,100851,24298,7606,31904,4
Dropcam,30:8c:fb:2f:e4:b2,1,121562,121141,242703,111530,111045,222575,140803,138797,279600,59055,58601,117656,4
BelkinWemoSwitch,ec:1a:59:79:f4:89,1,36848,31899,68747,34067,29369,63436,32971,27169,60140,20089,16742,36831,4
BelkinWemoMotion,ec:1a:59:83:28:11,1,44913,45051,89964,41928,41937,83865,43173,41880,85053,26804,26702,53506,4
NetatmoWeather,70:ee:50:03:b8:ac,1,6194,7314,13508,6785,7250,14035,6963,7800,14763,4627,5091,9718,4
WithingsScale,00:24:e4:1b:6f:96,1,197,179,376,86,75,161,172,158,330,85,74,159,4
TribySpeaker,18:b7:9e:02:20:44,1,5000,3959,8959,6106,4848,10954,5866,4699,10565,3490,2775,6265,4
HPPrinter,70:5a:0f:e4:9b:c0,1,9005,5236,14241,6981,2247,9228,9057,3338,12395,5218,1853,7071,4
InsteonCam_wired,00:62:6e:51:27:2e,1,0,0,0,30692,18041,48733,29459,15845,45304,17764,10146,27910,3
NestProtect,18:b4:30:25:be:e4,1,110,94,204,153,123,276,109,95,204,0,0,0,3
WithingsAura,00:24:e4:20:28:c6,1,0,0,0,21563,12495,34058,12652,7647,20299,7555,4733,12288,3
LiFXBulb,d0:73:d5:01:83:08,1,0,0,0,6346,6095,12441,6124,5888,12012,3733,3583,7316,3
TPLinkCam,f4:f2:6d:93:51:f1,1,7035,3898,10933,70878,47355,118233,0,0,0,0,0,0,2
WithingsBabyMonitor,00:24:e4:11:18:a8,1,23961,22944,46905,24149,23044,47193,0,0,0,0,0,0,2
TPLinkPlug,50:c7:bf:00:56:39,1,1682,1093,2775,1686,1091,2777,0,0,0,0,0,0,2
PIX-STAR,e0:76:d0:33:bb:85,1,4572,3003,7575,2049,1000,3049,0,0,0,0,0,0,2
iHome,74:c6:3b:29:d7:1d,1,0,0,0,4528,3878,8406,0,0,0,0,0,0,1
Blipcare,74:6a:89:00:2e:25,1,33,26,59,0,0,0,0,0,0,0,0,0,1
InsteonCam_wifi,e8:ab:fa:19:de:4f,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NestDropcam,30:8c:fb:b6:ea:45,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SamsungGalaxyTab,08:21:ef:3b:fc:e3,0,16752,16412,33164,2907,2750,5657,18562,29287,47849,6927,15505,22432,4
Gateway,14:cc:20:51:33:ea,0,427012,365824,792836,322247,369606,691853,1129628,796527,1926155,3235027,1641459,4876486,4
Laptop,74:2f:68:81:69:42,0,97202,158451,255653,0,0,0,497586,737817,1235403,1493809,2927595,4421404,3
AndroidPhone_2,b4:ce:f6:a7:a3:c2,0,9050,10739,19789,0,0,0,5624,9083,14707,4554,4493,9047,3
iPhone,d0:a6:37:df:a1:e1,0,391,295,686,0,0,0,0,0,0,0,0,0,1
AndroidPhone_1,40:f3:08:ff:1e:da,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MacBook,ac:bc:32:d4:6f:2f,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MacBook_iPhone,f4:5c:89:93:cc:85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
