,AmazonEcho,BelkinWemoMotion,BelkinWemoSwitch,Dropcam,HPPrinter,InsteonCam_wired,LiFXBulb,NetatmoWeather,NetatmoWelcome,SamsungSmartCam,SmartThings,TribySpeaker,WithingsAura
AmazonEcho,1474,0,4,0,1,5,1,16,4,7,0,1,25
BelkinWemoMotion,9,770,622,1,24,8,0,1,40,18,0,0,45
BelkinWemoSwitch,3,576,847,0,32,1,1,3,36,25,0,0,14
Dropcam,0,0,0,1538,0,0,0,0,0,0,0,0,0
HPPrinter,1,90,74,0,1329,11,0,2,11,19,0,0,1
InsteonCam_wired,40,7,0,3,5,1474,0,1,4,1,1,1,1
LiFXBulb,101,27,31,1,1,2,850,1,89,72,58,0,305
NetatmoWeather,0,0,0,0,0,0,0,1534,4,0,0,0,0
NetatmoWelcome,20,29,49,1,12,2,2,20,1334,27,0,0,42
SamsungSmartCam,12,20,25,0,10,0,1,2,27,1421,0,2,18
SmartThings,0,0,0,0,2,2,0,0,0,0,1534,0,0
TribySpeaker,17,9,3,1,9,0,1,0,9,3,0,1485,1
WithingsAura,31,0,0,0,0,0,0,1,0,146,0,0,1360
